Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/29 10:58:38 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-24.5,-106,24.5,-110,116,81,-16,16
12/29 10:56:23 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-24.5,-105,24.5,-111,116,81,-16,16
12/29 10:56:17 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-24.5,-117,24.5,-113,116,81,-16,16
12/29 10:56:16 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-24.5,-111,24.5,-119,116,81,-16,16
12/29 10:56:12 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-24.5,-117,24.5,-113,116,81,-16,16
12/29 10:56:11 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-24.5,-111,24.5,-119,116,81,-16,16
12/29 10:56:07 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.5,-116,23.5,-114,116,81,-16,16
12/29 10:56:06 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.0,-117,23.0,-113,116,81,-16,16
12/29 10:56:00 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.5,-116,23.5,-114,116,81,-16,16
12/29 10:55:59 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.0,-109,23.0,-121,116,81,-16,16
12/29 10:55:56 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.5,-117,23.5,-113,116,81,-16,16
12/29 10:55:53 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-22.0,-113,22.0,-117,116,81,-16,16
12/29 10:55:50 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-24.5,-113,24.5,-117,116,81,-16,16
12/29 10:55:48 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.5,-113,23.5,-117,116,81,-16,16
12/29 10:55:45 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-24.5,-112,24.5,-118,116,81,-16,16
12/29 10:55:44 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-24.5,-110,24.5,-120,116,81,-16,16
12/29 10:55:41 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-24.5,-112,24.5,-118,116,81,-16,16
12/29 10:55:38 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-22.0,-119,22.0,-111,116,81,-16,16
12/29 10:55:35 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-22.5,-120,22.5,-111,116,81,-16,16
12/29 10:55:33 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-22.0,-108,22.0,-123,116,81,-16,16
12/29 10:55:26 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-22.5,-120,22.5,-111,116,81,-16,16
12/29 10:55:24 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-21.5,-118,21.5,-113,116,81,-16,16
12/29 10:55:21 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-22.5,-117,22.5,-113,116,81,-16,16
12/29 10:55:20 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-21.5,-118,21.5,-113,116,81,-16,16
12/29 10:55:18 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.0,-123,23.0,-108,116,81,-16,16
12/29 10:55:14 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.5,-113,23.5,-117,116,81,-16,16
12/29 10:55:13 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.0,-123,23.0,-108,116,81,-16,16
12/29 10:55:11 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.5,-113,23.5,-117,116,81,-16,16
12/29 10:55:10 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.0,-123,23.0,-108,116,81,-16,16
12/29 10:55:07 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.5,-114,23.5,-116,116,81,-16,16
12/29 10:55:06 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.0,-123,23.0,-108,116,81,-16,16
12/29 10:55:04 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.5,-114,23.5,-116,116,81,-16,16
12/29 10:55:03 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.0,-123,23.0,-108,116,81,-16,16
12/29 10:54:59 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.5,-114,23.5,-116,116,81,-16,16
12/29 10:54:58 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.0,-124,23.0,-107,116,81,-16,16
12/29 10:54:56 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.5,-114,23.5,-116,116,81,-16,16
12/29 10:54:54 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.0,-124,23.0,-107,116,81,-16,16
12/29 10:54:53 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.5,-114,23.5,-116,116,81,-16,16
12/29 10:54:51 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.0,-124,23.0,-107,116,81,-16,16
12/29 10:54:49 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.0,-121,23.0,-109,116,81,-16,16
12/29 10:54:48 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.5,-114,23.5,-116,116,81,-16,16
12/29 10:54:46 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.0,-121,23.0,-109,116,81,-16,16
12/29 10:54:36 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.5,-114,23.5,-116,116,81,-16,16
12/29 10:54:35 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-21.5,-114,21.5,-116,116,81,-16,16
12/29 10:54:32 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.5,-114,23.5,-116,116,81,-16,16
12/29 10:54:30 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-24.5,-112,24.5,-118,116,81,-16,16
12/29 10:54:29 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-24.0,-116,24.0,-114,116,81,-16,16
12/29 10:54:27 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-24.5,-120,24.5,-110,116,81,-16,16
12/29 10:54:22 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.5,-116,23.5,-114,116,81,-16,16
12/29 10:54:18 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.5,-112,23.5,-118,116,81,-16,16
12/29 10:54:11 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.0,-118,23.0,-112,116,81,-16,16
12/29 10:54:09 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.0,-114,23.0,-116,116,81,-16,16
12/29 10:54:02 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-22.5,-114,22.5,-116,116,81,-16,16
12/29 10:53:56 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-22.5,-110,22.5,-120,116,81,-16,16
12/29 10:53:54 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.0,-118,23.0,-112,116,81,-16,16
12/29 10:53:48 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.0,-114,23.0,-116,116,81,-16,16
12/29 10:53:44 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-22.0,-113,22.0,-117,116,81,-16,16
12/29 10:53:35 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-22.0,-108,22.0,-123,116,81,-16,16
12/29 10:53:32 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.0,-116,23.0,-114,116,81,-16,16
12/29 10:53:26 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.0,-112,23.0,-118,116,81,-16,16
12/29 10:53:23 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.0,-112,23.0,-118,116,81,-16,16
12/29 10:53:20 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.0,-110,23.0,-120,116,81,-16,16
12/29 10:53:18 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.5,-121,23.5,-110,116,81,-16,16
12/29 10:53:17 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.0,-110,23.0,-120,116,81,-16,16
12/29 10:53:15 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.5,-121,23.5,-110,116,81,-16,16
12/29 10:53:08 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.0,-110,23.0,-120,116,81,-16,16
12/29 10:53:03 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-22.5,-120,22.5,-110,116,81,-16,16
12/29 10:53:01 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-21.5,-117,21.5,-113,116,81,-16,16
12/29 10:52:59 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-22.5,-120,22.5,-110,116,81,-16,16
12/29 10:52:57 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-21.5,-117,21.5,-113,116,81,-16,16
12/29 10:52:56 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-22.5,-120,22.5,-110,116,81,-16,16
12/29 10:52:55 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-21.0,-108,21.0,-123,116,81,-16,16
12/29 10:52:53 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-22.5,-120,22.5,-110,116,81,-16,16
12/29 10:52:11 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-24.0,-120,24.0,-110,116,81,-16,16
12/29 10:52:02 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-24.0,-120,24.0,-110,116,81,-16,16
12/29 10:52:00 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-24.0,-120,24.0,-110,116,81,-16,16
12/29 10:51:35 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-24.0,-112,24.0,-118,116,81,-16,16
12/29 10:51:33 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-24.0,-112,24.0,-118,116,81,-16,16
12/29 10:51:29 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-24.0,-112,24.0,-118,116,81,-16,16
12/29 10:51:17 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-24.0,-112,24.0,-118,116,81,-16,16
12/29 10:51:14 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-24.5,-111,24.5,-119,116,81,-16,16
12/29 10:50:56 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-24.5,-115,24.5,-115,116,81,-16,16
12/29 10:50:54 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-23.5,-111,23.5,-119,116,81,-16,16
12/29 10:50:51 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-25.0,-119,25.0,-111,116,81,-16,16
12/29 10:50:42 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-26.0,-123,26.0,-107,116,81,-16,16
12/29 10:50:40 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-27.0,-108,27.0,-122,116,81,-16,16
12/29 10:50:39 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-25.0,-119,25.0,-111,116,81,-16,16
12/29 10:50:34 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-26.5,-111,26.5,-119,116,81,-16,16
12/29 10:50:33 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-27.5,-108,27.5,-122,116,81,-16,16
12/29 10:50:25 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-26.5,-109,26.5,-122,116,81,-16,16
12/29 10:50:17 am,Pinnacle,Atlanta Hawks,Chicago Bulls,-26.5,-111,26.5,-119,116,81,-16,16
