Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/13 12:08:02 pm,Pinnacle,Atlanta Hawks,Denver Nuggets,2.5,102,-2.5,-119,121,125,-10,10
11/13 12:07:54 pm,Pinnacle,Atlanta Hawks,Denver Nuggets,2.5,101,-2.5,-118,121,125,-10,10
11/13 12:07:50 pm,Pinnacle,Atlanta Hawks,Denver Nuggets,2.5,100,-2.5,-117,121,125,-10,10
11/13 12:07:23 pm,Pinnacle,Atlanta Hawks,Denver Nuggets,2.5,-101,-2.5,-116,121,125,-10,10
11/13 12:07:21 pm,Pinnacle,Atlanta Hawks,Denver Nuggets,2.5,109,-2.5,-127,121,125,-10,10
11/13 12:06:44 pm,Pinnacle,Atlanta Hawks,Denver Nuggets,2.5,110,-2.5,-128,121,125,-10,10
11/13 12:06:39 pm,Pinnacle,Atlanta Hawks,Denver Nuggets,2.5,103,-2.5,-121,121,125,-10,10
11/13 12:06:27 pm,Pinnacle,Atlanta Hawks,Denver Nuggets,2.5,100,-2.5,-117,121,125,-10,10
11/13 12:06:21 pm,Pinnacle,Atlanta Hawks,Denver Nuggets,2.5,-106,-2.5,-110,121,125,-10,10
11/13 12:04:00 pm,Pinnacle,Atlanta Hawks,Denver Nuggets,-1.5,-110,1.5,-120,121,125,-10,10
11/13 12:03:54 pm,Pinnacle,Atlanta Hawks,Denver Nuggets,-1.5,-109,1.5,-121,121,125,-10,10
11/13 12:03:51 pm,Pinnacle,Atlanta Hawks,Denver Nuggets,-2.5,119,2.5,-158,121,125,-10,10
11/13 12:03:45 pm,Pinnacle,Atlanta Hawks,Denver Nuggets,-2.5,-105,2.5,-126,121,125,-10,10
11/13 12:03:41 pm,Pinnacle,Atlanta Hawks,Denver Nuggets,-1.5,-112,1.5,-118,121,125,-10,10
11/13 12:03:33 pm,Pinnacle,Atlanta Hawks,Denver Nuggets,-1.5,-111,1.5,-119,121,125,-10,10
11/13 12:03:23 pm,Pinnacle,Atlanta Hawks,Denver Nuggets,-2.5,-114,2.5,-116,121,125,-10,10
11/13 12:03:15 pm,Pinnacle,Atlanta Hawks,Denver Nuggets,-2.5,-113,2.5,-117,121,125,-10,10
11/13 12:03:12 pm,Pinnacle,Atlanta Hawks,Denver Nuggets,-2.5,-120,2.5,-110,121,125,-10,10
11/13 12:02:36 pm,Pinnacle,Atlanta Hawks,Denver Nuggets,-3.0,-119,3.0,-111,121,125,-10,10
11/13 12:02:17 pm,Pinnacle,Atlanta Hawks,Denver Nuggets,-4.0,-115,4.0,-115,121,125,-10,10
11/13 12:02:08 pm,Pinnacle,Atlanta Hawks,Denver Nuggets,-3.0,-123,3.0,-108,121,125,-10,10
11/13 12:02:00 pm,Pinnacle,Atlanta Hawks,Denver Nuggets,-4.0,-119,4.0,-112,121,125,-10,10
11/13 12:01:33 pm,Pinnacle,Atlanta Hawks,Denver Nuggets,-3.5,-108,3.5,-122,121,125,-10,10
11/13 12:01:27 pm,Pinnacle,Atlanta Hawks,Denver Nuggets,-3.0,-130,3.0,111,121,125,-10,10
11/13 12:01:12 pm,Pinnacle,Atlanta Hawks,Denver Nuggets,-3.0,-128,3.0,110,121,125,-10,10
11/13 12:00:57 pm,Pinnacle,Atlanta Hawks,Denver Nuggets,-3.0,-133,3.0,114,121,125,-10,10
11/13 12:00:33 pm,Pinnacle,Atlanta Hawks,Denver Nuggets,-3.0,-136,3.0,116,121,125,-10,10
11/13 12:00:03 pm,Pinnacle,Atlanta Hawks,Denver Nuggets,-3.0,-134,3.0,114,121,125,-10,10
