Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
10/25 9:21:17 am,Pinnacle,Atlanta Hawks,Detroit Pistons,8.5,103,-8.5,-120,100,117,-1.5,1.5
10/25 9:20:51 am,Pinnacle,Atlanta Hawks,Detroit Pistons,8.5,-101,-8.5,-116,100,117,-1.5,1.5
10/25 9:20:46 am,Pinnacle,Atlanta Hawks,Detroit Pistons,8.5,-111,-8.5,-105,100,117,-1.5,1.5
10/25 9:20:31 am,Pinnacle,Atlanta Hawks,Detroit Pistons,8.5,-116,-8.5,-101,100,117,-1.5,1.5
10/25 9:16:31 am,Pinnacle,Atlanta Hawks,Detroit Pistons,10.5,100,-10.5,-117,100,117,-1.5,1.5
10/25 9:15:44 am,Pinnacle,Atlanta Hawks,Detroit Pistons,10.5,-103,-10.5,-113,100,117,-1.5,1.5
10/25 9:15:18 am,Pinnacle,Atlanta Hawks,Detroit Pistons,10.5,-104,-10.5,-112,100,117,-1.5,1.5
10/25 9:14:43 am,Pinnacle,Atlanta Hawks,Detroit Pistons,10.5,-105,-10.5,-111,100,117,-1.5,1.5
10/25 9:08:54 am,Pinnacle,Atlanta Hawks,Detroit Pistons,8.0,-132,-8.0,-118,100,117,-1.5,1.5
10/25 9:08:42 am,Pinnacle,Atlanta Hawks,Detroit Pistons,7.0,-124,-7.0,-126,100,117,-1.5,1.5
10/25 9:08:37 am,Pinnacle,Atlanta Hawks,Detroit Pistons,8.0,-133,-8.0,-117,100,117,-1.5,1.5
10/25 9:08:32 am,Pinnacle,Atlanta Hawks,Detroit Pistons,8.5,-116,-8.5,-114,100,117,-1.5,1.5
10/25 9:08:26 am,Pinnacle,Atlanta Hawks,Detroit Pistons,8.5,-114,-8.5,-116,100,117,-1.5,1.5
10/25 9:08:21 am,Pinnacle,Atlanta Hawks,Detroit Pistons,8.5,-110,-8.5,-120,100,117,-1.5,1.5
10/25 9:08:11 am,Pinnacle,Atlanta Hawks,Detroit Pistons,8.5,-124,-8.5,-126,100,117,-1.5,1.5
10/25 9:08:00 am,Pinnacle,Atlanta Hawks,Detroit Pistons,8.0,-133,-8.0,-117,100,117,-1.5,1.5
10/25 9:07:13 am,Pinnacle,Atlanta Hawks,Detroit Pistons,8.0,-133,-8.0,-118,100,117,-1.5,1.5
10/25 9:06:58 am,Pinnacle,Atlanta Hawks,Detroit Pistons,7.0,-127,-7.0,-123,100,117,-1.5,1.5
10/25 9:06:53 am,Pinnacle,Atlanta Hawks,Detroit Pistons,7.5,-137,-7.5,-114,100,117,-1.5,1.5
10/25 9:06:39 am,Pinnacle,Atlanta Hawks,Detroit Pistons,8.0,-137,-8.0,-114,100,117,-1.5,1.5
10/25 9:06:28 am,Pinnacle,Atlanta Hawks,Detroit Pistons,7.0,-130,-7.0,-121,100,117,-1.5,1.5
10/25 9:06:13 am,Pinnacle,Atlanta Hawks,Detroit Pistons,7.5,-118,-7.5,-132,100,117,-1.5,1.5
10/25 9:06:07 am,Pinnacle,Atlanta Hawks,Detroit Pistons,7.0,-131,-7.0,-119,100,117,-1.5,1.5
10/25 9:02:14 am,Pinnacle,Atlanta Hawks,Detroit Pistons,7.5,-105,-7.5,-126,100,117,-1.5,1.5
10/25 9:01:59 am,Pinnacle,Atlanta Hawks,Detroit Pistons,7.5,-115,-7.5,-115,100,117,-1.5,1.5
10/25 9:01:17 am,Pinnacle,Atlanta Hawks,Detroit Pistons,7.5,-128,-7.5,-122,100,117,-1.5,1.5
10/25 9:01:07 am,Pinnacle,Atlanta Hawks,Detroit Pistons,7.5,-118,-7.5,-133,100,117,-1.5,1.5
10/25 9:00:42 am,Pinnacle,Atlanta Hawks,Detroit Pistons,8.0,-128,-8.0,-122,100,117,-1.5,1.5
10/25 9:00:16 am,Pinnacle,Atlanta Hawks,Detroit Pistons,9.0,-134,-9.0,-117,100,117,-1.5,1.5
10/25 9:00:11 am,Pinnacle,Atlanta Hawks,Detroit Pistons,9.0,-133,-9.0,-117,100,117,-1.5,1.5
10/25 8:59:56 am,Pinnacle,Atlanta Hawks,Detroit Pistons,10.5,-127,-10.5,-123,100,117,-1.5,1.5
10/25 8:57:36 am,Pinnacle,Atlanta Hawks,Detroit Pistons,10.0,105,-10.0,-123,100,117,-1.5,1.5
10/25 8:57:31 am,Pinnacle,Atlanta Hawks,Detroit Pistons,10.0,-108,-10.0,-108,100,117,-1.5,1.5
