Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
3/8 11:19:53 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-17.5,174,17.5,-225,118,101,-6.5,6.5
3/8 11:19:29 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-16.5,-137,16.5,109,118,101,-6.5,6.5
3/8 11:17:07 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-17.5,101,17.5,-125,118,101,-6.5,6.5
3/8 11:15:53 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-16.5,-103,16.5,-121,118,101,-6.5,6.5
3/8 11:15:47 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-15.5,-117,15.5,-106,118,101,-6.5,6.5
3/8 11:14:49 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-14.5,-118,14.5,-105,118,101,-6.5,6.5
3/8 11:14:33 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-17.5,-112,17.5,-112,118,101,-6.5,6.5
3/8 11:14:17 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-16.5,-108,16.5,-115,118,101,-6.5,6.5
3/8 11:14:03 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-14.5,-112,14.5,-112,118,101,-6.5,6.5
3/8 11:13:51 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-13.5,-112,13.5,-112,118,101,-6.5,6.5
3/8 11:13:44 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-13.5,101,13.5,-126,118,101,-6.5,6.5
3/8 11:13:13 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-13.5,-126,13.5,101,118,101,-6.5,6.5
3/8 11:12:36 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-14.5,-126,14.5,101,118,101,-6.5,6.5
3/8 11:12:15 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-15.5,-112,15.5,-112,118,101,-6.5,6.5
3/8 11:11:45 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-15.5,-118,15.5,-105,118,101,-6.5,6.5
3/8 11:11:36 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-15.5,-112,15.5,-112,118,101,-6.5,6.5
3/8 11:11:11 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-15.5,-105,15.5,-118,118,101,-6.5,6.5
3/8 11:10:54 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-17.5,101,17.5,-126,118,101,-6.5,6.5
3/8 11:10:45 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-16.5,-126,16.5,101,118,101,-6.5,6.5
3/8 11:10:16 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-16.5,-118,16.5,-105,118,101,-6.5,6.5
3/8 11:10:02 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-16.5,-112,16.5,-112,118,101,-6.5,6.5
3/8 11:09:51 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-15.5,-112,15.5,-112,118,101,-6.5,6.5
3/8 11:09:19 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-16.5,-112,16.5,-112,118,101,-6.5,6.5
3/8 11:08:59 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-15.5,-112,15.5,-112,118,101,-6.5,6.5
3/8 11:08:46 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-16.5,-108,16.5,-115,118,101,-6.5,6.5
3/8 11:08:28 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-15.5,-112,15.5,-112,118,101,-6.5,6.5
3/8 11:08:24 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-13.5,-114,13.5,-116,118,101,-6.5,6.5
3/8 11:08:23 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-14.5,-122,14.5,-108,118,101,-6.5,6.5
3/8 11:08:21 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-13.5,-111,13.5,-119,118,101,-6.5,6.5
3/8 11:08:18 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-13.5,-130,13.5,-102,118,101,-6.5,6.5
3/8 11:08:06 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-13.5,-111,13.5,-119,118,101,-6.5,6.5
3/8 11:08:03 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-14.0,103,14.0,-136,118,101,-6.5,6.5
3/8 11:08:02 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-13.5,-112,13.5,-112,118,101,-6.5,6.5
3/8 11:07:51 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-14.0,-113,14.0,-117,118,101,-6.5,6.5
3/8 11:07:41 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-14.5,-118,14.5,-105,118,101,-6.5,6.5
3/8 11:07:24 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-13.5,-132,13.5,100,118,101,-6.5,6.5
3/8 11:07:21 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-13.5,-123,13.5,-108,118,101,-6.5,6.5
3/8 11:07:15 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-15.5,-106,15.5,-125,118,101,-6.5,6.5
3/8 11:07:14 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-14.5,-112,14.5,-112,118,101,-6.5,6.5
3/8 11:07:13 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-15.5,-111,15.5,-119,118,101,-6.5,6.5
3/8 11:07:09 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-17.0,145,17.0,-196,118,101,-6.5,6.5
3/8 11:06:56 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-17.0,109,17.0,-145,118,101,-6.5,6.5
3/8 11:06:54 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-17.0,-100,17.0,-116,118,101,-6.5,6.5
3/8 11:06:48 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-17.0,-107,17.0,-124,118,101,-6.5,6.5
3/8 11:06:44 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-17.5,-103,17.5,-114,118,101,-6.5,6.5
3/8 11:06:42 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-17.5,-105,17.5,-118,118,101,-6.5,6.5
3/8 11:06:35 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-17.5,-109,17.5,-122,118,101,-6.5,6.5
3/8 11:06:18 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-17.0,-110,17.0,-121,118,101,-6.5,6.5
3/8 11:06:15 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-15.5,-108,15.5,-122,118,101,-6.5,6.5
3/8 11:06:12 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-15.5,-111,15.5,-119,118,101,-6.5,6.5
3/8 11:06:09 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-17.5,-118,17.5,-105,118,101,-6.5,6.5
3/8 11:05:51 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-17.5,-109,17.5,-122,118,101,-6.5,6.5
3/8 11:05:45 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-17.0,-107,17.0,-123,118,101,-6.5,6.5
3/8 11:05:39 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-17.0,-101,17.0,-116,118,101,-6.5,6.5
3/8 11:05:33 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-16.5,-115,16.5,-101,118,101,-6.5,6.5
3/8 11:05:26 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-16.5,-115,16.5,-101,118,101,-6.5,6.5
3/8 11:05:24 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-16.5,-115,16.5,-101,118,101,-6.5,6.5
3/8 11:05:17 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-16.5,-115,16.5,-101,118,101,-6.5,6.5
3/8 11:05:12 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-16.5,-115,16.5,-101,118,101,-6.5,6.5
3/8 11:05:06 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-16.5,-116,16.5,-101,118,101,-6.5,6.5
3/8 11:05:01 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-16.5,-118,16.5,-105,118,101,-6.5,6.5
3/8 11:04:57 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-17.0,-100,17.0,-116,118,101,-6.5,6.5
3/8 11:04:54 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-16.5,-116,16.5,-100,118,101,-6.5,6.5
3/8 11:04:44 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-17.5,-105,17.5,-118,118,101,-6.5,6.5
3/8 11:04:35 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-16.5,-116,16.5,-100,118,101,-6.5,6.5
3/8 11:04:32 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-16.5,-116,16.5,-101,118,101,-6.5,6.5
3/8 11:04:29 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-16.5,-116,16.5,-101,118,101,-6.5,6.5
3/8 11:04:26 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-16.5,-116,16.5,-101,118,101,-6.5,6.5
3/8 11:04:15 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-16.5,-115,16.5,-101,118,101,-6.5,6.5
3/8 11:04:12 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-16.5,-115,16.5,-101,118,101,-6.5,6.5
3/8 11:04:09 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-17.0,-101,17.0,-115,118,101,-6.5,6.5
3/8 11:03:51 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-16.5,-115,16.5,-102,118,101,-6.5,6.5
3/8 11:03:48 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-16.5,-115,16.5,-102,118,101,-6.5,6.5
3/8 11:03:27 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-16.5,-115,16.5,-102,118,101,-6.5,6.5
3/8 11:03:23 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-17.0,-106,17.0,-110,118,101,-6.5,6.5
3/8 11:03:22 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-17.5,-101,17.5,-116,118,101,-6.5,6.5
3/8 11:03:22 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-17.5,-105,17.5,-111,118,101,-6.5,6.5
3/8 11:03:21 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-17.5,-101,17.5,-116,118,101,-6.5,6.5
3/8 11:03:20 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-17.5,-112,17.5,-112,118,101,-6.5,6.5
3/8 11:03:18 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-17.5,-104,17.5,-113,118,101,-6.5,6.5
3/8 11:03:09 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-17.5,-105,17.5,-111,118,101,-6.5,6.5
3/8 11:03:06 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-17.5,-105,17.5,-118,118,101,-6.5,6.5
3/8 11:03:03 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-17.5,100,17.5,-132,118,101,-6.5,6.5
3/8 11:02:57 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-17.5,-112,17.5,-118,118,101,-6.5,6.5
3/8 11:02:45 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-17.5,112,17.5,-149,118,101,-6.5,6.5
3/8 11:02:43 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-16.5,-118,16.5,-105,118,101,-6.5,6.5
3/8 11:02:42 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-17.5,104,17.5,-138,118,101,-6.5,6.5
3/8 11:02:39 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-18.0,-102,18.0,-130,118,101,-6.5,6.5
3/8 11:02:35 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-18.0,-110,18.0,-120,118,101,-6.5,6.5
3/8 11:02:33 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-19.0,-115,19.0,-115,118,101,-6.5,6.5
3/8 11:02:30 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-18.0,105,18.0,-139,118,101,-6.5,6.5
3/8 11:02:27 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-18.0,-102,18.0,-130,118,101,-6.5,6.5
3/8 11:02:25 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-17.5,-112,17.5,-112,118,101,-6.5,6.5
3/8 11:02:24 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-18.0,-115,18.0,-115,118,101,-6.5,6.5
3/8 11:02:21 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-18.0,-130,18.0,-102,118,101,-6.5,6.5
3/8 11:02:12 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-18.0,-111,18.0,-119,118,101,-6.5,6.5
3/8 11:02:08 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-16.5,-156,16.5,117,118,101,-6.5,6.5
3/8 11:02:07 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-17.5,-126,17.5,101,118,101,-6.5,6.5
3/8 11:02:03 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-16.5,-132,16.5,100,118,101,-6.5,6.5
3/8 11:02:00 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-16.5,-153,16.5,115,118,101,-6.5,6.5
3/8 11:01:57 am,Pinnacle,Atlanta Hawks,Memphis Grizzlies,-16.5,-132,16.5,100,118,101,-6.5,6.5
3/8 11:01:52 am,RedZone,Atlanta Hawks,Memphis Grizzlies,-16.5,-105,16.5,-118,118,101,-6.5,6.5
