Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/25 11:13:47 am,Pinnacle,Atlanta Hawks,Oklahoma City Thunder,-24.0,-108,24.0,-108,140,111,-8.5,8.5
1/25 11:13:29 am,Pinnacle,Atlanta Hawks,Oklahoma City Thunder,-24.0,-108,24.0,-102,140,111,-8.5,8.5
1/25 11:08:57 am,Pinnacle,Atlanta Hawks,Oklahoma City Thunder,-19.5,-119,19.5,-111,140,111,-8.5,8.5
1/25 11:08:51 am,Pinnacle,Atlanta Hawks,Oklahoma City Thunder,-19.5,-118,19.5,-112,140,111,-8.5,8.5
1/25 11:08:47 am,Pinnacle,Atlanta Hawks,Oklahoma City Thunder,-19.5,-117,19.5,-113,140,111,-8.5,8.5
1/25 11:08:41 am,Pinnacle,Atlanta Hawks,Oklahoma City Thunder,-18.5,-113,18.5,-117,140,111,-8.5,8.5
1/25 11:08:35 am,Pinnacle,Atlanta Hawks,Oklahoma City Thunder,-19.5,-116,19.5,-114,140,111,-8.5,8.5
1/25 11:08:21 am,Pinnacle,Atlanta Hawks,Oklahoma City Thunder,-19.5,-118,19.5,-112,140,111,-8.5,8.5
1/25 11:08:14 am,Pinnacle,Atlanta Hawks,Oklahoma City Thunder,-19.5,-110,19.5,-106,140,111,-8.5,8.5
1/25 11:07:29 am,Pinnacle,Atlanta Hawks,Oklahoma City Thunder,-18.5,-106,18.5,-110,140,111,-8.5,8.5
1/25 11:07:08 am,Pinnacle,Atlanta Hawks,Oklahoma City Thunder,-18.5,-106,18.5,-110,140,111,-8.5,8.5
1/25 11:06:44 am,Pinnacle,Atlanta Hawks,Oklahoma City Thunder,-18.5,-113,18.5,-117,140,111,-8.5,8.5
1/25 11:06:32 am,Pinnacle,Atlanta Hawks,Oklahoma City Thunder,-18.5,-115,18.5,-115,140,111,-8.5,8.5
1/25 11:05:59 am,Pinnacle,Atlanta Hawks,Oklahoma City Thunder,-18.5,-115,18.5,-115,140,111,-8.5,8.5
1/25 11:05:29 am,Pinnacle,Atlanta Hawks,Oklahoma City Thunder,-18.5,-115,18.5,-115,140,111,-8.5,8.5
1/25 11:05:20 am,Pinnacle,Atlanta Hawks,Oklahoma City Thunder,-18.0,-113,18.0,-117,140,111,-8.5,8.5
1/25 11:05:15 am,Pinnacle,Atlanta Hawks,Oklahoma City Thunder,-17.5,-127,17.5,-104,140,111,-8.5,8.5
1/25 11:04:59 am,Pinnacle,Atlanta Hawks,Oklahoma City Thunder,-17.5,-119,17.5,-112,140,111,-8.5,8.5
1/25 11:04:56 am,Pinnacle,Atlanta Hawks,Oklahoma City Thunder,-17.0,-107,17.0,-123,140,111,-8.5,8.5
1/25 11:04:47 am,Pinnacle,Atlanta Hawks,Oklahoma City Thunder,-16.5,-120,16.5,-110,140,111,-8.5,8.5
1/25 11:04:44 am,Pinnacle,Atlanta Hawks,Oklahoma City Thunder,-15.5,-125,15.5,-106,140,111,-8.5,8.5
1/25 11:04:32 am,Pinnacle,Atlanta Hawks,Oklahoma City Thunder,-15.5,-117,15.5,-113,140,111,-8.5,8.5
1/25 11:04:11 am,Pinnacle,Atlanta Hawks,Oklahoma City Thunder,-15.0,-112,15.0,-118,140,111,-8.5,8.5
1/25 11:04:08 am,Pinnacle,Atlanta Hawks,Oklahoma City Thunder,-16.5,-119,16.5,-111,140,111,-8.5,8.5
1/25 11:04:05 am,Pinnacle,Atlanta Hawks,Oklahoma City Thunder,-16.5,-111,16.5,-105,140,111,-8.5,8.5
1/25 11:04:02 am,Pinnacle,Atlanta Hawks,Oklahoma City Thunder,-16.5,-112,16.5,-104,140,111,-8.5,8.5
1/25 11:03:53 am,Pinnacle,Atlanta Hawks,Oklahoma City Thunder,-16.5,-113,16.5,-103,140,111,-8.5,8.5
1/25 11:03:11 am,Pinnacle,Atlanta Hawks,Oklahoma City Thunder,-16.5,-113,16.5,-103,140,111,-8.5,8.5
1/25 11:02:20 am,Pinnacle,Atlanta Hawks,Oklahoma City Thunder,-16.5,-113,16.5,-103,140,111,-8.5,8.5
