Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/25 10:26:24 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-14.5,123,14.5,-155,129,112,-8.5,8.5
2/25 10:26:19 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-14.5,110,14.5,-139,129,112,-8.5,8.5
2/25 10:26:07 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-15.5,-121,15.5,-103,129,112,-8.5,8.5
2/25 10:25:57 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-14.5,104,14.5,-129,129,112,-8.5,8.5
2/25 10:24:07 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-14.5,101,14.5,-125,129,112,-8.5,8.5
2/25 10:23:57 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-15.5,-112,15.5,-112,129,112,-8.5,8.5
2/25 10:23:54 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-14.5,-125,14.5,101,129,112,-8.5,8.5
2/25 10:23:25 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-15.5,-115,15.5,-108,129,112,-8.5,8.5
2/25 10:23:12 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-15.5,-112,15.5,-112,129,112,-8.5,8.5
2/25 10:23:03 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-13.5,-108,13.5,-115,129,112,-8.5,8.5
2/25 10:22:48 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-13.5,-103,13.5,-121,129,112,-8.5,8.5
2/25 10:20:22 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-14.5,-103,14.5,-121,129,112,-8.5,8.5
2/25 10:20:14 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-12.5,-103,12.5,-121,129,112,-8.5,8.5
2/25 10:20:02 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-11.5,-115,11.5,-108,129,112,-8.5,8.5
2/25 10:19:46 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-10.5,-108,10.5,-115,129,112,-8.5,8.5
2/25 10:19:25 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-10.5,-103,10.5,-121,129,112,-8.5,8.5
2/25 10:19:13 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-11.5,-121,11.5,-103,129,112,-8.5,8.5
2/25 10:19:00 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-12.5,-129,12.5,104,129,112,-8.5,8.5
2/25 10:18:50 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-13.5,-108,13.5,-115,129,112,-8.5,8.5
2/25 10:18:42 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-13.5,-106,13.5,-117,129,112,-8.5,8.5
2/25 10:18:33 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-12.5,-121,12.5,-103,129,112,-8.5,8.5
2/25 10:18:11 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-11.5,-115,11.5,-108,129,112,-8.5,8.5
2/25 10:18:02 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-11.5,104,11.5,-129,129,112,-8.5,8.5
2/25 10:17:48 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-10.5,-108,10.5,-115,129,112,-8.5,8.5
2/25 10:17:27 am,Pinnacle,Atlanta Hawks,Philadelphia 76ers,-12.0,-103,12.0,-114,129,112,-8.5,8.5
2/25 10:17:06 am,Pinnacle,Atlanta Hawks,Philadelphia 76ers,-12.0,102,12.0,-119,129,112,-8.5,8.5
2/25 10:16:30 am,Pinnacle,Atlanta Hawks,Philadelphia 76ers,-12.0,103,12.0,-120,129,112,-8.5,8.5
2/25 10:16:27 am,Pinnacle,Atlanta Hawks,Philadelphia 76ers,-12.0,-100,12.0,-116,129,112,-8.5,8.5
2/25 10:16:03 am,Pinnacle,Atlanta Hawks,Philadelphia 76ers,-12.0,-106,12.0,-110,129,112,-8.5,8.5
2/25 10:15:51 am,Pinnacle,Atlanta Hawks,Philadelphia 76ers,-12.0,-108,12.0,-108,129,112,-8.5,8.5
2/25 10:15:30 am,Pinnacle,Atlanta Hawks,Philadelphia 76ers,-12.0,-117,12.0,100,129,112,-8.5,8.5
2/25 10:14:38 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-11.5,104,11.5,-129,129,112,-8.5,8.5
2/25 10:14:32 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-10.5,-108,10.5,-115,129,112,-8.5,8.5
2/25 10:14:23 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-10.5,-106,10.5,-117,129,112,-8.5,8.5
2/25 10:13:59 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-9.5,101,9.5,-125,129,112,-8.5,8.5
2/25 10:13:52 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-9.5,-103,9.5,-121,129,112,-8.5,8.5
2/25 10:13:36 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-9.5,104,9.5,-129,129,112,-8.5,8.5
2/25 10:13:09 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-8.5,-125,8.5,101,129,112,-8.5,8.5
2/25 10:13:01 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-8.5,-117,8.5,-106,129,112,-8.5,8.5
2/25 10:12:30 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-8.5,101,8.5,-125,129,112,-8.5,8.5
2/25 10:12:07 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-7.5,-125,7.5,101,129,112,-8.5,8.5
2/25 10:11:53 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-8.5,-121,8.5,-103,129,112,-8.5,8.5
2/25 10:11:26 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-8.5,101,8.5,-125,129,112,-8.5,8.5
2/25 10:11:12 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-7.5,-106,7.5,-117,129,112,-8.5,8.5
2/25 10:10:49 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-8.5,101,8.5,-125,129,112,-8.5,8.5
2/25 10:10:26 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-7.5,-108,7.5,-115,129,112,-8.5,8.5
2/25 10:10:04 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-7.5,-112,7.5,-112,129,112,-8.5,8.5
2/25 10:09:50 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-7.5,-103,7.5,-121,129,112,-8.5,8.5
2/25 10:09:41 am,Pinnacle,Atlanta Hawks,Philadelphia 76ers,-7.0,-119,7.0,-112,129,112,-8.5,8.5
2/25 10:09:36 am,Pinnacle,Atlanta Hawks,Philadelphia 76ers,-6.0,-126,6.0,-105,129,112,-8.5,8.5
2/25 10:09:31 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-6.5,-108,6.5,-115,129,112,-8.5,8.5
2/25 10:09:09 am,Pinnacle,Atlanta Hawks,Philadelphia 76ers,-6.5,-106,6.5,-125,129,112,-8.5,8.5
2/25 10:09:06 am,Pinnacle,Atlanta Hawks,Philadelphia 76ers,-6.5,-106,6.5,-125,129,112,-8.5,8.5
2/25 10:08:48 am,Pinnacle,Atlanta Hawks,Philadelphia 76ers,-6.5,-110,6.5,-120,129,112,-8.5,8.5
2/25 10:08:42 am,Pinnacle,Atlanta Hawks,Philadelphia 76ers,-6.5,-105,6.5,-111,129,112,-8.5,8.5
2/25 10:08:15 am,Pinnacle,Atlanta Hawks,Philadelphia 76ers,-6.5,-101,6.5,-116,129,112,-8.5,8.5
2/25 10:07:05 am,RedZone,Atlanta Hawks,Philadelphia 76ers,-5.5,-115,5.5,-108,129,112,-8.5,8.5
2/25 10:06:54 am,Pinnacle,Atlanta Hawks,Philadelphia 76ers,-6.5,-101,6.5,-116,129,112,-8.5,8.5
2/25 10:06:50 am,Pinnacle,Atlanta Hawks,Philadelphia 76ers,-6.5,-100,6.5,-116,129,112,-8.5,8.5
