Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/18 11:54:46 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,0.0,149,0.0,-176,120,121,-8.5,8.5
1/18 11:54:29 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,0.0,145,0.0,-171,120,121,-8.5,8.5
1/18 11:54:26 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,0.0,144,0.0,-170,120,121,-8.5,8.5
1/18 11:54:09 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,0.0,143,0.0,-168,120,121,-8.5,8.5
1/18 11:54:02 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,0.0,140,0.0,-165,120,121,-8.5,8.5
1/18 11:53:57 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,0.0,134,0.0,-157,120,121,-8.5,8.5
1/18 11:53:46 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,0.0,153,0.0,-180,120,121,-8.5,8.5
1/18 11:43:54 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-5.0,114,5.0,-134,120,121,-8.5,8.5
1/18 11:43:47 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-5.0,112,5.0,-131,120,121,-8.5,8.5
1/18 11:43:35 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-5.0,111,5.0,-130,120,121,-8.5,8.5
1/18 11:43:29 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-5.0,106,5.0,-123,120,121,-8.5,8.5
1/18 11:43:26 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-5.0,103,5.0,-120,120,121,-8.5,8.5
1/18 11:43:23 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-5.0,-104,5.0,-113,120,121,-8.5,8.5
1/18 11:43:14 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-5.0,-106,5.0,-110,120,121,-8.5,8.5
1/18 11:43:08 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-5.0,-107,5.0,-109,120,121,-8.5,8.5
1/18 11:37:36 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-8.5,-103,8.5,-129,120,121,-8.5,8.5
1/18 11:37:33 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-8.5,-106,8.5,-125,120,121,-8.5,8.5
1/18 11:37:17 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-8.0,-125,8.0,-106,120,121,-8.5,8.5
1/18 11:37:12 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-8.0,-115,8.0,-115,120,121,-8.5,8.5
1/18 11:37:09 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-8.0,-113,8.0,-117,120,121,-8.5,8.5
1/18 11:37:02 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-7.0,-119,7.0,-112,120,121,-8.5,8.5
1/18 11:36:54 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-7.0,-123,7.0,-108,120,121,-8.5,8.5
1/18 11:36:48 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-8.0,-123,8.0,-107,120,121,-8.5,8.5
1/18 11:36:44 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-8.0,-122,8.0,-108,120,121,-8.5,8.5
1/18 11:36:29 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-8.0,-125,8.0,-106,120,121,-8.5,8.5
1/18 11:36:18 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-9.0,-107,9.0,-123,120,121,-8.5,8.5
1/18 11:36:09 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-9.0,-108,9.0,-123,120,121,-8.5,8.5
1/18 11:35:47 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-8.5,-110,8.5,-121,120,121,-8.5,8.5
1/18 11:35:45 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-9.0,-112,9.0,-118,120,121,-8.5,8.5
1/18 11:35:44 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-9.0,-111,9.0,-119,120,121,-8.5,8.5
1/18 11:35:38 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-9.0,-110,9.0,-120,120,121,-8.5,8.5
1/18 11:35:36 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-10.0,-108,10.0,-122,120,121,-8.5,8.5
1/18 11:35:33 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-9.5,-124,9.5,-107,120,121,-8.5,8.5
1/18 11:35:24 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-9.0,-110,9.0,-120,120,121,-8.5,8.5
1/18 11:34:56 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-9.0,-108,9.0,-123,120,121,-8.5,8.5
1/18 11:34:45 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-9.0,-109,9.0,-122,120,121,-8.5,8.5
1/18 11:34:14 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-9.5,-108,9.5,-108,120,121,-8.5,8.5
1/18 11:33:53 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-9.0,-114,9.0,-102,120,121,-8.5,8.5
1/18 11:33:43 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-9.0,-117,9.0,-113,120,121,-8.5,8.5
1/18 11:33:39 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-9.0,-118,9.0,-112,120,121,-8.5,8.5
1/18 11:33:33 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-9.0,-120,9.0,-111,120,121,-8.5,8.5
1/18 11:33:12 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-9.0,-119,9.0,-112,120,121,-8.5,8.5
1/18 11:33:06 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-8.0,-122,8.0,-108,120,121,-8.5,8.5
1/18 11:32:51 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-9.0,-120,9.0,-111,120,121,-8.5,8.5
1/18 11:30:24 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-9.5,103,9.5,-121,120,121,-8.5,8.5
1/18 11:30:12 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-9.5,-101,9.5,-115,120,121,-8.5,8.5
1/18 11:29:54 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-9.0,-113,9.0,-103,120,121,-8.5,8.5
1/18 11:29:48 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-9.0,-120,9.0,-111,120,121,-8.5,8.5
1/18 11:29:44 am,Pinnacle,Atlanta Hawks,San Antonio Spurs,-10.5,-111,10.5,-119,120,121,-8.5,8.5
