Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/4 10:50:52 am,Pinnacle,Boston Celtics,Atlanta Hawks,5.5,131,-5.5,-153,115,123,5.5,-5.5
2/4 10:50:39 am,Pinnacle,Boston Celtics,Atlanta Hawks,5.5,128,-5.5,-150,115,123,5.5,-5.5
2/4 10:40:24 am,Pinnacle,Boston Celtics,Atlanta Hawks,4.0,115,-4.0,-134,115,123,5.5,-5.5
2/4 10:39:24 am,Pinnacle,Boston Celtics,Atlanta Hawks,4.0,117,-4.0,-137,115,123,5.5,-5.5
2/4 10:39:13 am,Pinnacle,Boston Celtics,Atlanta Hawks,4.0,113,-4.0,-132,115,123,5.5,-5.5
2/4 10:39:06 am,Pinnacle,Boston Celtics,Atlanta Hawks,4.0,106,-4.0,-123,115,123,5.5,-5.5
2/4 10:39:00 am,Pinnacle,Boston Celtics,Atlanta Hawks,4.0,107,-4.0,-125,115,123,5.5,-5.5
2/4 10:38:57 am,Pinnacle,Boston Celtics,Atlanta Hawks,4.0,101,-4.0,-118,115,123,5.5,-5.5
2/4 10:38:45 am,Pinnacle,Boston Celtics,Atlanta Hawks,4.0,100,-4.0,-117,115,123,5.5,-5.5
2/4 10:38:36 am,Pinnacle,Boston Celtics,Atlanta Hawks,4.0,-102,-4.0,-114,115,123,5.5,-5.5
2/4 10:38:30 am,Pinnacle,Boston Celtics,Atlanta Hawks,4.0,-104,-4.0,-113,115,123,5.5,-5.5
2/4 10:38:18 am,Pinnacle,Boston Celtics,Atlanta Hawks,4.0,-106,-4.0,-111,115,123,5.5,-5.5
2/4 10:34:54 am,Pinnacle,Boston Celtics,Atlanta Hawks,4.0,-123,-4.0,-107,115,123,5.5,-5.5
2/4 10:34:39 am,Pinnacle,Boston Celtics,Atlanta Hawks,4.5,-119,-4.5,-111,115,123,5.5,-5.5
2/4 10:34:36 am,Pinnacle,Boston Celtics,Atlanta Hawks,4.5,-120,-4.5,-110,115,123,5.5,-5.5
2/4 10:34:33 am,Pinnacle,Boston Celtics,Atlanta Hawks,4.5,-120,-4.5,-110,115,123,5.5,-5.5
2/4 10:34:24 am,Pinnacle,Boston Celtics,Atlanta Hawks,4.5,-111,-4.5,-119,115,123,5.5,-5.5
2/4 10:34:22 am,Pinnacle,Boston Celtics,Atlanta Hawks,4.5,-117,-4.5,-113,115,123,5.5,-5.5
2/4 10:34:06 am,Pinnacle,Boston Celtics,Atlanta Hawks,5.5,-120,-5.5,-110,115,123,5.5,-5.5
2/4 10:34:00 am,Pinnacle,Boston Celtics,Atlanta Hawks,5.5,-114,-5.5,-116,115,123,5.5,-5.5
2/4 10:33:57 am,Pinnacle,Boston Celtics,Atlanta Hawks,6.0,-110,-6.0,-120,115,123,5.5,-5.5
2/4 10:33:54 am,Pinnacle,Boston Celtics,Atlanta Hawks,6.0,-108,-6.0,-123,115,123,5.5,-5.5
2/4 10:33:52 am,Pinnacle,Boston Celtics,Atlanta Hawks,7.5,-139,-7.5,105,115,123,5.5,-5.5
2/4 10:33:45 am,Pinnacle,Boston Celtics,Atlanta Hawks,7.5,-127,-7.5,-104,115,123,5.5,-5.5
2/4 10:33:42 am,Pinnacle,Boston Celtics,Atlanta Hawks,6.5,-123,-6.5,-108,115,123,5.5,-5.5
2/4 10:33:27 am,Pinnacle,Boston Celtics,Atlanta Hawks,7.5,-117,-7.5,-113,115,123,5.5,-5.5
2/4 10:33:24 am,Pinnacle,Boston Celtics,Atlanta Hawks,7.5,-116,-7.5,-114,115,123,5.5,-5.5
2/4 10:33:22 am,Pinnacle,Boston Celtics,Atlanta Hawks,7.5,-116,-7.5,-114,115,123,5.5,-5.5
2/4 10:33:03 am,Pinnacle,Boston Celtics,Atlanta Hawks,7.5,-115,-7.5,-115,115,123,5.5,-5.5
2/4 10:32:59 am,Pinnacle,Boston Celtics,Atlanta Hawks,8.0,-132,-8.0,100,115,123,5.5,-5.5
2/4 10:32:58 am,Pinnacle,Boston Celtics,Atlanta Hawks,8.0,-122,-8.0,-109,115,123,5.5,-5.5
2/4 10:32:39 am,Pinnacle,Boston Celtics,Atlanta Hawks,8.0,-116,-8.0,-114,115,123,5.5,-5.5
2/4 10:32:31 am,Pinnacle,Boston Celtics,Atlanta Hawks,8.0,-127,-8.0,-104,115,123,5.5,-5.5
2/4 10:32:28 am,Pinnacle,Boston Celtics,Atlanta Hawks,8.0,-120,-8.0,-110,115,123,5.5,-5.5
2/4 10:32:24 am,Pinnacle,Boston Celtics,Atlanta Hawks,8.0,-120,-8.0,-111,115,123,5.5,-5.5
2/4 10:32:22 am,Pinnacle,Boston Celtics,Atlanta Hawks,8.0,-116,-8.0,-114,115,123,5.5,-5.5
2/4 10:32:13 am,Pinnacle,Boston Celtics,Atlanta Hawks,8.0,-117,-8.0,-113,115,123,5.5,-5.5
2/4 10:32:09 am,Pinnacle,Boston Celtics,Atlanta Hawks,9.0,-120,-9.0,-110,115,123,5.5,-5.5
2/4 10:32:00 am,Pinnacle,Boston Celtics,Atlanta Hawks,8.0,-122,-8.0,-108,115,123,5.5,-5.5
2/4 10:31:57 am,Pinnacle,Boston Celtics,Atlanta Hawks,8.0,-113,-8.0,-117,115,123,5.5,-5.5
2/4 10:31:52 am,Pinnacle,Boston Celtics,Atlanta Hawks,8.0,-119,-8.0,-111,115,123,5.5,-5.5
2/4 10:31:42 am,Pinnacle,Boston Celtics,Atlanta Hawks,9.0,-129,-9.0,-103,115,123,5.5,-5.5
2/4 10:31:40 am,Pinnacle,Boston Celtics,Atlanta Hawks,9.0,-121,-9.0,-109,115,123,5.5,-5.5
2/4 10:31:36 am,Pinnacle,Boston Celtics,Atlanta Hawks,9.0,-121,-9.0,-109,115,123,5.5,-5.5
2/4 10:31:30 am,Pinnacle,Boston Celtics,Atlanta Hawks,8.0,-118,-8.0,-112,115,123,5.5,-5.5
2/4 10:31:18 am,Pinnacle,Boston Celtics,Atlanta Hawks,9.0,-118,-9.0,-112,115,123,5.5,-5.5
2/4 10:31:12 am,Pinnacle,Boston Celtics,Atlanta Hawks,9.0,-107,-9.0,-123,115,123,5.5,-5.5
2/4 10:31:07 am,Pinnacle,Boston Celtics,Atlanta Hawks,9.5,-120,-9.5,-110,115,123,5.5,-5.5
