Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/30 3:14:07 am,Pinnacle,Boston Celtics,Brooklyn Nets,-7.0,-109,7.0,-107,112,107,4.5,-4.5
11/30 3:13:49 am,Pinnacle,Boston Celtics,Brooklyn Nets,-7.0,-111,7.0,-105,112,107,4.5,-4.5
11/30 3:13:43 am,Pinnacle,Boston Celtics,Brooklyn Nets,-7.0,-110,7.0,-106,112,107,4.5,-4.5
11/30 3:13:34 am,Pinnacle,Boston Celtics,Brooklyn Nets,-7.0,-114,7.0,-103,112,107,4.5,-4.5
11/30 3:13:32 am,Pinnacle,Boston Celtics,Brooklyn Nets,-7.0,-117,7.0,100,112,107,4.5,-4.5
11/30 3:13:25 am,Pinnacle,Boston Celtics,Brooklyn Nets,-7.0,-120,7.0,103,112,107,4.5,-4.5
11/30 3:03:08 am,Pinnacle,Boston Celtics,Brooklyn Nets,-8.0,-101,8.0,-116,112,107,4.5,-4.5
11/30 3:02:37 am,Pinnacle,Boston Celtics,Brooklyn Nets,-8.0,-100,8.0,-116,112,107,4.5,-4.5
11/30 3:02:28 am,Pinnacle,Boston Celtics,Brooklyn Nets,-8.0,101,8.0,-117,112,107,4.5,-4.5
11/30 3:02:08 am,Pinnacle,Boston Celtics,Brooklyn Nets,-8.0,-101,8.0,-116,112,107,4.5,-4.5
11/30 3:01:07 am,Pinnacle,Boston Celtics,Brooklyn Nets,-8.0,-102,8.0,-115,112,107,4.5,-4.5
11/30 3:00:53 am,Pinnacle,Boston Celtics,Brooklyn Nets,-8.0,-105,8.0,-111,112,107,4.5,-4.5
11/30 3:00:43 am,Pinnacle,Boston Celtics,Brooklyn Nets,-8.5,-110,8.5,-120,112,107,4.5,-4.5
11/30 3:00:32 am,Pinnacle,Boston Celtics,Brooklyn Nets,-8.5,-115,8.5,-115,112,107,4.5,-4.5
11/30 3:00:22 am,Pinnacle,Boston Celtics,Brooklyn Nets,-8.5,-117,8.5,-113,112,107,4.5,-4.5
11/30 3:00:20 am,Pinnacle,Boston Celtics,Brooklyn Nets,-8.0,-125,8.0,-106,112,107,4.5,-4.5
