Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/5 11:18:39 am,Pinnacle,Boston Celtics,Chicago Bulls,3.5,107,-3.5,-125,104,111,-1,1
1/5 11:18:36 am,Pinnacle,Boston Celtics,Chicago Bulls,3.5,111,-3.5,-129,104,111,-1,1
1/5 11:18:28 am,Pinnacle,Boston Celtics,Chicago Bulls,3.5,113,-3.5,-132,104,111,-1,1
1/5 11:18:09 am,Pinnacle,Boston Celtics,Chicago Bulls,3.5,114,-3.5,-133,104,111,-1,1
1/5 11:15:36 am,Pinnacle,Boston Celtics,Chicago Bulls,6.5,101,-6.5,-118,104,111,-1,1
1/5 11:08:51 am,Pinnacle,Boston Celtics,Chicago Bulls,2.5,-118,-2.5,-113,104,111,-1,1
1/5 11:08:45 am,Pinnacle,Boston Celtics,Chicago Bulls,2.5,-117,-2.5,-113,104,111,-1,1
1/5 11:08:33 am,Pinnacle,Boston Celtics,Chicago Bulls,3.5,-120,-3.5,-110,104,111,-1,1
1/5 11:08:27 am,Pinnacle,Boston Celtics,Chicago Bulls,3.5,-122,-3.5,-108,104,111,-1,1
1/5 11:08:06 am,Pinnacle,Boston Celtics,Chicago Bulls,3.5,-122,-3.5,-108,104,111,-1,1
1/5 11:08:05 am,Pinnacle,Boston Celtics,Chicago Bulls,3.5,-117,-3.5,-113,104,111,-1,1
1/5 11:08:00 am,Pinnacle,Boston Celtics,Chicago Bulls,3.5,-122,-3.5,-108,104,111,-1,1
1/5 11:07:50 am,Pinnacle,Boston Celtics,Chicago Bulls,2.5,-115,-2.5,-115,104,111,-1,1
1/5 11:07:49 am,Pinnacle,Boston Celtics,Chicago Bulls,2.5,-111,-2.5,-119,104,111,-1,1
1/5 11:07:37 am,Pinnacle,Boston Celtics,Chicago Bulls,2.5,-115,-2.5,-115,104,111,-1,1
1/5 11:07:35 am,Pinnacle,Boston Celtics,Chicago Bulls,2.5,-111,-2.5,-119,104,111,-1,1
1/5 11:07:21 am,Pinnacle,Boston Celtics,Chicago Bulls,2.5,-115,-2.5,-115,104,111,-1,1
1/5 11:07:06 am,Pinnacle,Boston Celtics,Chicago Bulls,2.5,-117,-2.5,-113,104,111,-1,1
1/5 11:08:20 am,Pinnacle,Boston Celtics,Chicago Bulls,2.5,-118,-2.5,-113,104,111,-1,1
1/5 11:06:57 am,Pinnacle,Boston Celtics,Chicago Bulls,3.5,-119,-3.5,-111,104,111,-1,1
1/5 11:06:51 am,Pinnacle,Boston Celtics,Chicago Bulls,3.5,-122,-3.5,-109,104,111,-1,1
1/5 11:06:48 am,Pinnacle,Boston Celtics,Chicago Bulls,3.0,-114,-3.0,-116,104,111,-1,1
1/5 11:06:45 am,Pinnacle,Boston Celtics,Chicago Bulls,4.5,-116,-4.5,-114,104,111,-1,1
1/5 11:06:36 am,Pinnacle,Boston Celtics,Chicago Bulls,5.0,-116,-5.0,-114,104,111,-1,1
1/5 11:06:25 am,Pinnacle,Boston Celtics,Chicago Bulls,5.0,-117,-5.0,-113,104,111,-1,1
1/5 11:06:21 am,Pinnacle,Boston Celtics,Chicago Bulls,5.0,-126,-5.0,-105,104,111,-1,1
1/5 11:06:17 am,Pinnacle,Boston Celtics,Chicago Bulls,7.0,-126,-7.0,-105,104,111,-1,1
1/5 11:05:33 am,Pinnacle,Boston Celtics,Chicago Bulls,7.5,-114,-7.5,-116,104,111,-1,1
1/5 11:04:04 am,Pinnacle,Boston Celtics,Chicago Bulls,7.5,107,-7.5,-125,104,111,-1,1
1/5 11:04:00 am,Pinnacle,Boston Celtics,Chicago Bulls,7.5,105,-7.5,-123,104,111,-1,1
1/5 11:03:19 am,Pinnacle,Boston Celtics,Chicago Bulls,7.5,107,-7.5,-125,104,111,-1,1
1/5 11:02:39 am,Pinnacle,Boston Celtics,Chicago Bulls,7.5,-114,-7.5,-116,104,111,-1,1
1/5 11:02:33 am,Pinnacle,Boston Celtics,Chicago Bulls,8.0,-107,-8.0,-123,104,111,-1,1
1/5 11:02:21 am,Pinnacle,Boston Celtics,Chicago Bulls,9.0,-113,-9.0,-117,104,111,-1,1
1/5 11:02:18 am,Pinnacle,Boston Celtics,Chicago Bulls,8.0,-107,-8.0,-124,104,111,-1,1
1/5 11:02:15 am,Pinnacle,Boston Celtics,Chicago Bulls,9.5,-116,-9.5,-114,104,111,-1,1
1/5 11:01:45 am,Pinnacle,Boston Celtics,Chicago Bulls,10.0,-116,-10.0,-114,104,111,-1,1
1/5 11:01:30 am,Pinnacle,Boston Celtics,Chicago Bulls,11.0,-116,-11.0,-114,104,111,-1,1
1/5 11:01:19 am,Pinnacle,Boston Celtics,Chicago Bulls,10.0,-116,-10.0,-114,104,111,-1,1
1/5 11:01:18 am,Pinnacle,Boston Celtics,Chicago Bulls,10.0,-116,-10.0,-114,104,111,-1,1
1/5 11:01:16 am,Pinnacle,Boston Celtics,Chicago Bulls,10.0,-116,-10.0,-114,104,111,-1,1
1/5 11:01:15 am,Pinnacle,Boston Celtics,Chicago Bulls,10.0,-120,-10.0,-110,104,111,-1,1
1/5 11:01:14 am,Pinnacle,Boston Celtics,Chicago Bulls,9.0,-116,-9.0,-114,104,111,-1,1
1/5 11:01:42 am,Pinnacle,Boston Celtics,Chicago Bulls,10.0,-124,-10.0,-106,104,111,-1,1
1/5 11:01:13 am,Pinnacle,Boston Celtics,Chicago Bulls,10.0,-120,-10.0,-110,104,111,-1,1
