Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/23 12:24:01 pm,Pinnacle,Boston Celtics,Denver Nuggets,-5.5,-147,5.5,125,96,92,-5,5
11/23 12:23:54 pm,Pinnacle,Boston Celtics,Denver Nuggets,-5.5,-147,5.5,126,96,92,-5,5
11/23 12:23:48 pm,Pinnacle,Boston Celtics,Denver Nuggets,-5.5,-140,5.5,120,96,92,-5,5
11/23 12:23:28 pm,Pinnacle,Boston Celtics,Denver Nuggets,-5.5,-143,5.5,122,96,92,-5,5
11/23 12:23:23 pm,Pinnacle,Boston Celtics,Denver Nuggets,-5.5,-150,5.5,128,96,92,-5,5
11/23 12:23:16 pm,Pinnacle,Boston Celtics,Denver Nuggets,-5.5,-162,5.5,138,96,92,-5,5
11/23 12:22:57 pm,Pinnacle,Boston Celtics,Denver Nuggets,-5.5,-171,5.5,145,96,92,-5,5
11/23 12:22:49 pm,Pinnacle,Boston Celtics,Denver Nuggets,-5.5,-180,5.5,153,96,92,-5,5
11/23 12:18:36 pm,Pinnacle,Boston Celtics,Denver Nuggets,-4.5,-121,4.5,103,96,92,-5,5
11/23 12:18:22 pm,Pinnacle,Boston Celtics,Denver Nuggets,-4.5,-120,4.5,103,96,92,-5,5
11/23 12:18:19 pm,Pinnacle,Boston Celtics,Denver Nuggets,-4.5,-119,4.5,102,96,92,-5,5
11/23 12:18:01 pm,Pinnacle,Boston Celtics,Denver Nuggets,-4.5,-118,4.5,101,96,92,-5,5
11/23 12:17:52 pm,Pinnacle,Boston Celtics,Denver Nuggets,-4.5,-119,4.5,102,96,92,-5,5
11/23 12:15:22 pm,Pinnacle,Boston Celtics,Denver Nuggets,-4.0,-121,4.0,103,96,92,-5,5
11/23 12:15:10 pm,Pinnacle,Boston Celtics,Denver Nuggets,-4.0,-116,4.0,-100,96,92,-5,5
11/23 12:15:03 pm,Pinnacle,Boston Celtics,Denver Nuggets,-4.0,-115,4.0,-101,96,92,-5,5
11/23 12:14:58 pm,Pinnacle,Boston Celtics,Denver Nuggets,-4.0,-114,4.0,-102,96,92,-5,5
11/23 12:14:54 pm,Pinnacle,Boston Celtics,Denver Nuggets,-4.0,-113,4.0,-103,96,92,-5,5
11/23 12:14:52 pm,Pinnacle,Boston Celtics,Denver Nuggets,-4.0,-110,4.0,-107,96,92,-5,5
11/23 12:14:34 pm,Pinnacle,Boston Celtics,Denver Nuggets,-4.0,-108,4.0,-108,96,92,-5,5
11/23 12:14:28 pm,Pinnacle,Boston Celtics,Denver Nuggets,-4.0,-107,4.0,-109,96,92,-5,5
11/23 12:10:28 pm,Pinnacle,Boston Celtics,Denver Nuggets,-4.0,-116,4.0,-100,96,92,-5,5
11/23 12:10:24 pm,Pinnacle,Boston Celtics,Denver Nuggets,-4.0,-115,4.0,-102,96,92,-5,5
11/23 12:10:09 pm,Pinnacle,Boston Celtics,Denver Nuggets,-4.0,-114,4.0,-103,96,92,-5,5
11/23 12:09:49 pm,Pinnacle,Boston Celtics,Denver Nuggets,-4.0,-111,4.0,-105,96,92,-5,5
11/23 12:09:37 pm,Pinnacle,Boston Celtics,Denver Nuggets,-4.0,-113,4.0,-104,96,92,-5,5
11/23 12:09:31 pm,Pinnacle,Boston Celtics,Denver Nuggets,-4.0,-111,4.0,-105,96,92,-5,5
11/23 12:09:27 pm,Pinnacle,Boston Celtics,Denver Nuggets,-4.0,-110,4.0,-106,96,92,-5,5
11/23 12:09:16 pm,Pinnacle,Boston Celtics,Denver Nuggets,-4.0,-109,4.0,-107,96,92,-5,5
11/23 12:09:01 pm,Pinnacle,Boston Celtics,Denver Nuggets,-4.0,-108,4.0,-108,96,92,-5,5
11/23 12:08:48 pm,Pinnacle,Boston Celtics,Denver Nuggets,-4.0,-109,4.0,-107,96,92,-5,5
11/23 12:08:35 pm,Pinnacle,Boston Celtics,Denver Nuggets,-4.0,-103,4.0,-114,96,92,-5,5
11/23 12:07:31 pm,Pinnacle,Boston Celtics,Denver Nuggets,-5.0,-123,5.0,-107,96,92,-5,5
11/23 12:07:28 pm,Pinnacle,Boston Celtics,Denver Nuggets,-6.0,-118,6.0,-112,96,92,-5,5
11/23 12:07:24 pm,Pinnacle,Boston Celtics,Denver Nuggets,-7.0,-100,7.0,-132,96,92,-5,5
11/23 12:07:21 pm,Pinnacle,Boston Celtics,Denver Nuggets,-7.0,-115,7.0,-115,96,92,-5,5
11/23 12:07:18 pm,Pinnacle,Boston Celtics,Denver Nuggets,-6.0,-120,6.0,-110,96,92,-5,5
11/23 12:07:15 pm,Pinnacle,Boston Celtics,Denver Nuggets,-5.0,-119,5.0,-111,96,92,-5,5
11/23 12:07:13 pm,Pinnacle,Boston Celtics,Denver Nuggets,-6.0,-174,6.0,130,96,92,-5,5
11/23 12:07:10 pm,Pinnacle,Boston Celtics,Denver Nuggets,-6.0,-140,6.0,106,96,92,-5,5
11/23 12:07:07 pm,Pinnacle,Boston Celtics,Denver Nuggets,-6.0,-126,6.0,-105,96,92,-5,5
11/23 12:07:04 pm,Pinnacle,Boston Celtics,Denver Nuggets,-6.0,-127,6.0,-104,96,92,-5,5
11/23 12:06:54 pm,Pinnacle,Boston Celtics,Denver Nuggets,-6.0,-120,6.0,-110,96,92,-5,5
11/23 12:06:52 pm,Pinnacle,Boston Celtics,Denver Nuggets,-6.5,-119,6.5,-111,96,92,-5,5
11/23 12:06:48 pm,Pinnacle,Boston Celtics,Denver Nuggets,-7.0,-106,7.0,-125,96,92,-5,5
11/23 12:06:45 pm,Pinnacle,Boston Celtics,Denver Nuggets,-7.0,-125,7.0,-106,96,92,-5,5
11/23 12:06:40 pm,Pinnacle,Boston Celtics,Denver Nuggets,-7.0,-134,7.0,101,96,92,-5,5
11/23 12:06:37 pm,Pinnacle,Boston Celtics,Denver Nuggets,-7.0,-119,7.0,-111,96,92,-5,5
11/23 12:06:33 pm,Pinnacle,Boston Celtics,Denver Nuggets,-7.0,-122,7.0,-108,96,92,-5,5
11/23 12:06:28 pm,Pinnacle,Boston Celtics,Denver Nuggets,-7.0,-119,7.0,-111,96,92,-5,5
11/23 12:06:24 pm,Pinnacle,Boston Celtics,Denver Nuggets,-7.5,-123,7.5,-108,96,92,-5,5
11/23 12:06:18 pm,Pinnacle,Boston Celtics,Denver Nuggets,-8.5,110,8.5,-147,96,92,-5,5
11/23 12:06:15 pm,Pinnacle,Boston Celtics,Denver Nuggets,-8.5,-116,8.5,-114,96,92,-5,5
11/23 12:06:09 pm,Pinnacle,Boston Celtics,Denver Nuggets,-8.5,-105,8.5,-126,96,92,-5,5
11/23 12:06:04 pm,Pinnacle,Boston Celtics,Denver Nuggets,-8.5,-111,8.5,-119,96,92,-5,5
11/23 12:05:51 pm,Pinnacle,Boston Celtics,Denver Nuggets,-8.5,-112,8.5,-118,96,92,-5,5
11/23 12:05:48 pm,Pinnacle,Boston Celtics,Denver Nuggets,-8.5,-110,8.5,-120,96,92,-5,5
11/23 12:05:30 pm,Pinnacle,Boston Celtics,Denver Nuggets,-8.5,-114,8.5,-116,96,92,-5,5
11/23 12:05:28 pm,Pinnacle,Boston Celtics,Denver Nuggets,-7.5,-141,7.5,106,96,92,-5,5
11/23 12:05:25 pm,Pinnacle,Boston Celtics,Denver Nuggets,-7.5,-134,7.5,101,96,92,-5,5
11/23 12:05:22 pm,Pinnacle,Boston Celtics,Denver Nuggets,-7.5,-126,7.5,-105,96,92,-5,5
11/23 12:05:19 pm,Pinnacle,Boston Celtics,Denver Nuggets,-8.5,110,8.5,-146,96,92,-5,5
