Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/16 1:57:21 pm,Pinnacle,Boston Celtics,Golden State Warriors,0.0,420,0.0,-550,100,105,6.5,-6.5
11/16 1:57:11 pm,Pinnacle,Boston Celtics,Golden State Warriors,0.0,452,0.0,-600,100,105,6.5,-6.5
11/16 1:48:08 pm,Pinnacle,Boston Celtics,Golden State Warriors,2.0,-116,-2.0,-101,100,105,6.5,-6.5
11/16 1:45:44 pm,Pinnacle,Boston Celtics,Golden State Warriors,2.0,-115,-2.0,-102,100,105,6.5,-6.5
11/16 1:45:21 pm,Pinnacle,Boston Celtics,Golden State Warriors,2.0,-110,-2.0,-106,100,105,6.5,-6.5
11/16 1:38:45 pm,Pinnacle,Boston Celtics,Golden State Warriors,2.5,-114,-2.5,-116,100,105,6.5,-6.5
11/16 1:37:50 pm,Pinnacle,Boston Celtics,Golden State Warriors,3.0,-121,-3.0,-109,100,105,6.5,-6.5
11/16 1:37:46 pm,Pinnacle,Boston Celtics,Golden State Warriors,4.0,-133,-4.0,100,100,105,6.5,-6.5
11/16 1:37:36 pm,Pinnacle,Boston Celtics,Golden State Warriors,4.0,-121,-4.0,-110,100,105,6.5,-6.5
11/16 1:37:32 pm,Pinnacle,Boston Celtics,Golden State Warriors,3.5,-109,-3.5,-121,100,105,6.5,-6.5
11/16 1:37:20 pm,Pinnacle,Boston Celtics,Golden State Warriors,4.5,-120,-4.5,-110,100,105,6.5,-6.5
11/16 1:37:12 pm,Pinnacle,Boston Celtics,Golden State Warriors,4.5,-119,-4.5,-111,100,105,6.5,-6.5
11/16 1:37:08 pm,Pinnacle,Boston Celtics,Golden State Warriors,3.0,-101,-3.0,-131,100,105,6.5,-6.5
11/16 1:37:05 pm,Pinnacle,Boston Celtics,Golden State Warriors,3.0,-111,-3.0,-119,100,105,6.5,-6.5
11/16 1:37:00 pm,Pinnacle,Boston Celtics,Golden State Warriors,2.5,-105,-2.5,-126,100,105,6.5,-6.5
11/16 1:36:51 pm,Pinnacle,Boston Celtics,Golden State Warriors,2.0,-101,-2.0,-130,100,105,6.5,-6.5
11/16 1:36:47 pm,Pinnacle,Boston Celtics,Golden State Warriors,2.0,-115,-2.0,-115,100,105,6.5,-6.5
11/16 1:36:45 pm,Pinnacle,Boston Celtics,Golden State Warriors,2.0,-112,-2.0,-118,100,105,6.5,-6.5
11/16 1:36:42 pm,Pinnacle,Boston Celtics,Golden State Warriors,2.0,-124,-2.0,-107,100,105,6.5,-6.5
11/16 1:36:29 pm,Pinnacle,Boston Celtics,Golden State Warriors,2.5,-124,-2.5,-107,100,105,6.5,-6.5
11/16 1:36:05 pm,Pinnacle,Boston Celtics,Golden State Warriors,1.0,-107,-1.0,-124,100,105,6.5,-6.5
11/16 1:35:51 pm,Pinnacle,Boston Celtics,Golden State Warriors,0.0,101,0.0,-118,100,105,6.5,-6.5
11/16 1:35:47 pm,Pinnacle,Boston Celtics,Golden State Warriors,0.0,100,0.0,-117,100,105,6.5,-6.5
11/16 1:35:35 pm,Pinnacle,Boston Celtics,Golden State Warriors,0.0,101,0.0,-117,100,105,6.5,-6.5
11/16 1:35:18 pm,Pinnacle,Boston Celtics,Golden State Warriors,0.0,-103,0.0,-113,100,105,6.5,-6.5
11/16 1:34:47 pm,Pinnacle,Boston Celtics,Golden State Warriors,0.0,-101,0.0,-116,100,105,6.5,-6.5
11/16 1:34:35 pm,Pinnacle,Boston Celtics,Golden State Warriors,0.0,102,0.0,-118,100,105,6.5,-6.5
11/16 1:34:29 pm,Pinnacle,Boston Celtics,Golden State Warriors,0.0,103,0.0,-120,100,105,6.5,-6.5
11/16 1:34:21 pm,Pinnacle,Boston Celtics,Golden State Warriors,0.0,102,0.0,-119,100,105,6.5,-6.5
11/16 1:34:11 pm,Pinnacle,Boston Celtics,Golden State Warriors,0.0,101,0.0,-118,100,105,6.5,-6.5
11/16 1:34:05 pm,Pinnacle,Boston Celtics,Golden State Warriors,0.0,100,0.0,-117,100,105,6.5,-6.5
11/16 1:34:00 pm,Pinnacle,Boston Celtics,Golden State Warriors,0.0,-101,0.0,-116,100,105,6.5,-6.5
11/16 1:33:57 pm,Pinnacle,Boston Celtics,Golden State Warriors,0.0,-110,0.0,-106,100,105,6.5,-6.5
11/16 1:33:51 pm,Pinnacle,Boston Celtics,Golden State Warriors,0.0,-111,0.0,-105,100,105,6.5,-6.5
11/16 1:33:44 pm,Pinnacle,Boston Celtics,Golden State Warriors,0.0,-113,0.0,-103,100,105,6.5,-6.5
11/16 1:33:42 pm,Pinnacle,Boston Celtics,Golden State Warriors,0.0,-115,0.0,-102,100,105,6.5,-6.5
11/16 1:33:21 pm,Pinnacle,Boston Celtics,Golden State Warriors,0.0,-120,0.0,103,100,105,6.5,-6.5
11/16 1:32:33 pm,Pinnacle,Boston Celtics,Golden State Warriors,-1.0,103,1.0,-136,100,105,6.5,-6.5
11/16 1:32:18 pm,Pinnacle,Boston Celtics,Golden State Warriors,1.0,-117,-1.0,-113,100,105,6.5,-6.5
11/16 1:32:12 pm,Pinnacle,Boston Celtics,Golden State Warriors,1.5,-111,-1.5,-119,100,105,6.5,-6.5
11/16 1:32:09 pm,Pinnacle,Boston Celtics,Golden State Warriors,1.5,-104,-1.5,-127,100,105,6.5,-6.5
11/16 1:32:03 pm,Pinnacle,Boston Celtics,Golden State Warriors,1.5,-108,-1.5,-122,100,105,6.5,-6.5
11/16 1:31:54 pm,Pinnacle,Boston Celtics,Golden State Warriors,2.0,-126,-2.0,-105,100,105,6.5,-6.5
11/16 1:31:51 pm,Pinnacle,Boston Celtics,Golden State Warriors,2.5,-121,-2.5,-109,100,105,6.5,-6.5
11/16 1:31:45 pm,Pinnacle,Boston Celtics,Golden State Warriors,3.5,-123,-3.5,-107,100,105,6.5,-6.5
11/16 1:31:41 pm,Pinnacle,Boston Celtics,Golden State Warriors,2.5,-113,-2.5,-117,100,105,6.5,-6.5
11/16 1:31:39 pm,Pinnacle,Boston Celtics,Golden State Warriors,2.5,-119,-2.5,-111,100,105,6.5,-6.5
11/16 1:31:26 pm,Pinnacle,Boston Celtics,Golden State Warriors,3.5,-116,-3.5,-114,100,105,6.5,-6.5
11/16 1:30:57 pm,Pinnacle,Boston Celtics,Golden State Warriors,4.0,-116,-4.0,-114,100,105,6.5,-6.5
11/16 1:30:53 pm,Pinnacle,Boston Celtics,Golden State Warriors,4.0,-121,-4.0,-109,100,105,6.5,-6.5
11/16 1:30:47 pm,Pinnacle,Boston Celtics,Golden State Warriors,4.0,-120,-4.0,-111,100,105,6.5,-6.5
11/16 1:30:45 pm,Pinnacle,Boston Celtics,Golden State Warriors,4.5,-114,-4.5,-116,100,105,6.5,-6.5
11/16 1:30:34 pm,Pinnacle,Boston Celtics,Golden State Warriors,3.0,-116,-3.0,-114,100,105,6.5,-6.5
11/16 1:30:30 pm,Pinnacle,Boston Celtics,Golden State Warriors,2.0,-112,-2.0,-118,100,105,6.5,-6.5
11/16 1:30:18 pm,Pinnacle,Boston Celtics,Golden State Warriors,3.0,-113,-3.0,-117,100,105,6.5,-6.5
11/16 1:30:06 pm,Pinnacle,Boston Celtics,Golden State Warriors,3.0,-110,-3.0,-120,100,105,6.5,-6.5
11/16 1:29:53 pm,Pinnacle,Boston Celtics,Golden State Warriors,3.5,-114,-3.5,-116,100,105,6.5,-6.5
11/16 1:29:36 pm,Pinnacle,Boston Celtics,Golden State Warriors,3.5,-121,-3.5,-109,100,105,6.5,-6.5
11/16 1:29:29 pm,Pinnacle,Boston Celtics,Golden State Warriors,3.5,-102,-3.5,-130,100,105,6.5,-6.5
11/16 1:29:18 pm,Pinnacle,Boston Celtics,Golden State Warriors,3.5,-107,-3.5,-124,100,105,6.5,-6.5
11/16 1:29:15 pm,Pinnacle,Boston Celtics,Golden State Warriors,4.5,-111,-4.5,-119,100,105,6.5,-6.5
11/16 1:29:03 pm,Pinnacle,Boston Celtics,Golden State Warriors,4.0,-108,-4.0,-123,100,105,6.5,-6.5
11/16 1:28:36 pm,Pinnacle,Boston Celtics,Golden State Warriors,4.0,-122,-4.0,-108,100,105,6.5,-6.5
11/16 1:28:03 pm,Pinnacle,Boston Celtics,Golden State Warriors,4.0,-123,-4.0,-108,100,105,6.5,-6.5
11/16 1:27:57 pm,Pinnacle,Boston Celtics,Golden State Warriors,3.0,-107,-3.0,-124,100,105,6.5,-6.5
11/16 1:27:38 pm,Pinnacle,Boston Celtics,Golden State Warriors,3.5,-114,-3.5,-116,100,105,6.5,-6.5
11/16 1:27:32 pm,Pinnacle,Boston Celtics,Golden State Warriors,3.5,-121,-3.5,-109,100,105,6.5,-6.5
11/16 1:27:30 pm,Pinnacle,Boston Celtics,Golden State Warriors,2.5,107,-2.5,-142,100,105,6.5,-6.5
11/16 1:27:27 pm,Pinnacle,Boston Celtics,Golden State Warriors,2.5,-121,-2.5,-110,100,105,6.5,-6.5
11/16 1:27:11 pm,Pinnacle,Boston Celtics,Golden State Warriors,3.5,-118,-3.5,-112,100,105,6.5,-6.5
11/16 1:27:09 pm,Pinnacle,Boston Celtics,Golden State Warriors,3.5,-111,-3.5,-119,100,105,6.5,-6.5
11/16 1:26:41 pm,Pinnacle,Boston Celtics,Golden State Warriors,4.0,-108,-4.0,-123,100,105,6.5,-6.5
11/16 1:26:38 pm,Pinnacle,Boston Celtics,Golden State Warriors,4.0,-117,-4.0,-113,100,105,6.5,-6.5
11/16 1:26:35 pm,Pinnacle,Boston Celtics,Golden State Warriors,5.0,-133,-5.0,100,100,105,6.5,-6.5
11/16 1:26:33 pm,Pinnacle,Boston Celtics,Golden State Warriors,5.0,-121,-5.0,-109,100,105,6.5,-6.5
11/16 1:26:23 pm,Pinnacle,Boston Celtics,Golden State Warriors,5.0,-123,-5.0,-108,100,105,6.5,-6.5
11/16 1:26:21 pm,Pinnacle,Boston Celtics,Golden State Warriors,4.0,-117,-4.0,-113,100,105,6.5,-6.5
11/16 1:26:18 pm,Pinnacle,Boston Celtics,Golden State Warriors,4.5,-101,-4.5,-131,100,105,6.5,-6.5
11/16 1:26:14 pm,Pinnacle,Boston Celtics,Golden State Warriors,4.5,-115,-4.5,-115,100,105,6.5,-6.5
11/16 1:26:05 pm,Pinnacle,Boston Celtics,Golden State Warriors,4.5,-124,-4.5,-107,100,105,6.5,-6.5
11/16 1:26:02 pm,Pinnacle,Boston Celtics,Golden State Warriors,4.5,-118,-4.5,-112,100,105,6.5,-6.5
11/16 1:25:42 pm,Pinnacle,Boston Celtics,Golden State Warriors,4.5,-119,-4.5,-111,100,105,6.5,-6.5
11/16 1:25:36 pm,Pinnacle,Boston Celtics,Golden State Warriors,4.5,-110,-4.5,-120,100,105,6.5,-6.5
11/16 1:25:27 pm,Pinnacle,Boston Celtics,Golden State Warriors,4.5,-119,-4.5,-111,100,105,6.5,-6.5
11/16 1:25:24 pm,Pinnacle,Boston Celtics,Golden State Warriors,4.0,-107,-4.0,-124,100,105,6.5,-6.5
11/16 1:25:15 pm,Pinnacle,Boston Celtics,Golden State Warriors,4.0,-116,-4.0,-114,100,105,6.5,-6.5
11/16 1:25:00 pm,Pinnacle,Boston Celtics,Golden State Warriors,5.0,-106,-5.0,-124,100,105,6.5,-6.5
11/16 1:24:54 pm,Pinnacle,Boston Celtics,Golden State Warriors,5.0,-116,-5.0,-114,100,105,6.5,-6.5
11/16 1:24:47 pm,Pinnacle,Boston Celtics,Golden State Warriors,5.5,-113,-5.5,-117,100,105,6.5,-6.5
11/16 1:24:45 pm,Pinnacle,Boston Celtics,Golden State Warriors,5.5,-101,-5.5,-131,100,105,6.5,-6.5
11/16 1:24:39 pm,Pinnacle,Boston Celtics,Golden State Warriors,5.5,-112,-5.5,-119,100,105,6.5,-6.5
11/16 1:24:36 pm,Pinnacle,Boston Celtics,Golden State Warriors,7.0,-134,-7.0,101,100,105,6.5,-6.5
11/16 1:24:33 pm,Pinnacle,Boston Celtics,Golden State Warriors,7.0,-125,-7.0,-106,100,105,6.5,-6.5
11/16 1:24:29 pm,Pinnacle,Boston Celtics,Golden State Warriors,7.0,-124,-7.0,-107,100,105,6.5,-6.5
11/16 1:22:38 pm,Pinnacle,Boston Celtics,Golden State Warriors,7.5,-123,-7.5,105,100,105,6.5,-6.5
11/16 1:22:08 pm,Pinnacle,Boston Celtics,Golden State Warriors,7.5,-122,-7.5,105,100,105,6.5,-6.5
11/16 1:21:33 pm,Pinnacle,Boston Celtics,Golden State Warriors,7.5,-117,-7.5,-100,100,105,6.5,-6.5
11/16 1:20:45 pm,Pinnacle,Boston Celtics,Golden State Warriors,6.0,-103,-6.0,-129,100,105,6.5,-6.5
11/16 1:20:26 pm,Pinnacle,Boston Celtics,Golden State Warriors,6.0,-113,-6.0,-117,100,105,6.5,-6.5
11/16 1:20:24 pm,Pinnacle,Boston Celtics,Golden State Warriors,7.0,-118,-7.0,-112,100,105,6.5,-6.5
11/16 1:20:21 pm,Pinnacle,Boston Celtics,Golden State Warriors,7.0,-117,-7.0,-113,100,105,6.5,-6.5
11/16 1:20:18 pm,Pinnacle,Boston Celtics,Golden State Warriors,7.0,-108,-7.0,-122,100,105,6.5,-6.5
11/16 1:20:14 pm,Pinnacle,Boston Celtics,Golden State Warriors,7.0,-115,-7.0,-115,100,105,6.5,-6.5
11/16 1:20:12 pm,Pinnacle,Boston Celtics,Golden State Warriors,6.5,-115,-6.5,-115,100,105,6.5,-6.5
11/16 1:20:03 pm,Pinnacle,Boston Celtics,Golden State Warriors,7.5,-120,-7.5,-110,100,105,6.5,-6.5
