Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/21 1:47:40 pm,Pinnacle,Boston Celtics,Los Angeles Clippers,-4.5,-174,4.5,148,107,104,-7,7
11/21 11:09:50 am,Pinnacle,Boston Celtics,Los Angeles Clippers,-7.0,-109,7.0,-102,107,104,-7,7
11/21 11:06:44 am,Pinnacle,Boston Celtics,Los Angeles Clippers,-7.0,-107,7.0,-103,107,104,-7,7
11/21 11:06:09 am,Pinnacle,Boston Celtics,Los Angeles Clippers,-7.0,-106,7.0,-104,107,104,-7,7
11/21 11:05:48 am,Pinnacle,Boston Celtics,Los Angeles Clippers,-7.5,102,7.5,-112,107,104,-7,7
11/21 11:05:38 am,Pinnacle,Boston Celtics,Los Angeles Clippers,-7.5,-101,7.5,-109,107,104,-7,7
11/21 11:05:05 am,Pinnacle,Boston Celtics,Los Angeles Clippers,-7.5,-101,7.5,-110,107,104,-7,7
11/21 11:02:45 am,Pinnacle,Boston Celtics,Los Angeles Clippers,-7.5,-100,7.5,-110,107,104,-7,7
11/21 11:00:36 am,Pinnacle,Boston Celtics,Los Angeles Clippers,-7.5,100,7.5,-111,107,104,-7,7
11/21 11:00:27 am,Pinnacle,Boston Celtics,Los Angeles Clippers,-7.5,101,7.5,-111,107,104,-7,7
11/21 11:00:21 am,Pinnacle,Boston Celtics,Los Angeles Clippers,-7.5,-102,7.5,-108,107,104,-7,7
11/21 10:57:39 am,Pinnacle,Boston Celtics,Los Angeles Clippers,-7.5,-105,7.5,-105,107,104,-7,7
11/21 10:57:02 am,Pinnacle,Boston Celtics,Los Angeles Clippers,-7.5,-108,7.5,-102,107,104,-7,7
11/21 10:54:54 am,Pinnacle,Boston Celtics,Los Angeles Clippers,-7.5,-109,7.5,-101,107,104,-7,7
11/21 10:54:51 am,Pinnacle,Boston Celtics,Los Angeles Clippers,-7.5,-110,7.5,-101,107,104,-7,7
11/21 10:54:32 am,Pinnacle,Boston Celtics,Los Angeles Clippers,-7.5,-110,7.5,-100,107,104,-7,7
11/21 10:54:26 am,Pinnacle,Boston Celtics,Los Angeles Clippers,-7.5,-107,7.5,-103,107,104,-7,7
11/21 10:54:24 am,Pinnacle,Boston Celtics,Los Angeles Clippers,-7.0,-114,7.0,104,107,104,-7,7
11/21 10:49:09 am,Pinnacle,Boston Celtics,Los Angeles Clippers,-7.0,-112,7.0,101,107,104,-7,7
