Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/17 11:26:58 am,Pinnacle,Boston Celtics,Milwaukee Bucks,-12.0,-108,12.0,-108,128,123,-11,11
1/17 11:25:52 am,Pinnacle,Boston Celtics,Milwaukee Bucks,-12.0,-105,12.0,-111,128,123,-11,11
1/17 11:25:07 am,Pinnacle,Boston Celtics,Milwaukee Bucks,-12.0,-104,12.0,-113,128,123,-11,11
1/17 11:24:46 am,Pinnacle,Boston Celtics,Milwaukee Bucks,-12.0,-103,12.0,-113,128,123,-11,11
1/17 11:18:01 am,Pinnacle,Boston Celtics,Milwaukee Bucks,-12.0,-104,12.0,-112,128,123,-11,11
1/17 11:17:49 am,Pinnacle,Boston Celtics,Milwaukee Bucks,-12.0,-107,12.0,-109,128,123,-11,11
1/17 11:15:55 am,Pinnacle,Boston Celtics,Milwaukee Bucks,-10.5,-115,10.5,-115,128,123,-11,11
1/17 11:15:37 am,Pinnacle,Boston Celtics,Milwaukee Bucks,-10.5,-114,10.5,-116,128,123,-11,11
1/17 11:15:25 am,Pinnacle,Boston Celtics,Milwaukee Bucks,-11.0,-119,11.0,-111,128,123,-11,11
1/17 11:15:04 am,Pinnacle,Boston Celtics,Milwaukee Bucks,-13.0,-112,13.0,-118,128,123,-11,11
1/17 11:14:58 am,Pinnacle,Boston Celtics,Milwaukee Bucks,-13.0,-112,13.0,-118,128,123,-11,11
1/17 11:14:52 am,Pinnacle,Boston Celtics,Milwaukee Bucks,-14.0,-115,14.0,-115,128,123,-11,11
1/17 11:14:31 am,Pinnacle,Boston Celtics,Milwaukee Bucks,-13.0,-110,13.0,-120,128,123,-11,11
1/17 11:14:19 am,Pinnacle,Boston Celtics,Milwaukee Bucks,-12.5,-114,12.5,-116,128,123,-11,11
1/17 11:15:07 am,Pinnacle,Boston Celtics,Milwaukee Bucks,-12.5,-109,12.5,-122,128,123,-11,11
1/17 11:13:59 am,Pinnacle,Boston Celtics,Milwaukee Bucks,-12.5,-109,12.5,-121,128,123,-11,11
1/17 11:13:47 am,Pinnacle,Boston Celtics,Milwaukee Bucks,-12.5,-110,12.5,-121,128,123,-11,11
1/17 11:13:34 am,Pinnacle,Boston Celtics,Milwaukee Bucks,-14.0,-110,14.0,-121,128,123,-11,11
1/17 11:13:16 am,Pinnacle,Boston Celtics,Milwaukee Bucks,-14.0,-110,14.0,-120,128,123,-11,11
1/17 11:13:01 am,Pinnacle,Boston Celtics,Milwaukee Bucks,-14.0,-111,14.0,-120,128,123,-11,11
1/17 11:12:58 am,Pinnacle,Boston Celtics,Milwaukee Bucks,-15.0,-114,15.0,-116,128,123,-11,11
1/17 11:12:50 am,Pinnacle,Boston Celtics,Milwaukee Bucks,-15.0,-113,15.0,-117,128,123,-11,11
1/17 11:12:34 am,Pinnacle,Boston Celtics,Milwaukee Bucks,-14.0,-111,14.0,-119,128,123,-11,11
1/17 11:12:22 am,Pinnacle,Boston Celtics,Milwaukee Bucks,-14.0,-111,14.0,-119,128,123,-11,11
1/17 11:12:16 am,Pinnacle,Boston Celtics,Milwaukee Bucks,-14.5,-119,14.5,-112,128,123,-11,11
1/17 11:11:58 am,Pinnacle,Boston Celtics,Milwaukee Bucks,-14.5,-119,14.5,-111,128,123,-11,11
1/17 11:11:52 am,Pinnacle,Boston Celtics,Milwaukee Bucks,-15.0,-119,15.0,-112,128,123,-11,11
1/17 11:11:28 am,Pinnacle,Boston Celtics,Milwaukee Bucks,-15.0,-114,15.0,-116,128,123,-11,11
1/17 11:11:08 am,Pinnacle,Boston Celtics,Milwaukee Bucks,-15.0,-114,15.0,-116,128,123,-11,11
