Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
10/27 9:54:09 am,Pinnacle,Boston Celtics,New York Knicks,22.5,-110,-22.5,-106,95,118,5,-5
10/27 9:53:52 am,Pinnacle,Boston Celtics,New York Knicks,23.0,-108,-23.0,-108,95,118,5,-5
10/27 9:48:43 am,Pinnacle,Boston Celtics,New York Knicks,16.5,-136,-16.5,-115,95,118,5,-5
10/27 9:48:35 am,Pinnacle,Boston Celtics,New York Knicks,16.5,-133,-16.5,-117,95,118,5,-5
10/27 9:48:26 am,Pinnacle,Boston Celtics,New York Knicks,14.5,-122,-14.5,-128,95,118,5,-5
10/27 9:47:41 am,Pinnacle,Boston Celtics,New York Knicks,13.0,-135,-13.0,-116,95,118,5,-5
10/27 9:46:52 am,Pinnacle,Boston Celtics,New York Knicks,12.0,-127,-12.0,-123,95,118,5,-5
10/27 9:46:39 am,Pinnacle,Boston Celtics,New York Knicks,12.5,-119,-12.5,-132,95,118,5,-5
10/27 9:46:05 am,Pinnacle,Boston Celtics,New York Knicks,13.0,-111,-13.0,-105,95,118,5,-5
10/27 9:43:53 am,Pinnacle,Boston Celtics,New York Knicks,13.0,-109,-13.0,-107,95,118,5,-5
10/27 9:43:25 am,Pinnacle,Boston Celtics,New York Knicks,12.5,-117,-12.5,-134,95,118,5,-5
10/27 9:43:20 am,Pinnacle,Boston Celtics,New York Knicks,12.5,-118,-12.5,-133,95,118,5,-5
10/27 9:43:16 am,Pinnacle,Boston Celtics,New York Knicks,12.0,-124,-12.0,-126,95,118,5,-5
10/27 9:43:03 am,Pinnacle,Boston Celtics,New York Knicks,11.0,-124,-11.0,-126,95,118,5,-5
10/27 9:42:58 am,Pinnacle,Boston Celtics,New York Knicks,12.0,-127,-12.0,-123,95,118,5,-5
10/27 9:42:54 am,Pinnacle,Boston Celtics,New York Knicks,10.5,-116,-10.5,-134,95,118,5,-5
10/27 9:42:30 am,Pinnacle,Boston Celtics,New York Knicks,10.0,-116,-10.0,-134,95,118,5,-5
10/27 9:42:26 am,Pinnacle,Boston Celtics,New York Knicks,9.5,-127,-9.5,-123,95,118,5,-5
10/27 9:42:18 am,Pinnacle,Boston Celtics,New York Knicks,8.5,-128,-8.5,-122,95,118,5,-5
10/27 9:42:09 am,Pinnacle,Boston Celtics,New York Knicks,9.5,-126,-9.5,-124,95,118,5,-5
10/27 9:42:00 am,Pinnacle,Boston Celtics,New York Knicks,10.0,-110,-10.0,-120,95,118,5,-5
10/27 9:41:57 am,Pinnacle,Boston Celtics,New York Knicks,10.0,-107,-10.0,-124,95,118,5,-5
10/27 9:41:48 am,Pinnacle,Boston Celtics,New York Knicks,10.0,-116,-10.0,-135,95,118,5,-5
10/27 9:41:10 am,Pinnacle,Boston Celtics,New York Knicks,10.0,-115,-10.0,-136,95,118,5,-5
10/27 9:40:57 am,Pinnacle,Boston Celtics,New York Knicks,9.5,-136,-9.5,-115,95,118,5,-5
10/27 9:40:49 am,Pinnacle,Boston Celtics,New York Knicks,10.0,-116,-10.0,-135,95,118,5,-5
10/27 9:40:36 am,Pinnacle,Boston Celtics,New York Knicks,9.5,-136,-9.5,-115,95,118,5,-5
10/27 9:40:24 am,Pinnacle,Boston Celtics,New York Knicks,10.0,-115,-10.0,-136,95,118,5,-5
10/27 9:40:16 am,Pinnacle,Boston Celtics,New York Knicks,10.5,-135,-10.5,-116,95,118,5,-5
10/27 9:39:52 am,Pinnacle,Boston Celtics,New York Knicks,10.0,-116,-10.0,-135,95,118,5,-5
10/27 9:39:42 am,Pinnacle,Boston Celtics,New York Knicks,11.0,-128,-11.0,-123,95,118,5,-5
10/27 9:39:25 am,Pinnacle,Boston Celtics,New York Knicks,12.0,-131,-12.0,-119,95,118,5,-5
10/27 9:39:17 am,Pinnacle,Boston Celtics,New York Knicks,12.0,-130,-12.0,-120,95,118,5,-5
10/27 9:39:13 am,Pinnacle,Boston Celtics,New York Knicks,13.5,-118,-13.5,-112,95,118,5,-5
10/27 9:39:01 am,Pinnacle,Boston Celtics,New York Knicks,13.5,-133,-13.5,-117,95,118,5,-5
10/27 9:36:13 am,Pinnacle,Boston Celtics,New York Knicks,12.0,-113,-12.0,-103,95,118,5,-5
10/27 9:35:27 am,Pinnacle,Boston Celtics,New York Knicks,12.5,-125,-12.5,-125,95,118,5,-5
10/27 9:35:18 am,Pinnacle,Boston Celtics,New York Knicks,12.0,-130,-12.0,-120,95,118,5,-5
10/27 9:34:56 am,Pinnacle,Boston Celtics,New York Knicks,12.0,-129,-12.0,-121,95,118,5,-5
10/27 9:34:39 am,Pinnacle,Boston Celtics,New York Knicks,11.0,-125,-11.0,-125,95,118,5,-5
10/27 9:34:26 am,Pinnacle,Boston Celtics,New York Knicks,9.5,-126,-9.5,-124,95,118,5,-5
10/27 9:34:18 am,Pinnacle,Boston Celtics,New York Knicks,9.5,-125,-9.5,-125,95,118,5,-5
10/27 9:34:14 am,Pinnacle,Boston Celtics,New York Knicks,9.0,-124,-9.0,-126,95,118,5,-5
10/27 9:33:24 am,Pinnacle,Boston Celtics,New York Knicks,8.5,-124,-8.5,-126,95,118,5,-5
10/27 9:33:20 am,Pinnacle,Boston Celtics,New York Knicks,8.5,-123,-8.5,-127,95,118,5,-5
10/27 9:33:11 am,Pinnacle,Boston Celtics,New York Knicks,8.0,-123,-8.0,-127,95,118,5,-5
10/27 9:33:07 am,Pinnacle,Boston Celtics,New York Knicks,7.0,-114,-7.0,-137,95,118,5,-5
10/27 9:31:19 am,Pinnacle,Boston Celtics,New York Knicks,7.0,-108,-7.0,-108,95,118,5,-5
10/27 9:30:49 am,Pinnacle,Boston Celtics,New York Knicks,7.0,-110,-7.0,-106,95,118,5,-5
10/27 9:28:59 am,Pinnacle,Boston Celtics,New York Knicks,7.0,-120,-7.0,-120,95,118,5,-5
10/27 9:28:50 am,Pinnacle,Boston Celtics,New York Knicks,6.5,-122,-6.5,-118,95,118,5,-5
10/27 9:28:42 am,Pinnacle,Boston Celtics,New York Knicks,7.0,-117,-7.0,-124,95,118,5,-5
10/27 9:28:21 am,Pinnacle,Boston Celtics,New York Knicks,6.5,-125,-6.5,-115,95,118,5,-5
10/27 9:27:50 am,Pinnacle,Boston Celtics,New York Knicks,6.0,-114,-6.0,-126,95,118,5,-5
10/27 9:26:38 am,Pinnacle,Boston Celtics,New York Knicks,6.0,-122,-6.0,-118,95,118,5,-5
10/27 9:26:30 am,Pinnacle,Boston Celtics,New York Knicks,6.5,-122,-6.5,-118,95,118,5,-5
10/27 9:26:26 am,Pinnacle,Boston Celtics,New York Knicks,7.0,-113,-7.0,-127,95,118,5,-5
10/27 9:26:12 am,Pinnacle,Boston Celtics,New York Knicks,7.0,-128,-7.0,-113,95,118,5,-5
10/27 9:26:04 am,Pinnacle,Boston Celtics,New York Knicks,6.5,-112,-6.5,-128,95,118,5,-5
10/27 9:25:43 am,Pinnacle,Boston Celtics,New York Knicks,6.5,-118,-6.5,-122,95,118,5,-5
10/27 9:25:30 am,Pinnacle,Boston Celtics,New York Knicks,5.5,-125,-5.5,-115,95,118,5,-5
10/27 9:25:05 am,Pinnacle,Boston Celtics,New York Knicks,4.5,-113,-4.5,-128,95,118,5,-5
10/27 9:25:00 am,Pinnacle,Boston Celtics,New York Knicks,4.5,-116,-4.5,-124,95,118,5,-5
10/27 9:24:43 am,Pinnacle,Boston Celtics,New York Knicks,5.5,-122,-5.5,-118,95,118,5,-5
10/27 9:24:21 am,Pinnacle,Boston Celtics,New York Knicks,6.5,-126,-6.5,-115,95,118,5,-5
10/27 9:23:42 am,Pinnacle,Boston Celtics,New York Knicks,5.5,-118,-5.5,-122,95,118,5,-5
