Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/10 6:47:59 am,Pinnacle,Boston Celtics,Oklahoma City Thunder,7.5,103,-7.5,-120,111,112,1.5,-1.5
2/10 6:47:44 am,Pinnacle,Boston Celtics,Oklahoma City Thunder,7.5,102,-7.5,-119,111,112,1.5,-1.5
2/10 6:47:35 am,Pinnacle,Boston Celtics,Oklahoma City Thunder,7.5,106,-7.5,-124,111,112,1.5,-1.5
2/10 6:47:08 am,Pinnacle,Boston Celtics,Oklahoma City Thunder,7.5,114,-7.5,-133,111,112,1.5,-1.5
2/10 6:47:02 am,Pinnacle,Boston Celtics,Oklahoma City Thunder,7.5,103,-7.5,-120,111,112,1.5,-1.5
2/10 6:46:56 am,Pinnacle,Boston Celtics,Oklahoma City Thunder,7.5,-108,-7.5,-108,111,112,1.5,-1.5
2/10 6:39:27 am,Pinnacle,Boston Celtics,Oklahoma City Thunder,5.5,-116,-5.5,-114,111,112,1.5,-1.5
2/10 6:39:05 am,Pinnacle,Boston Celtics,Oklahoma City Thunder,5.5,-122,-5.5,-108,111,112,1.5,-1.5
2/10 6:39:02 am,Pinnacle,Boston Celtics,Oklahoma City Thunder,4.5,-109,-4.5,-121,111,112,1.5,-1.5
2/10 6:38:47 am,Pinnacle,Boston Celtics,Oklahoma City Thunder,4.5,-109,-4.5,-122,111,112,1.5,-1.5
2/10 6:38:41 am,Pinnacle,Boston Celtics,Oklahoma City Thunder,3.5,-104,-3.5,-112,111,112,1.5,-1.5
2/10 6:38:29 am,Pinnacle,Boston Celtics,Oklahoma City Thunder,5.0,-114,-5.0,-102,111,112,1.5,-1.5
2/10 6:38:11 am,Pinnacle,Boston Celtics,Oklahoma City Thunder,5.0,-103,-5.0,-113,111,112,1.5,-1.5
2/10 6:38:09 am,Pinnacle,Boston Celtics,Oklahoma City Thunder,5.5,-114,-5.5,-103,111,112,1.5,-1.5
2/10 6:35:09 am,Pinnacle,Boston Celtics,Oklahoma City Thunder,5.5,-121,-5.5,-109,111,112,1.5,-1.5
2/10 6:35:06 am,Pinnacle,Boston Celtics,Oklahoma City Thunder,5.5,-122,-5.5,-109,111,112,1.5,-1.5
