Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
10/24 10:08:32 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-11.5,-102,11.5,-114,107,93,-5.5,5.5
10/24 10:08:23 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-11.5,-109,11.5,-107,107,93,-5.5,5.5
10/24 10:08:09 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-11.5,-115,11.5,-102,107,93,-5.5,5.5
10/24 10:06:43 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-11.5,-112,11.5,-139,107,93,-5.5,5.5
10/24 10:06:38 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-10.5,-135,10.5,-116,107,93,-5.5,5.5
10/24 10:05:42 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-10.5,-134,10.5,-116,107,93,-5.5,5.5
10/24 10:05:32 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-12.0,107,12.0,-143,107,93,-5.5,5.5
10/24 10:05:27 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-12.0,-135,12.0,-116,107,93,-5.5,5.5
10/24 10:05:22 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-12.0,-133,12.0,-117,107,93,-5.5,5.5
10/24 10:05:08 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-11.5,-126,11.5,-124,107,93,-5.5,5.5
10/24 10:05:03 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-10.5,-130,10.5,-120,107,93,-5.5,5.5
10/24 10:04:48 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-11.5,-137,11.5,-114,107,93,-5.5,5.5
10/24 10:04:20 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-12.0,-108,12.0,-122,107,93,-5.5,5.5
10/24 10:04:16 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-12.0,-111,12.0,-119,107,93,-5.5,5.5
10/24 10:04:11 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-12.0,-134,12.0,-116,107,93,-5.5,5.5
10/24 10:03:57 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-13.0,-116,13.0,-114,107,93,-5.5,5.5
10/24 10:03:47 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-13.0,-113,13.0,-117,107,93,-5.5,5.5
10/24 10:03:42 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-13.0,-138,13.0,-114,107,93,-5.5,5.5
10/24 10:03:18 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-14.0,-123,14.0,-127,107,93,-5.5,5.5
10/24 10:03:09 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-12.5,-121,12.5,-129,107,93,-5.5,5.5
10/24 10:03:05 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-11.5,-122,11.5,-128,107,93,-5.5,5.5
10/24 10:02:41 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-11.5,-136,11.5,-115,107,93,-5.5,5.5
10/24 10:02:12 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-12.0,-110,12.0,-120,107,93,-5.5,5.5
10/24 10:02:03 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-12.0,-136,12.0,-115,107,93,-5.5,5.5
10/24 10:01:39 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-11.5,-127,11.5,-123,107,93,-5.5,5.5
10/24 10:01:35 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-11.0,-132,11.0,-118,107,93,-5.5,5.5
10/24 10:01:15 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-10.5,-130,10.5,-120,107,93,-5.5,5.5
10/24 10:00:47 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-11.5,-103,11.5,-129,107,93,-5.5,5.5
10/24 10:00:32 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-11.5,-127,11.5,-123,107,93,-5.5,5.5
10/24 10:00:14 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-10.5,-133,10.5,-118,107,93,-5.5,5.5
10/24 9:59:55 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-9.0,-123,9.0,-127,107,93,-5.5,5.5
10/24 9:58:03 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-9.0,-108,9.0,-108,107,93,-5.5,5.5
10/24 9:56:56 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-9.0,-110,9.0,-106,107,93,-5.5,5.5
10/24 9:56:47 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-9.0,-115,9.0,-101,107,93,-5.5,5.5
10/24 9:56:23 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-9.5,-118,9.5,-133,107,93,-5.5,5.5
10/24 9:56:18 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-8.0,-117,8.0,-133,107,93,-5.5,5.5
10/24 9:56:03 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-7.0,-130,7.0,-121,107,93,-5.5,5.5
10/24 9:55:53 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-5.5,-123,5.5,-127,107,93,-5.5,5.5
10/24 9:53:21 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-5.5,-111,5.5,-105,107,93,-5.5,5.5
10/24 9:52:47 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-5.5,-107,5.5,-109,107,93,-5.5,5.5
10/24 9:52:23 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-5.5,-123,5.5,-127,107,93,-5.5,5.5
10/24 9:52:14 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-6.5,-130,6.5,-102,107,93,-5.5,5.5
10/24 9:51:59 am,Pinnacle,Boston Celtics,Philadelphia 76ers,-6.5,-122,6.5,-128,107,93,-5.5,5.5
