Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/26 1:13:34 pm,RedZone,Boston Celtics,Portland Trail Blazers,14.5,-177,-14.5,139,106,118,7.5,-7.5
2/26 1:13:20 pm,RedZone,Boston Celtics,Portland Trail Blazers,13.5,133,-13.5,-168,106,118,7.5,-7.5
2/26 1:13:12 pm,RedZone,Boston Celtics,Portland Trail Blazers,14.5,-142,-14.5,113,106,118,7.5,-7.5
2/26 1:12:55 pm,RedZone,Boston Celtics,Portland Trail Blazers,14.5,-117,-14.5,-106,106,118,7.5,-7.5
2/26 1:12:32 pm,RedZone,Boston Celtics,Portland Trail Blazers,14.5,113,-14.5,-142,106,118,7.5,-7.5
2/26 1:12:03 pm,RedZone,Boston Celtics,Portland Trail Blazers,15.5,109,-15.5,-137,106,118,7.5,-7.5
2/26 1:11:48 pm,RedZone,Boston Celtics,Portland Trail Blazers,15.5,-129,-15.5,104,106,118,7.5,-7.5
2/26 1:11:27 pm,RedZone,Boston Celtics,Portland Trail Blazers,15.5,104,-15.5,-129,106,118,7.5,-7.5
2/26 1:11:18 pm,RedZone,Boston Celtics,Portland Trail Blazers,16.5,-112,-16.5,-112,106,118,7.5,-7.5
2/26 1:11:05 pm,RedZone,Boston Celtics,Portland Trail Blazers,16.5,-121,-16.5,-103,106,118,7.5,-7.5
2/26 1:10:52 pm,RedZone,Boston Celtics,Portland Trail Blazers,15.5,-137,-15.5,109,106,118,7.5,-7.5
2/26 1:10:42 pm,RedZone,Boston Celtics,Portland Trail Blazers,16.5,101,-16.5,-125,106,118,7.5,-7.5
2/26 1:10:31 pm,RedZone,Boston Celtics,Portland Trail Blazers,16.5,-103,-16.5,-121,106,118,7.5,-7.5
2/26 1:10:17 pm,RedZone,Boston Celtics,Portland Trail Blazers,15.5,104,-15.5,-129,106,118,7.5,-7.5
2/26 1:10:09 pm,RedZone,Boston Celtics,Portland Trail Blazers,16.5,-108,-16.5,-115,106,118,7.5,-7.5
2/26 1:10:01 pm,RedZone,Boston Celtics,Portland Trail Blazers,16.5,-112,-16.5,-112,106,118,7.5,-7.5
2/26 1:09:41 pm,RedZone,Boston Celtics,Portland Trail Blazers,15.5,-134,-15.5,107,106,118,7.5,-7.5
2/26 1:09:19 pm,RedZone,Boston Celtics,Portland Trail Blazers,16.5,-121,-16.5,-103,106,118,7.5,-7.5
2/26 1:08:05 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.5,-105,-15.5,-111,106,118,7.5,-7.5
2/26 1:07:59 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.5,-107,-15.5,-109,106,118,7.5,-7.5
2/26 1:07:56 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.5,-106,-15.5,-110,106,118,7.5,-7.5
2/26 1:07:42 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.5,-100,-15.5,-116,106,118,7.5,-7.5
2/26 1:07:39 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.5,102,-15.5,-119,106,118,7.5,-7.5
2/26 1:07:30 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.5,101,-15.5,-118,106,118,7.5,-7.5
2/26 1:07:11 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.5,103,-15.5,-120,106,118,7.5,-7.5
2/26 1:07:02 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.5,101,-15.5,-118,106,118,7.5,-7.5
2/26 1:06:59 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.5,106,-15.5,-124,106,118,7.5,-7.5
2/26 1:06:41 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.5,105,-15.5,-123,106,118,7.5,-7.5
2/26 1:06:32 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.5,-108,-15.5,-108,106,118,7.5,-7.5
2/26 1:06:15 pm,RedZone,Boston Celtics,Portland Trail Blazers,15.5,-103,-15.5,-121,106,118,7.5,-7.5
2/26 1:05:53 pm,RedZone,Boston Celtics,Portland Trail Blazers,15.5,-129,-15.5,104,106,118,7.5,-7.5
2/26 1:05:42 pm,RedZone,Boston Celtics,Portland Trail Blazers,13.5,-103,-13.5,-121,106,118,7.5,-7.5
2/26 1:05:26 pm,RedZone,Boston Celtics,Portland Trail Blazers,13.5,-125,-13.5,101,106,118,7.5,-7.5
2/26 1:05:12 pm,RedZone,Boston Celtics,Portland Trail Blazers,12.5,104,-12.5,-129,106,118,7.5,-7.5
2/26 1:04:57 pm,RedZone,Boston Celtics,Portland Trail Blazers,12.5,-108,-12.5,-115,106,118,7.5,-7.5
2/26 1:04:30 pm,RedZone,Boston Celtics,Portland Trail Blazers,12.5,-125,-12.5,101,106,118,7.5,-7.5
2/26 1:04:22 pm,RedZone,Boston Celtics,Portland Trail Blazers,11.5,-108,-11.5,-115,106,118,7.5,-7.5
2/26 1:04:10 pm,RedZone,Boston Celtics,Portland Trail Blazers,11.5,-117,-11.5,-106,106,118,7.5,-7.5
2/26 1:03:54 pm,RedZone,Boston Celtics,Portland Trail Blazers,10.5,101,-10.5,-125,106,118,7.5,-7.5
2/26 1:03:02 pm,RedZone,Boston Celtics,Portland Trail Blazers,10.5,-117,-10.5,-106,106,118,7.5,-7.5
2/26 1:02:52 pm,RedZone,Boston Celtics,Portland Trail Blazers,11.5,-129,-11.5,104,106,118,7.5,-7.5
2/26 1:02:39 pm,RedZone,Boston Celtics,Portland Trail Blazers,11.5,-108,-11.5,-115,106,118,7.5,-7.5
2/26 1:02:20 pm,RedZone,Boston Celtics,Portland Trail Blazers,11.5,-112,-11.5,-112,106,118,7.5,-7.5
2/26 1:01:58 pm,RedZone,Boston Celtics,Portland Trail Blazers,11.5,-103,-11.5,-121,106,118,7.5,-7.5
2/26 1:01:33 pm,RedZone,Boston Celtics,Portland Trail Blazers,11.5,-117,-11.5,-106,106,118,7.5,-7.5
2/26 1:01:23 pm,RedZone,Boston Celtics,Portland Trail Blazers,13.5,-103,-13.5,-121,106,118,7.5,-7.5
2/26 1:01:07 pm,RedZone,Boston Celtics,Portland Trail Blazers,11.5,101,-11.5,-125,106,118,7.5,-7.5
2/26 1:00:51 pm,RedZone,Boston Celtics,Portland Trail Blazers,12.5,-121,-12.5,-103,106,118,7.5,-7.5
2/26 1:00:26 pm,RedZone,Boston Celtics,Portland Trail Blazers,12.5,-125,-12.5,101,106,118,7.5,-7.5
2/26 12:59:57 pm,RedZone,Boston Celtics,Portland Trail Blazers,12.5,-117,-12.5,-106,106,118,7.5,-7.5
2/26 12:59:49 pm,RedZone,Boston Celtics,Portland Trail Blazers,13.5,-121,-13.5,-103,106,118,7.5,-7.5
2/26 12:59:28 pm,RedZone,Boston Celtics,Portland Trail Blazers,13.5,-103,-13.5,-121,106,118,7.5,-7.5
2/26 12:59:11 pm,RedZone,Boston Celtics,Portland Trail Blazers,15.5,-117,-15.5,-106,106,118,7.5,-7.5
2/26 12:59:05 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.5,-131,-14.5,-101,106,118,7.5,-7.5
2/26 12:59:04 pm,RedZone,Boston Celtics,Portland Trail Blazers,14.5,-103,-14.5,-121,106,118,7.5,-7.5
2/26 12:59:03 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.5,-121,-14.5,-109,106,118,7.5,-7.5
2/26 12:58:59 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.5,-134,-14.5,101,106,118,7.5,-7.5
2/26 12:58:56 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.5,-108,-14.5,-108,106,118,7.5,-7.5
2/26 12:58:44 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.5,-105,-14.5,-111,106,118,7.5,-7.5
2/26 12:58:32 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.5,-105,-14.5,-111,106,118,7.5,-7.5
2/26 12:58:29 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.5,-104,-14.5,-112,106,118,7.5,-7.5
2/26 12:58:20 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.5,-105,-14.5,-112,106,118,7.5,-7.5
2/26 12:58:17 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.5,-104,-14.5,-112,106,118,7.5,-7.5
2/26 12:57:56 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.5,-105,-14.5,-111,106,118,7.5,-7.5
2/26 12:57:35 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.5,-106,-14.5,-110,106,118,7.5,-7.5
2/26 12:57:28 pm,RedZone,Boston Celtics,Portland Trail Blazers,15.5,-117,-15.5,-106,106,118,7.5,-7.5
2/26 12:57:26 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.5,-106,-14.5,-110,106,118,7.5,-7.5
2/26 12:56:59 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.5,-107,-14.5,-109,106,118,7.5,-7.5
2/26 12:56:50 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.5,-108,-14.5,-108,106,118,7.5,-7.5
2/26 12:56:41 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.5,-108,-14.5,-108,106,118,7.5,-7.5
2/26 12:56:35 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.5,-110,-14.5,-106,106,118,7.5,-7.5
2/26 12:56:30 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.5,-110,-14.5,-106,106,118,7.5,-7.5
2/26 12:56:16 pm,RedZone,Boston Celtics,Portland Trail Blazers,15.5,101,-15.5,-125,106,118,7.5,-7.5
2/26 12:56:11 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.5,-111,-14.5,-105,106,118,7.5,-7.5
2/26 12:56:09 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.5,-118,-14.5,-112,106,118,7.5,-7.5
2/26 12:56:02 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.5,-118,-14.5,-112,106,118,7.5,-7.5
2/26 12:55:57 pm,RedZone,Boston Celtics,Portland Trail Blazers,15.5,-103,-15.5,-121,106,118,7.5,-7.5
2/26 12:55:53 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.5,-117,-14.5,-113,106,118,7.5,-7.5
2/26 12:55:48 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.0,-106,-14.0,-125,106,118,7.5,-7.5
2/26 12:55:47 pm,RedZone,Boston Celtics,Portland Trail Blazers,15.5,101,-15.5,-125,106,118,7.5,-7.5
2/26 12:55:42 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.0,-114,-14.0,-116,106,118,7.5,-7.5
2/26 12:55:38 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.0,-125,-15.0,-106,106,118,7.5,-7.5
2/26 12:55:33 pm,RedZone,Boston Celtics,Portland Trail Blazers,15.5,-115,-15.5,-108,106,118,7.5,-7.5
2/26 12:55:32 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.5,-154,-14.5,116,106,118,7.5,-7.5
2/26 12:55:29 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.5,-129,-14.5,-103,106,118,7.5,-7.5
2/26 12:55:27 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.5,-119,-14.5,-111,106,118,7.5,-7.5
2/26 12:55:17 pm,RedZone,Boston Celtics,Portland Trail Blazers,15.5,101,-15.5,-125,106,118,7.5,-7.5
2/26 12:55:14 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.0,-134,-15.0,101,106,118,7.5,-7.5
2/26 12:55:12 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.0,-115,-15.0,-115,106,118,7.5,-7.5
2/26 12:55:09 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.0,-123,-15.0,-108,106,118,7.5,-7.5
2/26 12:55:06 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.0,-122,-15.0,-108,106,118,7.5,-7.5
2/26 12:55:02 pm,RedZone,Boston Celtics,Portland Trail Blazers,16.5,-103,-16.5,-121,106,118,7.5,-7.5
2/26 12:55:00 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.5,-105,-14.5,-126,106,118,7.5,-7.5
2/26 12:54:52 pm,RedZone,Boston Celtics,Portland Trail Blazers,15.5,101,-15.5,-125,106,118,7.5,-7.5
2/26 12:54:50 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.0,-129,-15.0,-103,106,118,7.5,-7.5
2/26 12:54:47 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.0,-120,-15.0,-111,106,118,7.5,-7.5
2/26 12:54:42 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.0,-102,-15.0,-130,106,118,7.5,-7.5
2/26 12:54:38 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.5,-122,-15.5,-108,106,118,7.5,-7.5
2/26 12:54:35 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.0,-145,-15.0,109,106,118,7.5,-7.5
2/26 12:54:29 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.0,-107,-15.0,-124,106,118,7.5,-7.5
2/26 12:54:18 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.0,-129,-15.0,-103,106,118,7.5,-7.5
2/26 12:54:14 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.5,-114,-14.5,-116,106,118,7.5,-7.5
2/26 12:54:11 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.5,-126,-14.5,-105,106,118,7.5,-7.5
2/26 12:54:08 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.5,-126,-14.5,-105,106,118,7.5,-7.5
2/26 12:54:06 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.0,111,-14.0,-147,106,118,7.5,-7.5
2/26 12:54:02 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.0,100,-14.0,-132,106,118,7.5,-7.5
2/26 12:53:59 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.0,-111,-14.0,-119,106,118,7.5,-7.5
2/26 12:53:57 pm,RedZone,Boston Celtics,Portland Trail Blazers,16.5,-103,-16.5,-121,106,118,7.5,-7.5
2/26 12:53:56 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,13.5,124,-13.5,-165,106,118,7.5,-7.5
2/26 12:53:54 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,13.5,104,-13.5,-138,106,118,7.5,-7.5
2/26 12:53:50 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,13.5,-112,-13.5,-118,106,118,7.5,-7.5
2/26 12:53:50 pm,RedZone,Boston Celtics,Portland Trail Blazers,16.5,-108,-16.5,-115,106,118,7.5,-7.5
2/26 12:53:47 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,13.0,128,-13.0,-171,106,118,7.5,-7.5
2/26 12:53:45 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,13.0,-109,-13.0,-122,106,118,7.5,-7.5
2/26 12:53:42 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,13.0,121,-13.0,-161,106,118,7.5,-7.5
2/26 12:53:38 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,13.0,103,-13.0,-136,106,118,7.5,-7.5
2/26 12:53:36 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,13.0,-109,-13.0,-122,106,118,7.5,-7.5
2/26 12:53:26 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,13.5,-115,-13.5,-115,106,118,7.5,-7.5
2/26 12:53:11 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.0,-115,-14.0,-115,106,118,7.5,-7.5
2/26 12:53:06 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.0,-124,-14.0,-107,106,118,7.5,-7.5
2/26 12:53:02 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,14.0,-115,-14.0,-115,106,118,7.5,-7.5
2/26 12:53:00 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.0,-114,-15.0,-116,106,118,7.5,-7.5
2/26 12:52:57 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.5,-150,-15.5,113,106,118,7.5,-7.5
2/26 12:52:57 pm,RedZone,Boston Celtics,Portland Trail Blazers,13.5,-112,-13.5,-112,106,118,7.5,-7.5
2/26 12:52:53 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.5,-138,-15.5,104,106,118,7.5,-7.5
2/26 12:52:51 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.0,-150,-15.0,113,106,118,7.5,-7.5
2/26 12:52:51 pm,RedZone,Boston Celtics,Portland Trail Blazers,14.5,-106,-14.5,-117,106,118,7.5,-7.5
2/26 12:52:41 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.0,-125,-15.0,-106,106,118,7.5,-7.5
2/26 12:52:35 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.5,-124,-15.5,-107,106,118,7.5,-7.5
2/26 12:52:32 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.5,-139,-15.5,105,106,118,7.5,-7.5
2/26 12:52:31 pm,RedZone,Boston Celtics,Portland Trail Blazers,14.5,-103,-14.5,-121,106,118,7.5,-7.5
2/26 12:52:26 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.5,-116,-15.5,-114,106,118,7.5,-7.5
2/26 12:52:23 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.5,-110,-15.5,-120,106,118,7.5,-7.5
2/26 12:52:16 pm,RedZone,Boston Celtics,Portland Trail Blazers,15.5,-117,-15.5,-106,106,118,7.5,-7.5
2/26 12:52:15 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,15.5,-114,-15.5,-116,106,118,7.5,-7.5
2/26 12:52:12 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,16.0,-114,-16.0,-117,106,118,7.5,-7.5
2/26 12:52:10 pm,RedZone,Boston Celtics,Portland Trail Blazers,15.5,-125,-15.5,101,106,118,7.5,-7.5
2/26 12:52:02 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,16.5,-145,-16.5,109,106,118,7.5,-7.5
2/26 12:51:59 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,16.5,-120,-16.5,-110,106,118,7.5,-7.5
2/26 12:51:56 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,16.5,-112,-16.5,-119,106,118,7.5,-7.5
2/26 12:51:53 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,17.5,-121,-17.5,-109,106,118,7.5,-7.5
2/26 12:51:51 pm,Pinnacle,Boston Celtics,Portland Trail Blazers,18.0,-163,-18.0,122,106,118,7.5,-7.5
