Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/7 10:13:08 am,Pinnacle,Boston Celtics,Washington Wizards,-4.5,-125,4.5,107,99,94,7.5,-7.5
1/7 10:01:44 am,Pinnacle,Boston Celtics,Washington Wizards,-3.0,-118,3.0,-112,99,94,7.5,-7.5
1/7 10:01:42 am,Pinnacle,Boston Celtics,Washington Wizards,-4.0,-123,4.0,-108,99,94,7.5,-7.5
1/7 10:01:29 am,Pinnacle,Boston Celtics,Washington Wizards,-2.5,-111,2.5,-119,99,94,7.5,-7.5
1/7 10:01:20 am,Pinnacle,Boston Celtics,Washington Wizards,-2.5,-111,2.5,-119,99,94,7.5,-7.5
1/7 10:01:14 am,Pinnacle,Boston Celtics,Washington Wizards,-2.5,-109,2.5,-121,99,94,7.5,-7.5
1/7 10:01:12 am,Pinnacle,Boston Celtics,Washington Wizards,-2.5,-109,2.5,-121,99,94,7.5,-7.5
1/7 10:01:06 am,Pinnacle,Boston Celtics,Washington Wizards,-2.5,-119,2.5,-111,99,94,7.5,-7.5
1/7 10:01:00 am,Pinnacle,Boston Celtics,Washington Wizards,-3.0,-109,3.0,-121,99,94,7.5,-7.5
1/7 10:00:54 am,Pinnacle,Boston Celtics,Washington Wizards,-1.5,-123,1.5,-108,99,94,7.5,-7.5
1/7 10:00:50 am,Pinnacle,Boston Celtics,Washington Wizards,-1.0,-112,1.0,-118,99,94,7.5,-7.5
1/7 10:00:48 am,Pinnacle,Boston Celtics,Washington Wizards,-1.0,-113,1.0,-117,99,94,7.5,-7.5
1/7 10:00:39 am,Pinnacle,Boston Celtics,Washington Wizards,-1.0,-106,1.0,-124,99,94,7.5,-7.5
1/7 10:00:33 am,Pinnacle,Boston Celtics,Washington Wizards,-2.0,-102,2.0,-115,99,94,7.5,-7.5
1/7 10:00:27 am,Pinnacle,Boston Celtics,Washington Wizards,-1.5,-101,1.5,-116,99,94,7.5,-7.5
1/7 10:00:09 am,Pinnacle,Boston Celtics,Washington Wizards,-1.5,-102,1.5,-114,99,94,7.5,-7.5
1/7 9:57:51 am,Pinnacle,Boston Celtics,Washington Wizards,-2.0,-102,2.0,-115,99,94,7.5,-7.5
1/7 9:57:50 am,Pinnacle,Boston Celtics,Washington Wizards,-2.0,-109,2.0,-121,99,94,7.5,-7.5
1/7 9:57:39 am,Pinnacle,Boston Celtics,Washington Wizards,-2.0,-116,2.0,-114,99,94,7.5,-7.5
