Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/5 10:40:10 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,13.0,-120,-13.0,103,118,130,3,-3
12/5 10:39:59 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,13.0,-118,-13.0,101,118,130,3,-3
12/5 10:39:53 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,13.0,-117,-13.0,100,118,130,3,-3
12/5 10:39:37 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,13.0,-113,-13.0,-103,118,130,3,-3
12/5 10:39:00 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,13.0,-103,-13.0,-113,118,130,3,-3
12/5 10:38:17 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,11.5,-122,-11.5,-109,118,130,3,-3
12/5 10:38:11 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,10.5,-111,-10.5,-120,118,130,3,-3
12/5 10:38:04 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,10.5,-109,-10.5,-122,118,130,3,-3
12/5 10:37:57 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,11.5,-128,-11.5,-104,118,130,3,-3
12/5 10:37:50 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,11.5,-123,-11.5,-107,118,130,3,-3
12/5 10:37:22 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,9.5,-106,-9.5,-125,118,130,3,-3
12/5 10:37:02 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,8.5,-109,-8.5,-122,118,130,3,-3
12/5 10:36:43 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,8.0,-129,-8.0,-103,118,130,3,-3
12/5 10:36:23 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,8.0,-114,-8.0,-116,118,130,3,-3
12/5 10:36:16 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,8.0,-113,-8.0,-117,118,130,3,-3
12/5 10:36:10 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,8.5,-109,-8.5,-121,118,130,3,-3
12/5 10:34:20 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,8.5,103,-8.5,-136,118,130,3,-3
12/5 10:34:06 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,8.5,104,-8.5,-138,118,130,3,-3
12/5 10:33:52 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,8.5,-108,-8.5,-122,118,130,3,-3
12/5 10:33:46 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,8.0,-113,-8.0,-117,118,130,3,-3
12/5 10:29:07 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,8.0,-112,-8.0,-118,118,130,3,-3
12/5 10:29:00 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,8.0,-114,-8.0,-116,118,130,3,-3
12/5 10:28:19 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,8.5,-110,-8.5,-120,118,130,3,-3
12/5 10:28:13 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,9.5,-110,-9.5,-120,118,130,3,-3
12/5 10:28:06 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,8.5,-112,-8.5,-118,118,130,3,-3
12/5 10:27:51 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,8.5,-107,-8.5,-123,118,130,3,-3
12/5 10:24:54 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,8.0,-114,-8.0,-116,118,130,3,-3
12/5 10:24:41 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,8.0,-113,-8.0,-117,118,130,3,-3
12/5 10:24:35 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,8.5,-110,-8.5,-121,118,130,3,-3
12/5 10:24:21 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,9.5,-110,-9.5,-121,118,130,3,-3
12/5 10:24:14 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,8.5,-108,-8.5,-122,118,130,3,-3
12/5 10:24:00 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,10.0,-116,-10.0,-114,118,130,3,-3
12/5 10:23:47 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,10.0,-119,-10.0,-111,118,130,3,-3
12/5 10:23:40 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,10.5,-115,-10.5,-115,118,130,3,-3
12/5 10:23:26 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,12.0,-110,-12.0,-120,118,130,3,-3
12/5 10:23:19 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,12.0,-109,-12.0,-121,118,130,3,-3
12/5 10:23:12 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,13.0,-121,-13.0,-109,118,130,3,-3
12/5 10:22:58 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,12.5,-113,-12.5,-117,118,130,3,-3
12/5 10:22:23 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,12.0,-117,-12.0,-113,118,130,3,-3
12/5 10:22:16 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,10.5,-116,-10.5,-114,118,130,3,-3
12/5 10:21:56 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,10.5,-122,-10.5,-108,118,130,3,-3
12/5 10:21:43 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,9.0,-122,-9.0,-108,118,130,3,-3
12/5 10:21:37 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,9.0,-122,-9.0,-109,118,130,3,-3
12/5 10:20:50 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,10.5,-122,-10.5,-108,118,130,3,-3
12/5 10:20:44 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,11.0,-108,-11.0,-123,118,130,3,-3
12/5 10:20:30 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,10.0,-108,-10.0,-123,118,130,3,-3
12/5 10:20:23 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,11.0,-108,-11.0,-122,118,130,3,-3
12/5 10:20:02 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,10.5,-121,-10.5,-109,118,130,3,-3
12/5 10:19:48 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,9.0,-123,-9.0,-108,118,130,3,-3
12/5 10:19:41 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,9.0,-127,-9.0,109,118,130,3,-3
12/5 10:18:02 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,9.0,-126,-9.0,108,118,130,3,-3
12/5 10:17:32 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,9.0,-114,-9.0,-102,118,130,3,-3
12/5 10:16:58 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,8.0,-119,-8.0,-111,118,130,3,-3
12/5 10:16:51 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,9.0,-111,-9.0,-119,118,130,3,-3
12/5 10:16:44 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,9.0,-119,-9.0,-111,118,130,3,-3
12/5 10:16:37 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,9.5,-120,-9.5,-110,118,130,3,-3
12/5 10:16:18 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,9.5,-119,-9.5,-111,118,130,3,-3
12/5 10:15:38 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,9.5,-123,-9.5,-108,118,130,3,-3
12/5 10:15:31 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,9.0,-109,-9.0,-122,118,130,3,-3
12/5 10:15:24 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,8.0,-107,-8.0,-123,118,130,3,-3
12/5 10:14:22 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,7.5,-107,-7.5,-109,118,130,3,-3
12/5 10:13:53 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,8.0,-107,-8.0,-123,118,130,3,-3
12/5 10:13:33 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,8.0,-118,-8.0,-112,118,130,3,-3
12/5 10:13:26 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,8.0,-120,-8.0,-110,118,130,3,-3
12/5 10:13:04 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,9.5,-120,-9.5,-110,118,130,3,-3
12/5 10:12:51 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,8.5,-108,-8.5,-122,118,130,3,-3
12/5 10:12:14 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,8.0,-121,-8.0,-109,118,130,3,-3
12/5 10:12:01 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,8.5,-108,-8.5,-122,118,130,3,-3
12/5 10:11:53 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,8.5,-118,-8.5,-112,118,130,3,-3
12/5 10:11:25 am,Pinnacle,Brooklyn Nets,Atlanta Hawks,9.0,-118,-9.0,-112,118,130,3,-3
