Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/3 9:08:31 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-4.0,-140,4.0,120,113,109,3.5,-3.5
11/3 9:08:25 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-4.0,-135,4.0,116,113,109,3.5,-3.5
11/3 9:08:19 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-4.0,-117,4.0,100,113,109,3.5,-3.5
11/3 9:03:58 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-8.5,105,8.5,-123,113,109,3.5,-3.5
11/3 9:03:40 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-8.5,102,8.5,-119,113,109,3.5,-3.5
11/3 9:03:34 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-8.5,100,8.5,-117,113,109,3.5,-3.5
11/3 9:03:31 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-8.5,-106,8.5,-110,113,109,3.5,-3.5
11/3 9:03:25 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-8.5,-109,8.5,-107,113,109,3.5,-3.5
11/3 9:02:28 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-9.0,-105,9.0,-126,113,109,3.5,-3.5
11/3 9:02:25 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-9.0,-120,9.0,-110,113,109,3.5,-3.5
11/3 9:02:22 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-9.0,-121,9.0,-110,113,109,3.5,-3.5
11/3 9:02:11 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-8.5,106,8.5,-141,113,109,3.5,-3.5
11/3 9:02:02 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-8.5,-111,8.5,-120,113,109,3.5,-3.5
11/3 9:01:58 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-8.0,-115,8.0,-115,113,109,3.5,-3.5
11/3 9:01:55 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-9.0,103,9.0,-136,113,109,3.5,-3.5
11/3 9:01:52 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-9.0,-113,9.0,-117,113,109,3.5,-3.5
11/3 9:01:50 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-9.0,-115,9.0,-115,113,109,3.5,-3.5
11/3 9:01:43 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-8.5,112,8.5,-149,113,109,3.5,-3.5
11/3 9:01:31 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-8.5,115,8.5,-153,113,109,3.5,-3.5
11/3 9:01:20 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-8.5,-106,8.5,-125,113,109,3.5,-3.5
11/3 9:01:10 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-7.5,-106,7.5,-125,113,109,3.5,-3.5
11/3 9:01:07 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-7.5,-117,7.5,-113,113,109,3.5,-3.5
11/3 9:01:01 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-6.5,-117,6.5,-113,113,109,3.5,-3.5
11/3 9:00:58 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-5.5,-123,5.5,-107,113,109,3.5,-3.5
11/3 9:00:55 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-5.0,-139,5.0,105,113,109,3.5,-3.5
11/3 9:00:52 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-5.0,-123,5.0,-107,113,109,3.5,-3.5
11/3 9:00:47 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-6.5,-109,6.5,-121,113,109,3.5,-3.5
11/3 9:00:43 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-6.5,-113,6.5,-117,113,109,3.5,-3.5
11/3 9:00:08 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-6.5,-116,6.5,-114,113,109,3.5,-3.5
11/3 9:00:02 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-7.0,-117,7.0,-113,113,109,3.5,-3.5
11/3 8:59:58 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-7.0,-121,7.0,-110,113,109,3.5,-3.5
11/3 8:59:55 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-7.5,-116,7.5,-114,113,109,3.5,-3.5
11/3 8:59:37 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-8.0,-102,8.0,-130,113,109,3.5,-3.5
11/3 8:59:34 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-8.0,-112,8.0,-118,113,109,3.5,-3.5
11/3 8:59:19 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-8.0,-116,8.0,-114,113,109,3.5,-3.5
11/3 8:59:17 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-8.0,-117,8.0,-113,113,109,3.5,-3.5
11/3 8:59:07 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-9.0,-116,9.0,-114,113,109,3.5,-3.5
11/3 8:58:52 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-9.0,-120,9.0,103,113,109,3.5,-3.5
11/3 8:58:41 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-9.0,-114,9.0,-102,113,109,3.5,-3.5
11/3 8:58:16 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-9.0,-107,9.0,-109,113,109,3.5,-3.5
11/3 8:56:54 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-9.0,-108,9.0,-108,113,109,3.5,-3.5
11/3 8:56:46 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-9.0,-110,9.0,-106,113,109,3.5,-3.5
11/3 8:56:37 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-9.0,-108,9.0,-108,113,109,3.5,-3.5
11/3 8:56:22 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-9.5,-117,9.5,-114,113,109,3.5,-3.5
11/3 8:56:04 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-9.5,-116,9.5,-114,113,109,3.5,-3.5
11/3 8:56:01 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-8.0,-113,8.0,-117,113,109,3.5,-3.5
11/3 8:55:58 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-7.0,-119,7.0,-111,113,109,3.5,-3.5
11/3 8:55:40 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-7.0,-113,7.0,-117,113,109,3.5,-3.5
11/3 8:55:28 am,Pinnacle,Brooklyn Nets,Detroit Pistons,-6.0,-118,6.0,-112,113,109,3.5,-3.5
