Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
3/11 12:55:30 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,2.5,-108,-2.5,-108,102,104,-12.5,12.5
3/11 12:52:12 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,0.0,165,0.0,-195,102,104,-12.5,12.5
3/11 12:52:06 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,0.0,158,0.0,-187,102,104,-12.5,12.5
3/11 12:51:51 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,0.0,170,0.0,-201,102,104,-12.5,12.5
3/11 12:51:48 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,0.0,177,0.0,-210,102,104,-12.5,12.5
3/11 12:51:38 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,0.0,189,0.0,-225,102,104,-12.5,12.5
3/11 12:51:35 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,0.0,207,0.0,-248,102,104,-12.5,12.5
3/11 12:51:26 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,0.0,221,0.0,-266,102,104,-12.5,12.5
3/11 12:51:23 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,0.0,224,0.0,-270,102,104,-12.5,12.5
3/11 12:50:39 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,0.0,-138,0.0,118,102,104,-12.5,12.5
3/11 12:50:09 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,0.0,-143,0.0,122,102,104,-12.5,12.5
3/11 12:50:06 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,0.0,-157,0.0,133,102,104,-12.5,12.5
3/11 12:50:01 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,0.0,-152,0.0,129,102,104,-12.5,12.5
3/11 12:49:54 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,0.0,-135,0.0,116,102,104,-12.5,12.5
3/11 12:49:45 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,0.0,-140,0.0,120,102,104,-12.5,12.5
3/11 12:47:09 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,1.5,-125,-1.5,101,102,104,-12.5,12.5
3/11 12:46:46 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,1.5,-117,-1.5,-106,102,104,-12.5,12.5
3/11 12:46:32 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,1.5,-129,-1.5,104,102,104,-12.5,12.5
3/11 12:46:15 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,1.5,-148,-1.5,118,102,104,-12.5,12.5
3/11 12:46:00 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,1.5,-150,-1.5,119,102,104,-12.5,12.5
3/11 12:45:49 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,1.5,-134,-1.5,107,102,104,-12.5,12.5
3/11 12:45:38 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,1.5,-112,-1.5,-112,102,104,-12.5,12.5
3/11 12:44:56 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,1.5,-157,-1.5,124,102,104,-12.5,12.5
3/11 12:43:17 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,1.5,-118,-1.5,-105,102,104,-12.5,12.5
3/11 12:43:10 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,-1.5,-105,1.5,-118,102,104,-12.5,12.5
3/11 12:42:49 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,0.5,-105,-0.5,-118,102,104,-12.5,12.5
3/11 12:42:40 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,-1.5,-115,1.5,-108,102,104,-12.5,12.5
3/11 12:41:25 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,-1.5,-102,1.5,-122,102,104,-12.5,12.5
3/11 12:40:54 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,0.5,-105,-0.5,-118,102,104,-12.5,12.5
3/11 12:40:42 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,3.5,-112,-3.5,-112,102,104,-12.5,12.5
3/11 12:39:47 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,0.0,111,0.0,-130,102,104,-12.5,12.5
3/11 12:39:45 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,0.0,103,0.0,-120,102,104,-12.5,12.5
3/11 12:39:42 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,0.0,111,0.0,-130,102,104,-12.5,12.5
3/11 12:39:36 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,0.0,105,0.0,-123,102,104,-12.5,12.5
3/11 12:39:27 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,0.0,107,0.0,-125,102,104,-12.5,12.5
3/11 12:39:03 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,0.0,111,0.0,-130,102,104,-12.5,12.5
3/11 12:39:00 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,0.0,103,0.0,-121,102,104,-12.5,12.5
3/11 12:38:53 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,0.0,106,0.0,-123,102,104,-12.5,12.5
3/11 12:38:38 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,0.0,107,0.0,-125,102,104,-12.5,12.5
3/11 12:38:34 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,0.0,108,0.0,-126,102,104,-12.5,12.5
3/11 12:38:26 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,0.0,109,0.0,-127,102,104,-12.5,12.5
3/11 12:38:12 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,0.0,111,0.0,-130,102,104,-12.5,12.5
3/11 12:38:03 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,0.0,109,0.0,-128,102,104,-12.5,12.5
3/11 12:37:54 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,1.5,-118,-1.5,-105,102,104,-12.5,12.5
3/11 12:37:47 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,0.0,111,0.0,-130,102,104,-12.5,12.5
3/11 12:37:30 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,1.5,-115,-1.5,-108,102,104,-12.5,12.5
3/11 12:37:24 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,1.5,-129,-1.5,111,102,104,-12.5,12.5
3/11 12:37:21 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,0.5,-115,-0.5,-108,102,104,-12.5,12.5
3/11 12:37:11 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,1.5,-116,-1.5,-101,102,104,-12.5,12.5
3/11 12:36:55 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,1.5,-126,-1.5,101,102,104,-12.5,12.5
3/11 12:36:46 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,-0.5,-118,0.5,-105,102,104,-12.5,12.5
3/11 12:36:12 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,0.5,-118,-0.5,-105,102,104,-12.5,12.5
3/11 12:35:59 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,1.5,-115,-1.5,-108,102,104,-12.5,12.5
3/11 12:35:36 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,1.5,-105,-1.5,-118,102,104,-12.5,12.5
3/11 12:35:12 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,0.5,101,-0.5,-126,102,104,-12.5,12.5
3/11 12:34:50 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,1.5,-122,-1.5,-102,102,104,-12.5,12.5
3/11 12:34:40 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,2.5,-126,-2.5,101,102,104,-12.5,12.5
3/11 12:33:48 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,1.5,-105,-1.5,-118,102,104,-12.5,12.5
3/11 12:33:09 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,1.5,-118,-1.5,-105,102,104,-12.5,12.5
3/11 12:32:50 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,2.5,-126,-2.5,101,102,104,-12.5,12.5
3/11 12:32:26 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,2.5,-122,-2.5,-102,102,104,-12.5,12.5
3/11 12:31:36 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,6.5,-121,-6.5,-109,102,104,-12.5,12.5
3/11 12:31:29 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,4.5,-126,-4.5,101,102,104,-12.5,12.5
3/11 12:31:22 pm,RedZone,Brooklyn Nets,Los Angeles Lakers,4.5,101,-4.5,-126,102,104,-12.5,12.5
3/11 12:31:21 pm,Pinnacle,Brooklyn Nets,Los Angeles Lakers,6.5,-118,-6.5,-112,102,104,-12.5,12.5
