Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
10/28 8:15:21 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,5.5,109,-5.5,-127,134,133,4,-4
10/28 8:15:12 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,5.5,-106,-5.5,-110,134,133,4,-4
10/28 8:14:55 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,5.5,-103,-5.5,-107,134,133,4,-4
10/28 8:14:50 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,5.5,-105,-5.5,-105,134,133,4,-4
10/28 8:10:53 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,-2.0,197,2.0,-220,134,133,4,-4
10/28 8:08:08 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,2.5,-101,-2.5,-116,134,133,4,-4
10/28 8:07:45 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,2.5,-101,-2.5,-115,134,133,4,-4
10/28 8:07:40 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,2.5,-106,-2.5,-111,134,133,4,-4
10/28 8:07:00 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,2.5,-107,-2.5,-109,134,133,4,-4
10/28 8:06:36 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,2.5,-122,-2.5,-128,134,133,4,-4
10/28 8:06:26 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,1.5,-115,-1.5,-136,134,133,4,-4
10/28 8:06:07 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,2.5,-122,-2.5,-129,134,133,4,-4
10/28 8:06:03 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,2.0,-114,-2.0,-137,134,133,4,-4
10/28 8:05:50 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,1.5,-114,-1.5,-137,134,133,4,-4
10/28 8:05:41 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,2.0,-135,-2.0,-116,134,133,4,-4
10/28 8:05:32 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,1.0,-113,-1.0,-138,134,133,4,-4
10/28 8:05:27 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,1.5,-138,-1.5,-113,134,133,4,-4
10/28 8:05:22 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,1.0,-149,-1.0,-105,134,133,4,-4
10/28 8:05:03 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,2.5,-125,-2.5,-125,134,133,4,-4
10/28 8:04:48 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,3.5,-128,-3.5,-122,134,133,4,-4
10/28 8:04:42 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,3.5,-125,-3.5,-125,134,133,4,-4
10/28 8:04:37 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,3.0,-119,-3.0,-131,134,133,4,-4
10/28 8:04:18 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,4.0,-119,-4.0,-131,134,133,4,-4
10/28 8:04:08 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,5.0,-123,-5.0,-127,134,133,4,-4
10/28 8:03:59 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,5.0,-120,-5.0,-130,134,133,4,-4
10/28 8:03:45 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,6.0,-128,-6.0,-122,134,133,4,-4
10/28 8:03:40 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,5.0,-122,-5.0,-129,134,133,4,-4
10/28 8:03:36 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,5.0,-124,-5.0,-126,134,133,4,-4
10/28 8:03:17 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,6.0,-127,-6.0,-123,134,133,4,-4
10/28 8:02:50 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,6.0,-109,-6.0,-107,134,133,4,-4
10/28 8:01:57 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,6.0,-108,-6.0,-108,134,133,4,-4
10/28 8:01:47 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,6.0,-109,-6.0,-107,134,133,4,-4
10/28 8:01:18 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,6.0,-108,-6.0,-108,134,133,4,-4
10/28 8:00:59 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,6.0,-109,-6.0,-107,134,133,4,-4
10/28 8:00:20 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,6.0,-124,-6.0,-126,134,133,4,-4
10/28 8:00:05 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,4.0,-116,-4.0,-135,134,133,4,-4
10/28 8:00:00 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,4.0,-118,-4.0,-133,134,133,4,-4
10/28 7:59:51 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,3.5,-121,-3.5,-129,134,133,4,-4
10/28 7:59:31 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,2.5,-117,-2.5,-134,134,133,4,-4
10/28 7:59:17 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,3.5,-121,-3.5,-129,134,133,4,-4
10/28 7:59:08 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,2.5,-117,-2.5,-133,134,133,4,-4
10/28 7:59:03 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,3.5,-118,-3.5,-132,134,133,4,-4
10/28 7:58:58 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,3.5,108,-3.5,-144,134,133,4,-4
10/28 7:58:54 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,3.5,-101,-3.5,-131,134,133,4,-4
10/28 7:58:44 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,3.5,-130,-3.5,-120,134,133,4,-4
10/28 7:58:39 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,3.0,-117,-3.0,-134,134,133,4,-4
10/28 7:58:25 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,3.0,107,-3.0,-142,134,133,4,-4
10/28 7:58:09 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,3.0,-128,-3.0,-122,134,133,4,-4
10/28 7:57:36 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,3.5,-122,-3.5,-128,134,133,4,-4
10/28 7:57:27 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,4.5,-128,-4.5,-122,134,133,4,-4
10/28 7:57:23 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,4.5,-127,-4.5,-123,134,133,4,-4
10/28 7:57:18 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,5.0,-120,-5.0,-130,134,133,4,-4
10/28 7:56:39 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,6.5,-130,-6.5,-120,134,133,4,-4
10/28 7:55:06 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,6.5,-120,-6.5,102,134,133,4,-4
10/28 7:54:32 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,6.5,-117,-6.5,-100,134,133,4,-4
10/28 7:54:23 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,6.5,-113,-6.5,-103,134,133,4,-4
10/28 7:54:13 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,6.5,-111,-6.5,-105,134,133,4,-4
10/28 7:53:42 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,5.0,-113,-5.0,-127,134,133,4,-4
10/28 7:53:25 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,4.5,-127,-4.5,-114,134,133,4,-4
10/28 7:52:37 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,5.0,-114,-5.0,-127,134,133,4,-4
10/28 7:51:53 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,4.0,-113,-4.0,-128,134,133,4,-4
10/28 7:51:39 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,4.0,-119,-4.0,-121,134,133,4,-4
10/28 7:51:11 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,3.5,-106,-3.5,-124,134,133,4,-4
10/28 7:51:06 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,3.5,-118,-3.5,-122,134,133,4,-4
10/28 7:50:48 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,3.5,-119,-3.5,-121,134,133,4,-4
10/28 7:50:43 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,3.5,-117,-3.5,-123,134,133,4,-4
10/28 7:50:38 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,4.0,-116,-4.0,-114,134,133,4,-4
10/28 7:50:34 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,4.0,-112,-4.0,-128,134,133,4,-4
10/28 7:50:29 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,4.0,-114,-4.0,-126,134,133,4,-4
10/28 7:50:19 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,3.5,-116,-3.5,-125,134,133,4,-4
10/28 7:50:12 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,3.0,-128,-3.0,-113,134,133,4,-4
10/28 7:49:58 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,3.0,-106,-3.0,-125,134,133,4,-4
10/28 7:49:53 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,3.0,-116,-3.0,-124,134,133,4,-4
10/28 7:49:44 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,3.5,-126,-3.5,-114,134,133,4,-4
10/28 7:49:14 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,3.5,-121,-3.5,-119,134,133,4,-4
10/28 7:49:00 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,4.5,-126,-4.5,-105,134,133,4,-4
10/28 7:48:51 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,4.5,-125,-4.5,-115,134,133,4,-4
10/28 7:48:31 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,3.5,-118,-3.5,-122,134,133,4,-4
10/28 7:48:13 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,4.5,-126,-4.5,-105,134,133,4,-4
10/28 7:48:08 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,4.5,-125,-4.5,-115,134,133,4,-4
10/28 7:47:59 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,4.5,-123,-4.5,-117,134,133,4,-4
10/28 7:47:53 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,6.0,-122,-6.0,-118,134,133,4,-4
10/28 7:47:34 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,6.5,-122,-6.5,-118,134,133,4,-4
10/28 7:47:29 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,6.5,-116,-6.5,-124,134,133,4,-4
10/28 7:47:00 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,7.0,-127,-7.0,-113,134,133,4,-4
10/28 7:46:56 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,7.0,-118,-7.0,-123,134,133,4,-4
10/28 7:46:51 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,7.5,-118,-7.5,-123,134,133,4,-4
10/28 7:46:47 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,6.5,-114,-6.5,-126,134,133,4,-4
10/28 7:46:23 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,6.0,-122,-6.0,-118,134,133,4,-4
10/28 7:46:14 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,5.0,-114,-5.0,-126,134,133,4,-4
10/28 7:45:35 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,4.5,-108,-4.5,-123,134,133,4,-4
10/28 7:45:14 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,4.5,-124,-4.5,-116,134,133,4,-4
10/28 7:45:05 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,5.5,-127,-5.5,-113,134,133,4,-4
10/28 7:44:51 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,6.0,-119,-6.0,-121,134,133,4,-4
10/28 7:44:30 am,Pinnacle,Brooklyn Nets,Memphis Grizzlies,6.0,-122,-6.0,-118,134,133,4,-4
