Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/31 11:33:24 am,Pinnacle,Brooklyn Nets,Minnesota Timberwolves,1.5,136,-1.5,-160,122,115,5,-5
12/31 11:33:18 am,Pinnacle,Brooklyn Nets,Minnesota Timberwolves,1.5,131,-1.5,-154,122,115,5,-5
12/31 11:33:12 am,Pinnacle,Brooklyn Nets,Minnesota Timberwolves,1.5,130,-1.5,-152,122,115,5,-5
12/31 11:33:00 am,Pinnacle,Brooklyn Nets,Minnesota Timberwolves,1.5,128,-1.5,-150,122,115,5,-5
12/31 11:32:54 am,Pinnacle,Brooklyn Nets,Minnesota Timberwolves,1.5,126,-1.5,-147,122,115,5,-5
12/31 11:32:42 am,Pinnacle,Brooklyn Nets,Minnesota Timberwolves,1.5,124,-1.5,-145,122,115,5,-5
12/31 11:32:27 am,Pinnacle,Brooklyn Nets,Minnesota Timberwolves,1.5,118,-1.5,-137,122,115,5,-5
12/31 11:32:09 am,Pinnacle,Brooklyn Nets,Minnesota Timberwolves,1.5,116,-1.5,-136,122,115,5,-5
12/31 11:32:06 am,Pinnacle,Brooklyn Nets,Minnesota Timberwolves,1.5,112,-1.5,-130,122,115,5,-5
12/31 11:31:57 am,Pinnacle,Brooklyn Nets,Minnesota Timberwolves,1.5,-101,-1.5,-116,122,115,5,-5
12/31 11:30:57 am,Pinnacle,Brooklyn Nets,Minnesota Timberwolves,1.5,100,-1.5,-117,122,115,5,-5
12/31 11:17:15 am,Pinnacle,Brooklyn Nets,Minnesota Timberwolves,4.5,104,-4.5,-122,122,115,5,-5
12/31 11:17:03 am,Pinnacle,Brooklyn Nets,Minnesota Timberwolves,4.5,106,-4.5,-124,122,115,5,-5
12/31 11:16:51 am,Pinnacle,Brooklyn Nets,Minnesota Timberwolves,4.5,107,-4.5,-125,122,115,5,-5
12/31 11:16:45 am,Pinnacle,Brooklyn Nets,Minnesota Timberwolves,4.5,100,-4.5,-117,122,115,5,-5
12/31 11:07:48 am,Pinnacle,Brooklyn Nets,Minnesota Timberwolves,3.0,-111,-3.0,-119,122,115,5,-5
12/31 11:07:37 am,Pinnacle,Brooklyn Nets,Minnesota Timberwolves,4.0,-114,-4.0,-116,122,115,5,-5
12/31 11:07:34 am,Pinnacle,Brooklyn Nets,Minnesota Timberwolves,3.0,113,-3.0,-150,122,115,5,-5
