Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/7 9:59:53 am,Pinnacle,Brooklyn Nets,Orlando Magic,-7.0,-106,7.0,-110,101,89,-5,5
1/7 9:59:50 am,Pinnacle,Brooklyn Nets,Orlando Magic,-7.0,-105,7.0,-111,101,89,-5,5
1/7 9:58:29 am,Pinnacle,Brooklyn Nets,Orlando Magic,-7.0,-102,7.0,-114,101,89,-5,5
1/7 9:58:51 am,Pinnacle,Brooklyn Nets,Orlando Magic,-7.0,-106,7.0,-110,101,89,-5,5
1/7 9:56:50 am,Pinnacle,Brooklyn Nets,Orlando Magic,-1.0,-109,1.0,-122,101,89,-5,5
1/7 9:56:45 am,Pinnacle,Brooklyn Nets,Orlando Magic,-1.0,-103,1.0,-114,101,89,-5,5
1/7 9:56:06 am,Pinnacle,Brooklyn Nets,Orlando Magic,-1.5,-104,1.5,-112,101,89,-5,5
1/7 9:55:36 am,Pinnacle,Brooklyn Nets,Orlando Magic,-1.5,-102,1.5,-114,101,89,-5,5
1/7 9:55:14 am,Pinnacle,Brooklyn Nets,Orlando Magic,-1.5,100,1.5,-117,101,89,-5,5
1/7 9:53:56 am,Pinnacle,Brooklyn Nets,Orlando Magic,-1.0,-103,1.0,-114,101,89,-5,5
1/7 9:53:48 am,Pinnacle,Brooklyn Nets,Orlando Magic,-1.0,-112,1.0,-118,101,89,-5,5
1/7 9:53:41 am,Pinnacle,Brooklyn Nets,Orlando Magic,-2.5,-113,2.5,-118,101,89,-5,5
1/7 9:53:39 am,Pinnacle,Brooklyn Nets,Orlando Magic,-2.5,-113,2.5,-117,101,89,-5,5
1/7 9:53:33 am,Pinnacle,Brooklyn Nets,Orlando Magic,-1.0,-104,1.0,-128,101,89,-5,5
1/7 9:53:30 am,Pinnacle,Brooklyn Nets,Orlando Magic,-2.0,-116,2.0,-114,101,89,-5,5
1/7 9:54:15 am,Pinnacle,Brooklyn Nets,Orlando Magic,-1.5,101,1.5,-118,101,89,-5,5
1/7 9:53:27 am,Pinnacle,Brooklyn Nets,Orlando Magic,-2.5,-114,2.5,-116,101,89,-5,5
1/7 9:53:23 am,Pinnacle,Brooklyn Nets,Orlando Magic,-1.0,-109,1.0,-122,101,89,-5,5
1/7 9:53:20 am,Pinnacle,Brooklyn Nets,Orlando Magic,-1.0,-109,1.0,-122,101,89,-5,5
1/7 9:53:15 am,Pinnacle,Brooklyn Nets,Orlando Magic,-1.0,-109,1.0,-122,101,89,-5,5
1/7 9:53:03 am,Pinnacle,Brooklyn Nets,Orlando Magic,-1.0,-103,1.0,-128,101,89,-5,5
1/7 9:52:29 am,Pinnacle,Brooklyn Nets,Orlando Magic,-2.5,-110,2.5,-121,101,89,-5,5
1/7 9:52:17 am,Pinnacle,Brooklyn Nets,Orlando Magic,1.0,-126,-1.0,-105,101,89,-5,5
1/7 9:52:14 am,Pinnacle,Brooklyn Nets,Orlando Magic,1.0,-124,-1.0,-107,101,89,-5,5
1/7 9:52:11 am,Pinnacle,Brooklyn Nets,Orlando Magic,-2.0,-110,2.0,-120,101,89,-5,5
1/7 9:52:05 am,Pinnacle,Brooklyn Nets,Orlando Magic,-1.5,-113,1.5,-117,101,89,-5,5
1/7 9:51:57 am,Pinnacle,Brooklyn Nets,Orlando Magic,-1.0,-119,1.0,-112,101,89,-5,5
1/7 9:51:54 am,Pinnacle,Brooklyn Nets,Orlando Magic,-1.0,-117,1.0,-113,101,89,-5,5
1/7 9:51:44 am,Pinnacle,Brooklyn Nets,Orlando Magic,-1.0,-114,1.0,-116,101,89,-5,5
1/7 9:51:30 am,Pinnacle,Brooklyn Nets,Orlando Magic,-1.0,-103,1.0,-128,101,89,-5,5
1/7 9:51:15 am,Pinnacle,Brooklyn Nets,Orlando Magic,1.0,-117,-1.0,-113,101,89,-5,5
1/7 9:51:11 am,Pinnacle,Brooklyn Nets,Orlando Magic,2.0,-118,-2.0,-112,101,89,-5,5
1/7 9:51:05 am,Pinnacle,Brooklyn Nets,Orlando Magic,-1.0,-110,1.0,-120,101,89,-5,5
1/7 9:51:00 am,Pinnacle,Brooklyn Nets,Orlando Magic,-1.5,-115,1.5,-115,101,89,-5,5
1/7 9:50:54 am,Pinnacle,Brooklyn Nets,Orlando Magic,-1.0,-115,1.0,-115,101,89,-5,5
1/7 9:50:51 am,Pinnacle,Brooklyn Nets,Orlando Magic,-1.0,-105,1.0,-127,101,89,-5,5
1/7 9:50:47 am,Pinnacle,Brooklyn Nets,Orlando Magic,-2.0,-114,2.0,-116,101,89,-5,5
1/7 9:50:44 am,Pinnacle,Brooklyn Nets,Orlando Magic,-2.0,-114,2.0,-116,101,89,-5,5
1/7 9:50:42 am,Pinnacle,Brooklyn Nets,Orlando Magic,-2.0,-112,2.0,-118,101,89,-5,5
1/7 9:50:39 am,Pinnacle,Brooklyn Nets,Orlando Magic,-2.0,-113,2.0,-117,101,89,-5,5
1/7 9:50:36 am,Pinnacle,Brooklyn Nets,Orlando Magic,-1.0,-104,1.0,-127,101,89,-5,5
1/7 9:50:32 am,Pinnacle,Brooklyn Nets,Orlando Magic,-2.5,-117,2.5,-113,101,89,-5,5
1/7 9:50:27 am,Pinnacle,Brooklyn Nets,Orlando Magic,-2.5,-118,2.5,-112,101,89,-5,5
1/7 9:50:20 am,Pinnacle,Brooklyn Nets,Orlando Magic,-2.5,-118,2.5,-112,101,89,-5,5
1/7 9:50:17 am,Pinnacle,Brooklyn Nets,Orlando Magic,-4.0,-120,4.0,-110,101,89,-5,5
1/7 9:50:08 am,Pinnacle,Brooklyn Nets,Orlando Magic,-4.0,-111,4.0,-120,101,89,-5,5
1/7 9:49:59 am,Pinnacle,Brooklyn Nets,Orlando Magic,-4.0,-111,4.0,-119,101,89,-5,5
1/7 9:49:56 am,Pinnacle,Brooklyn Nets,Orlando Magic,-4.0,-109,4.0,-122,101,89,-5,5
