Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/21 11:53:48 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-5.5,-132,5.5,113,112,104,-7,7
2/21 11:53:47 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-5.5,-114,5.5,-102,112,104,-7,7
2/21 11:53:31 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-5.5,-105,5.5,-111,112,104,-7,7
2/21 11:53:25 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-5.5,-103,5.5,-113,112,104,-7,7
2/21 11:53:22 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-5.5,107,5.5,-125,112,104,-7,7
2/21 11:53:19 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-5.5,110,5.5,-129,112,104,-7,7
2/21 11:53:16 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-5.5,-101,5.5,-116,112,104,-7,7
2/21 11:46:52 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,0.0,-172,0.0,146,112,104,-7,7
2/21 11:46:01 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,0.0,-171,0.0,146,112,104,-7,7
2/21 11:45:34 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,0.0,-167,0.0,142,112,104,-7,7
2/21 11:45:22 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,0.0,-161,0.0,137,112,104,-7,7
2/21 11:44:14 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,0.0,-155,0.0,132,112,104,-7,7
2/21 11:42:37 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,0.0,133,0.0,-156,112,104,-7,7
2/21 11:42:25 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,0.0,129,0.0,-151,112,104,-7,7
2/21 11:41:59 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,0.0,128,0.0,-150,112,104,-7,7
2/21 11:39:42 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,0.0,-107,0.0,-109,112,104,-7,7
2/21 11:39:41 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,0.0,-104,0.0,-112,112,104,-7,7
2/21 11:39:25 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,0.0,-103,0.0,-113,112,104,-7,7
2/21 11:39:19 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,0.0,-104,0.0,-112,112,104,-7,7
2/21 11:39:01 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,0.0,-103,0.0,-113,112,104,-7,7
2/21 11:38:52 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,0.0,-108,0.0,-108,112,104,-7,7
2/21 11:21:46 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-2.5,-132,2.5,113,112,104,-7,7
2/21 11:21:34 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-2.5,-129,2.5,111,112,104,-7,7
2/21 11:21:25 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-2.5,-131,2.5,112,112,104,-7,7
2/21 11:21:22 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-2.5,-130,2.5,112,112,104,-7,7
2/21 11:20:40 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-2.5,-142,2.5,121,112,104,-7,7
2/21 11:20:34 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-2.5,-125,2.5,107,112,104,-7,7
2/21 11:19:25 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-2.5,-117,2.5,-113,112,104,-7,7
2/21 11:19:16 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-3.5,-108,3.5,-123,112,104,-7,7
2/21 11:19:04 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-2.5,-119,2.5,-111,112,104,-7,7
2/21 11:18:55 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-2.5,-109,2.5,-122,112,104,-7,7
2/21 11:18:37 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-2.5,-119,2.5,-111,112,104,-7,7
2/21 11:18:28 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-2.5,-120,2.5,-110,112,104,-7,7
2/21 11:18:25 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-3.5,-109,3.5,-121,112,104,-7,7
2/21 11:17:43 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-4.5,-114,4.5,-116,112,104,-7,7
2/21 11:17:25 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-3.5,-112,3.5,-118,112,104,-7,7
2/21 11:17:10 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-4.5,-117,4.5,-113,112,104,-7,7
2/21 11:16:49 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-6.0,-111,6.0,-119,112,104,-7,7
2/21 11:16:43 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-5.5,-114,5.5,-116,112,104,-7,7
2/21 11:16:37 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-4.5,-112,4.5,-118,112,104,-7,7
2/21 11:16:16 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-5.5,-116,5.5,-114,112,104,-7,7
2/21 11:16:04 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-5.5,-132,5.5,100,112,104,-7,7
2/21 11:15:47 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-5.5,-125,5.5,-106,112,104,-7,7
2/21 11:15:43 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-6.0,-112,6.0,-118,112,104,-7,7
2/21 11:15:37 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-6.0,-106,6.0,-125,112,104,-7,7
2/21 11:15:34 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-6.0,-119,6.0,-112,112,104,-7,7
2/21 11:15:25 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-5.5,-122,5.5,-109,112,104,-7,7
2/21 11:15:22 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-5.5,-122,5.5,-108,112,104,-7,7
2/21 11:15:14 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-6.0,-120,6.0,-111,112,104,-7,7
2/21 11:15:02 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-6.5,-114,6.5,-116,112,104,-7,7
2/21 11:14:55 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-6.5,-114,6.5,-116,112,104,-7,7
2/21 11:14:49 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-6.0,-109,6.0,-121,112,104,-7,7
2/21 11:14:47 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-5.5,-129,5.5,-103,112,104,-7,7
2/21 11:14:43 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-5.5,-121,5.5,-109,112,104,-7,7
2/21 11:14:40 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-5.5,-122,5.5,-108,112,104,-7,7
2/21 11:14:39 am,Pinnacle,Brooklyn Nets,Philadelphia 76ers,-5.5,-116,5.5,-114,112,104,-7,7
