Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/9 1:14:26 pm,Pinnacle,Brooklyn Nets,Portland Trail Blazers,0.0,-133,0.0,114,115,119,-3.5,3.5
11/9 1:14:17 pm,Pinnacle,Brooklyn Nets,Portland Trail Blazers,0.0,-129,0.0,110,115,119,-3.5,3.5
11/9 1:13:50 pm,Pinnacle,Brooklyn Nets,Portland Trail Blazers,0.0,-125,0.0,107,115,119,-3.5,3.5
11/9 1:08:56 pm,Pinnacle,Brooklyn Nets,Portland Trail Blazers,-2.0,-125,2.0,-106,115,119,-3.5,3.5
11/9 1:08:53 pm,Pinnacle,Brooklyn Nets,Portland Trail Blazers,-2.0,-107,2.0,-123,115,119,-3.5,3.5
11/9 1:08:50 pm,Pinnacle,Brooklyn Nets,Portland Trail Blazers,-1.5,-120,1.5,-110,115,119,-3.5,3.5
11/9 1:08:47 pm,Pinnacle,Brooklyn Nets,Portland Trail Blazers,-1.5,-116,1.5,-114,115,119,-3.5,3.5
11/9 1:08:41 pm,Pinnacle,Brooklyn Nets,Portland Trail Blazers,-1.5,-107,1.5,-123,115,119,-3.5,3.5
11/9 1:08:26 pm,Pinnacle,Brooklyn Nets,Portland Trail Blazers,-2.0,-125,2.0,-106,115,119,-3.5,3.5
11/9 1:08:14 pm,Pinnacle,Brooklyn Nets,Portland Trail Blazers,-2.5,-133,2.5,100,115,119,-3.5,3.5
11/9 1:08:07 pm,Pinnacle,Brooklyn Nets,Portland Trail Blazers,-2.5,-130,2.5,-101,115,119,-3.5,3.5
11/9 1:08:01 pm,Pinnacle,Brooklyn Nets,Portland Trail Blazers,-2.5,-126,2.5,-105,115,119,-3.5,3.5
11/9 1:07:56 pm,Pinnacle,Brooklyn Nets,Portland Trail Blazers,-2.5,-106,2.5,-125,115,119,-3.5,3.5
11/9 1:07:53 pm,Pinnacle,Brooklyn Nets,Portland Trail Blazers,-1.5,-110,1.5,-121,115,119,-3.5,3.5
11/9 1:05:38 pm,Pinnacle,Brooklyn Nets,Portland Trail Blazers,0.0,-150,0.0,128,115,119,-3.5,3.5
11/9 1:04:56 pm,Pinnacle,Brooklyn Nets,Portland Trail Blazers,-1.5,-110,1.5,-121,115,119,-3.5,3.5
