Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
3/10 10:24:41 am,RedZone,Charlotte Hornets,Atlanta Hawks,-1.5,-110,1.5,-110,143,138,-4.5,4.5
3/10 10:24:12 am,RedZone,Charlotte Hornets,Atlanta Hawks,-2.5,-110,2.5,-110,143,138,-4.5,4.5
3/10 10:23:29 am,RedZone,Charlotte Hornets,Atlanta Hawks,-1.5,-110,1.5,-110,143,138,-4.5,4.5
3/10 10:22:54 am,RedZone,Charlotte Hornets,Atlanta Hawks,-2.5,-110,2.5,-110,143,138,-4.5,4.5
3/10 10:22:38 am,RedZone,Charlotte Hornets,Atlanta Hawks,-3.5,-110,3.5,-110,143,138,-4.5,4.5
3/10 10:22:27 am,RedZone,Charlotte Hornets,Atlanta Hawks,-2.5,-110,2.5,-110,143,138,-4.5,4.5
3/10 10:22:06 am,RedZone,Charlotte Hornets,Atlanta Hawks,-3.5,-110,3.5,-110,143,138,-4.5,4.5
3/10 10:21:34 am,RedZone,Charlotte Hornets,Atlanta Hawks,-2.5,-110,2.5,-110,143,138,-4.5,4.5
3/10 10:21:21 am,RedZone,Charlotte Hornets,Atlanta Hawks,1.5,-110,-1.5,-110,143,138,-4.5,4.5
3/10 10:21:16 am,RedZone,Charlotte Hornets,Atlanta Hawks,0.5,-110,-0.5,-110,143,138,-4.5,4.5
3/10 10:20:28 am,Pinnacle,Charlotte Hornets,Atlanta Hawks,-1.5,-142,1.5,121,143,138,-4.5,4.5
3/10 10:20:22 am,Pinnacle,Charlotte Hornets,Atlanta Hawks,-1.5,-141,1.5,120,143,138,-4.5,4.5
3/10 10:20:10 am,Pinnacle,Charlotte Hornets,Atlanta Hawks,-1.5,-142,1.5,121,143,138,-4.5,4.5
3/10 10:20:03 am,RedZone,Charlotte Hornets,Atlanta Hawks,-1.5,-110,1.5,-110,143,138,-4.5,4.5
3/10 10:20:02 am,Pinnacle,Charlotte Hornets,Atlanta Hawks,-1.5,-139,1.5,119,143,138,-4.5,4.5
3/10 10:19:38 am,Pinnacle,Charlotte Hornets,Atlanta Hawks,-1.5,-142,1.5,121,143,138,-4.5,4.5
3/10 10:19:35 am,Pinnacle,Charlotte Hornets,Atlanta Hawks,-1.5,-138,1.5,118,143,138,-4.5,4.5
3/10 10:19:26 am,Pinnacle,Charlotte Hornets,Atlanta Hawks,-1.5,-142,1.5,121,143,138,-4.5,4.5
3/10 10:19:23 am,Pinnacle,Charlotte Hornets,Atlanta Hawks,-1.5,-139,1.5,119,143,138,-4.5,4.5
3/10 10:19:05 am,Pinnacle,Charlotte Hornets,Atlanta Hawks,-1.5,-142,1.5,121,143,138,-4.5,4.5
3/10 10:19:03 am,RedZone,Charlotte Hornets,Atlanta Hawks,-1.5,-105,1.5,-118,143,138,-4.5,4.5
3/10 10:18:58 am,Pinnacle,Charlotte Hornets,Atlanta Hawks,-1.5,-131,1.5,112,143,138,-4.5,4.5
3/10 10:18:47 am,Pinnacle,Charlotte Hornets,Atlanta Hawks,-1.5,-129,1.5,111,143,138,-4.5,4.5
3/10 10:17:32 am,Pinnacle,Charlotte Hornets,Atlanta Hawks,-1.5,-121,1.5,104,143,138,-4.5,4.5
