Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/14 11:13:57 am,RedZone,Charlotte Hornets,Chicago Bulls,10.5,-110,-10.5,-110,73,83,-7,7
12/14 11:13:08 am,RedZone,Charlotte Hornets,Chicago Bulls,9.5,-110,-9.5,-110,73,83,-7,7
12/14 11:12:07 am,RedZone,Charlotte Hornets,Chicago Bulls,7.5,-110,-7.5,-110,73,83,-7,7
12/14 11:11:48 am,RedZone,Charlotte Hornets,Chicago Bulls,8.5,-110,-8.5,-110,73,83,-7,7
12/14 11:11:39 am,RedZone,Charlotte Hornets,Chicago Bulls,7.5,-110,-7.5,-110,73,83,-7,7
12/14 11:11:04 am,RedZone,Charlotte Hornets,Chicago Bulls,8.5,-110,-8.5,-110,73,83,-7,7
12/14 11:09:41 am,RedZone,Charlotte Hornets,Chicago Bulls,6.5,-110,-6.5,-110,73,83,-7,7
12/14 11:09:01 am,RedZone,Charlotte Hornets,Chicago Bulls,5.5,-110,-5.5,-110,73,83,-7,7
12/14 11:08:32 am,RedZone,Charlotte Hornets,Chicago Bulls,6.5,-110,-6.5,-110,73,83,-7,7
12/14 11:07:30 am,RedZone,Charlotte Hornets,Chicago Bulls,7.5,-115,-7.5,-108,73,83,-7,7
12/14 11:04:41 am,RedZone,Charlotte Hornets,Chicago Bulls,6.5,-108,-6.5,-115,73,83,-7,7
12/14 11:04:21 am,RedZone,Charlotte Hornets,Chicago Bulls,6.5,-112,-6.5,-112,73,83,-7,7
12/14 11:04:05 am,RedZone,Charlotte Hornets,Chicago Bulls,4.5,-112,-4.5,-112,73,83,-7,7
12/14 11:03:46 am,RedZone,Charlotte Hornets,Chicago Bulls,2.5,-129,-2.5,104,73,83,-7,7
12/14 11:03:44 am,RedZone,Charlotte Hornets,Chicago Bulls,-0.5,-103,0.5,-121,73,83,-7,7
12/14 11:03:22 am,RedZone,Charlotte Hornets,Chicago Bulls,2.5,-129,-2.5,104,73,83,-7,7
12/14 11:02:56 am,RedZone,Charlotte Hornets,Chicago Bulls,2.5,-125,-2.5,101,73,83,-7,7
12/14 11:02:40 am,RedZone,Charlotte Hornets,Chicago Bulls,-0.5,-112,0.5,-112,73,83,-7,7
12/14 11:01:55 am,RedZone,Charlotte Hornets,Chicago Bulls,2.5,-112,-2.5,-112,73,83,-7,7
12/14 11:01:44 am,RedZone,Charlotte Hornets,Chicago Bulls,3.5,-112,-3.5,-112,73,83,-7,7
