Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/11 10:06:56 am,Pinnacle,Charlotte Hornets,Detroit Pistons,10.5,-109,-10.5,-107,76,87,-3.5,3.5
2/11 10:06:25 am,Pinnacle,Charlotte Hornets,Detroit Pistons,10.5,101,-10.5,-117,76,87,-3.5,3.5
2/11 10:03:28 am,Pinnacle,Charlotte Hornets,Detroit Pistons,12.5,-122,-12.5,-108,76,87,-3.5,3.5
2/11 10:03:11 am,Pinnacle,Charlotte Hornets,Detroit Pistons,12.5,-122,-12.5,-108,76,87,-3.5,3.5
2/11 10:02:37 am,Pinnacle,Charlotte Hornets,Detroit Pistons,12.0,-118,-12.0,101,76,87,-3.5,3.5
2/11 10:02:22 am,Pinnacle,Charlotte Hornets,Detroit Pistons,12.0,-116,-12.0,-101,76,87,-3.5,3.5
2/11 10:02:14 am,Pinnacle,Charlotte Hornets,Detroit Pistons,12.0,-110,-12.0,-106,76,87,-3.5,3.5
2/11 10:01:59 am,Pinnacle,Charlotte Hornets,Detroit Pistons,12.0,-109,-12.0,-107,76,87,-3.5,3.5
2/11 10:01:32 am,Pinnacle,Charlotte Hornets,Detroit Pistons,12.0,-111,-12.0,-105,76,87,-3.5,3.5
2/11 10:01:16 am,Pinnacle,Charlotte Hornets,Detroit Pistons,12.0,-110,-12.0,-106,76,87,-3.5,3.5
2/11 10:00:23 am,Pinnacle,Charlotte Hornets,Detroit Pistons,12.5,-115,-12.5,-101,76,87,-3.5,3.5
2/11 10:00:17 am,Pinnacle,Charlotte Hornets,Detroit Pistons,12.5,-122,-12.5,-108,76,87,-3.5,3.5
2/11 10:00:04 am,Pinnacle,Charlotte Hornets,Detroit Pistons,10.5,-107,-10.5,-124,76,87,-3.5,3.5
2/11 10:00:01 am,Pinnacle,Charlotte Hornets,Detroit Pistons,9.5,-108,-9.5,-122,76,87,-3.5,3.5
2/11 9:59:47 am,Pinnacle,Charlotte Hornets,Detroit Pistons,9.5,-109,-9.5,-121,76,87,-3.5,3.5
2/11 9:59:40 am,Pinnacle,Charlotte Hornets,Detroit Pistons,9.0,-115,-9.0,-115,76,87,-3.5,3.5
2/11 9:59:34 am,Pinnacle,Charlotte Hornets,Detroit Pistons,9.0,-117,-9.0,-113,76,87,-3.5,3.5
2/11 9:59:32 am,Pinnacle,Charlotte Hornets,Detroit Pistons,9.0,-117,-9.0,-113,76,87,-3.5,3.5
2/11 9:59:29 am,Pinnacle,Charlotte Hornets,Detroit Pistons,9.0,-118,-9.0,-112,76,87,-3.5,3.5
2/11 9:59:26 am,Pinnacle,Charlotte Hornets,Detroit Pistons,9.0,-118,-9.0,-112,76,87,-3.5,3.5
