Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/5 11:16:20 am,Pinnacle,Charlotte Hornets,Houston Rockets,-9.5,111,9.5,-130,125,110,-13.5,13.5
2/5 11:16:14 am,Pinnacle,Charlotte Hornets,Houston Rockets,-9.5,109,9.5,-128,125,110,-13.5,13.5
2/5 11:16:04 am,Pinnacle,Charlotte Hornets,Houston Rockets,-9.5,111,9.5,-130,125,110,-13.5,13.5
2/5 11:16:04 am,Pinnacle,Charlotte Hornets,Houston Rockets,-9.5,110,9.5,-129,125,110,-13.5,13.5
2/5 11:15:53 am,Pinnacle,Charlotte Hornets,Houston Rockets,-9.5,113,9.5,-133,125,110,-13.5,13.5
2/5 11:15:38 am,Pinnacle,Charlotte Hornets,Houston Rockets,-9.5,110,9.5,-129,125,110,-13.5,13.5
2/5 11:15:31 am,Pinnacle,Charlotte Hornets,Houston Rockets,-9.5,105,9.5,-123,125,110,-13.5,13.5
2/5 11:15:25 am,Pinnacle,Charlotte Hornets,Houston Rockets,-9.5,101,9.5,-118,125,110,-13.5,13.5
2/5 11:15:16 am,Pinnacle,Charlotte Hornets,Houston Rockets,-9.5,-104,9.5,-112,125,110,-13.5,13.5
2/5 11:15:05 am,Pinnacle,Charlotte Hornets,Houston Rockets,-9.5,-105,9.5,-111,125,110,-13.5,13.5
2/5 11:14:55 am,Pinnacle,Charlotte Hornets,Houston Rockets,-9.5,-108,9.5,-108,125,110,-13.5,13.5
2/5 11:06:56 am,Pinnacle,Charlotte Hornets,Houston Rockets,-8.5,-121,8.5,-110,125,110,-13.5,13.5
2/5 11:06:53 am,Pinnacle,Charlotte Hornets,Houston Rockets,-8.5,-131,8.5,-101,125,110,-13.5,13.5
2/5 11:06:46 am,Pinnacle,Charlotte Hornets,Houston Rockets,-8.5,-121,8.5,-110,125,110,-13.5,13.5
2/5 11:05:57 am,Pinnacle,Charlotte Hornets,Houston Rockets,-8.5,-122,8.5,-108,125,110,-13.5,13.5
2/5 11:05:26 am,Pinnacle,Charlotte Hornets,Houston Rockets,-8.5,-121,8.5,-110,125,110,-13.5,13.5
2/5 11:05:20 am,Pinnacle,Charlotte Hornets,Houston Rockets,-8.5,-121,8.5,-110,125,110,-13.5,13.5
2/5 11:05:00 am,Pinnacle,Charlotte Hornets,Houston Rockets,-9.0,106,9.0,-141,125,110,-13.5,13.5
2/5 11:04:53 am,Pinnacle,Charlotte Hornets,Houston Rockets,-9.0,-108,9.0,-123,125,110,-13.5,13.5
2/5 11:04:49 am,Pinnacle,Charlotte Hornets,Houston Rockets,-9.0,-108,9.0,-123,125,110,-13.5,13.5
2/5 11:04:34 am,Pinnacle,Charlotte Hornets,Houston Rockets,-9.0,-109,9.0,-121,125,110,-13.5,13.5
2/5 11:03:58 am,Pinnacle,Charlotte Hornets,Houston Rockets,-9.0,-109,9.0,-121,125,110,-13.5,13.5
2/5 11:03:32 am,Pinnacle,Charlotte Hornets,Houston Rockets,-9.0,-110,9.0,-121,125,110,-13.5,13.5
2/5 11:03:03 am,Pinnacle,Charlotte Hornets,Houston Rockets,-9.0,-110,9.0,-121,125,110,-13.5,13.5
2/5 11:02:43 am,Pinnacle,Charlotte Hornets,Houston Rockets,-7.5,-123,7.5,-108,125,110,-13.5,13.5
2/5 11:02:37 am,Pinnacle,Charlotte Hornets,Houston Rockets,-7.5,-121,7.5,-109,125,110,-13.5,13.5
2/5 11:02:33 am,Pinnacle,Charlotte Hornets,Houston Rockets,-6.5,-126,6.5,-105,125,110,-13.5,13.5
2/5 11:02:28 am,Pinnacle,Charlotte Hornets,Houston Rockets,-6.5,-124,6.5,-107,125,110,-13.5,13.5
2/5 11:02:04 am,Pinnacle,Charlotte Hornets,Houston Rockets,-7.0,-102,7.0,-114,125,110,-13.5,13.5
2/5 11:01:53 am,Pinnacle,Charlotte Hornets,Houston Rockets,-7.0,-103,7.0,-114,125,110,-13.5,13.5
2/5 11:01:34 am,Pinnacle,Charlotte Hornets,Houston Rockets,-7.0,-102,7.0,-114,125,110,-13.5,13.5
2/5 11:00:55 am,Pinnacle,Charlotte Hornets,Houston Rockets,-6.5,-116,6.5,-101,125,110,-13.5,13.5
2/5 11:00:40 am,Pinnacle,Charlotte Hornets,Houston Rockets,-7.0,-102,7.0,-115,125,110,-13.5,13.5
2/5 11:00:34 am,Pinnacle,Charlotte Hornets,Houston Rockets,-7.0,-107,7.0,-109,125,110,-13.5,13.5
2/5 11:00:28 am,Pinnacle,Charlotte Hornets,Houston Rockets,-7.0,-107,7.0,-109,125,110,-13.5,13.5
2/5 11:00:19 am,Pinnacle,Charlotte Hornets,Houston Rockets,-7.0,-110,7.0,-106,125,110,-13.5,13.5
2/5 11:00:10 am,Pinnacle,Charlotte Hornets,Houston Rockets,-7.0,-111,7.0,-106,125,110,-13.5,13.5
2/5 11:00:05 am,Pinnacle,Charlotte Hornets,Houston Rockets,-7.0,-112,7.0,-104,125,110,-13.5,13.5
2/5 11:00:02 am,Pinnacle,Charlotte Hornets,Houston Rockets,-7.0,-112,7.0,-104,125,110,-13.5,13.5
2/5 10:59:59 am,Pinnacle,Charlotte Hornets,Houston Rockets,-7.0,-110,7.0,-106,125,110,-13.5,13.5
2/5 10:59:49 am,Pinnacle,Charlotte Hornets,Houston Rockets,-7.0,-110,7.0,-106,125,110,-13.5,13.5
2/5 10:59:40 am,Pinnacle,Charlotte Hornets,Houston Rockets,-7.0,-101,7.0,-116,125,110,-13.5,13.5
2/5 10:59:34 am,Pinnacle,Charlotte Hornets,Houston Rockets,-6.5,-115,6.5,-101,125,110,-13.5,13.5
2/5 10:59:23 am,Pinnacle,Charlotte Hornets,Houston Rockets,-6.5,-121,6.5,-109,125,110,-13.5,13.5
2/5 10:59:19 am,Pinnacle,Charlotte Hornets,Houston Rockets,-5.5,-113,5.5,-117,125,110,-13.5,13.5
2/5 10:59:14 am,Pinnacle,Charlotte Hornets,Houston Rockets,-5.5,-105,5.5,-126,125,110,-13.5,13.5
2/5 10:59:05 am,Pinnacle,Charlotte Hornets,Houston Rockets,-4.5,-130,4.5,-102,125,110,-13.5,13.5
2/5 10:59:47 am,Pinnacle,Charlotte Hornets,Houston Rockets,-7.0,-108,7.0,-108,125,110,-13.5,13.5
2/5 10:58:58 am,Pinnacle,Charlotte Hornets,Houston Rockets,-4.5,-119,4.5,-111,125,110,-13.5,13.5
2/5 10:58:50 am,Pinnacle,Charlotte Hornets,Houston Rockets,-4.0,-120,4.0,-110,125,110,-13.5,13.5
2/5 10:58:43 am,Pinnacle,Charlotte Hornets,Houston Rockets,-4.0,-120,4.0,-110,125,110,-13.5,13.5
2/5 10:58:38 am,Pinnacle,Charlotte Hornets,Houston Rockets,-3.0,-120,3.0,-110,125,110,-13.5,13.5
2/5 10:58:23 am,Pinnacle,Charlotte Hornets,Houston Rockets,-4.5,-112,4.5,-118,125,110,-13.5,13.5
2/5 10:58:03 am,Pinnacle,Charlotte Hornets,Houston Rockets,-4.5,-112,4.5,-118,125,110,-13.5,13.5
2/5 10:57:59 am,Pinnacle,Charlotte Hornets,Houston Rockets,-4.5,-123,4.5,-107,125,110,-13.5,13.5
2/5 10:57:47 am,Pinnacle,Charlotte Hornets,Houston Rockets,-5.0,-107,5.0,-124,125,110,-13.5,13.5
2/5 10:57:34 am,Pinnacle,Charlotte Hornets,Houston Rockets,-4.5,-119,4.5,-111,125,110,-13.5,13.5
2/5 10:57:23 am,Pinnacle,Charlotte Hornets,Houston Rockets,-4.5,-124,4.5,-107,125,110,-13.5,13.5
2/5 10:57:13 am,Pinnacle,Charlotte Hornets,Houston Rockets,-4.5,-123,4.5,-107,125,110,-13.5,13.5
2/5 10:57:02 am,Pinnacle,Charlotte Hornets,Houston Rockets,-4.5,-107,4.5,-124,125,110,-13.5,13.5
