Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/26 10:03:43 am,RedZone,Charlotte Hornets,Indiana Pacers,-38.5,-129,38.5,104,119,80,-11.5,11.5
2/26 10:03:33 am,RedZone,Charlotte Hornets,Indiana Pacers,-36.5,-115,36.5,-108,119,80,-11.5,11.5
2/26 10:03:31 am,RedZone,Charlotte Hornets,Indiana Pacers,-36.5,-108,36.5,-115,119,80,-11.5,11.5
2/26 10:00:41 am,RedZone,Charlotte Hornets,Indiana Pacers,-35.5,-125,35.5,101,119,80,-11.5,11.5
2/26 10:00:19 am,RedZone,Charlotte Hornets,Indiana Pacers,-36.5,-125,36.5,101,119,80,-11.5,11.5
2/26 10:00:12 am,RedZone,Charlotte Hornets,Indiana Pacers,-38.5,107,38.5,-134,119,80,-11.5,11.5
2/26 10:00:09 am,RedZone,Charlotte Hornets,Indiana Pacers,-38.5,-125,38.5,101,119,80,-11.5,11.5
2/26 9:59:57 am,RedZone,Charlotte Hornets,Indiana Pacers,-37.5,-125,37.5,101,119,80,-11.5,11.5
2/26 9:59:44 am,RedZone,Charlotte Hornets,Indiana Pacers,-37.5,-121,37.5,-103,119,80,-11.5,11.5
2/26 9:59:28 am,RedZone,Charlotte Hornets,Indiana Pacers,-35.5,-117,35.5,-106,119,80,-11.5,11.5
2/26 9:59:09 am,RedZone,Charlotte Hornets,Indiana Pacers,-35.5,-115,35.5,-108,119,80,-11.5,11.5
2/26 9:58:56 am,RedZone,Charlotte Hornets,Indiana Pacers,-33.5,101,33.5,-125,119,80,-11.5,11.5
2/26 9:58:32 am,RedZone,Charlotte Hornets,Indiana Pacers,-34.5,-112,34.5,-112,119,80,-11.5,11.5
2/26 9:57:48 am,RedZone,Charlotte Hornets,Indiana Pacers,-32.5,-108,32.5,-115,119,80,-11.5,11.5
2/26 9:57:35 am,RedZone,Charlotte Hornets,Indiana Pacers,-30.5,-129,30.5,104,119,80,-11.5,11.5
2/26 9:56:47 am,RedZone,Charlotte Hornets,Indiana Pacers,-30.5,-125,30.5,101,119,80,-11.5,11.5
2/26 9:56:23 am,RedZone,Charlotte Hornets,Indiana Pacers,-31.5,-103,31.5,-121,119,80,-11.5,11.5
2/26 9:56:12 am,RedZone,Charlotte Hornets,Indiana Pacers,-30.5,-121,30.5,-103,119,80,-11.5,11.5
2/26 9:55:58 am,RedZone,Charlotte Hornets,Indiana Pacers,-32.5,-112,32.5,-112,119,80,-11.5,11.5
2/26 9:55:35 am,RedZone,Charlotte Hornets,Indiana Pacers,-32.5,-108,32.5,-115,119,80,-11.5,11.5
2/26 9:55:19 am,RedZone,Charlotte Hornets,Indiana Pacers,-34.5,-108,34.5,-115,119,80,-11.5,11.5
2/26 9:55:13 am,RedZone,Charlotte Hornets,Indiana Pacers,-34.5,-112,34.5,-112,119,80,-11.5,11.5
2/26 9:54:44 am,RedZone,Charlotte Hornets,Indiana Pacers,-37.5,-108,37.5,-115,119,80,-11.5,11.5
2/26 9:54:21 am,RedZone,Charlotte Hornets,Indiana Pacers,-39.5,-117,39.5,-106,119,80,-11.5,11.5
2/26 9:53:52 am,RedZone,Charlotte Hornets,Indiana Pacers,-38.5,-108,38.5,-115,119,80,-11.5,11.5
2/26 9:53:29 am,Pinnacle,Charlotte Hornets,Indiana Pacers,-37.5,-107,37.5,-109,119,80,-11.5,11.5
2/26 9:53:26 am,Pinnacle,Charlotte Hornets,Indiana Pacers,-37.5,-108,37.5,-108,119,80,-11.5,11.5
2/26 9:53:20 am,Pinnacle,Charlotte Hornets,Indiana Pacers,-37.5,-108,37.5,-108,119,80,-11.5,11.5
2/26 9:53:12 am,Pinnacle,Charlotte Hornets,Indiana Pacers,-37.5,-108,37.5,-108,119,80,-11.5,11.5
2/26 9:53:05 am,Pinnacle,Charlotte Hornets,Indiana Pacers,-37.5,-110,37.5,-106,119,80,-11.5,11.5
2/26 9:53:03 am,Pinnacle,Charlotte Hornets,Indiana Pacers,-37.5,-111,37.5,-105,119,80,-11.5,11.5
2/26 9:51:28 am,RedZone,Charlotte Hornets,Indiana Pacers,-37.5,-115,37.5,-108,119,80,-11.5,11.5
2/26 9:50:58 am,RedZone,Charlotte Hornets,Indiana Pacers,-37.5,-115,37.5,-108,119,80,-11.5,11.5
2/26 9:50:24 am,RedZone,Charlotte Hornets,Indiana Pacers,-39.5,101,39.5,-125,119,80,-11.5,11.5
2/26 9:49:57 am,RedZone,Charlotte Hornets,Indiana Pacers,-38.5,-112,38.5,-112,119,80,-11.5,11.5
