Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/30 11:14:42 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-17.0,-140,17.0,120,117,104,-2.5,2.5
12/30 11:14:36 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-17.0,-131,17.0,112,117,104,-2.5,2.5
12/30 11:14:30 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-17.0,-125,17.0,107,117,104,-2.5,2.5
12/30 11:14:18 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-17.0,-120,17.0,103,117,104,-2.5,2.5
12/30 11:14:09 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-17.0,-116,17.0,-101,117,104,-2.5,2.5
12/30 11:14:07 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-17.0,-123,17.0,105,117,104,-2.5,2.5
12/30 11:13:54 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-17.0,-108,17.0,-108,117,104,-2.5,2.5
12/30 11:07:57 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-12.0,102,12.0,-119,117,104,-2.5,2.5
12/30 11:07:51 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-12.0,103,12.0,-120,117,104,-2.5,2.5
12/30 11:07:33 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-12.0,101,12.0,-118,117,104,-2.5,2.5
12/30 11:07:12 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-12.0,-105,12.0,-111,117,104,-2.5,2.5
12/30 11:07:06 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-12.0,-106,12.0,-110,117,104,-2.5,2.5
12/30 11:06:57 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-12.0,-108,12.0,-108,117,104,-2.5,2.5
12/30 11:06:42 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-11.0,-104,11.0,-112,117,104,-2.5,2.5
12/30 11:06:36 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-11.0,-103,11.0,-113,117,104,-2.5,2.5
12/30 11:05:03 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-9.0,-108,9.0,-123,117,104,-2.5,2.5
12/30 11:04:54 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-8.0,-118,8.0,-112,117,104,-2.5,2.5
12/30 11:04:52 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-8.0,-119,8.0,-111,117,104,-2.5,2.5
12/30 11:04:48 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-7.5,-121,7.5,-109,117,104,-2.5,2.5
12/30 11:04:42 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-9.5,-117,9.5,-113,117,104,-2.5,2.5
12/30 11:04:33 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-9.5,-121,9.5,-109,117,104,-2.5,2.5
12/30 11:04:27 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-9.5,-120,9.5,-110,117,104,-2.5,2.5
12/30 11:04:18 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-9.0,-112,9.0,-118,117,104,-2.5,2.5
12/30 11:04:12 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-8.0,-116,8.0,-114,117,104,-2.5,2.5
12/30 11:04:01 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-9.0,-120,9.0,-111,117,104,-2.5,2.5
12/30 11:03:54 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-8.5,-113,8.5,-117,117,104,-2.5,2.5
12/30 11:03:25 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-8.5,-125,8.5,-106,117,104,-2.5,2.5
12/30 11:01:27 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-9.0,103,9.0,-120,117,104,-2.5,2.5
12/30 11:00:48 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-9.0,-101,9.0,-115,117,104,-2.5,2.5
12/30 11:00:12 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-8.5,-125,8.5,-106,117,104,-2.5,2.5
12/30 10:59:51 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-9.5,-123,9.5,-107,117,104,-2.5,2.5
12/30 10:59:42 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-9.0,-107,9.0,-124,117,104,-2.5,2.5
12/30 10:59:39 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-9.0,-122,9.0,-108,117,104,-2.5,2.5
12/30 10:59:06 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-9.5,-122,9.5,-108,117,104,-2.5,2.5
12/30 10:59:03 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-9.5,-107,9.5,-124,117,104,-2.5,2.5
12/30 10:58:45 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-9.0,-107,9.0,-124,117,104,-2.5,2.5
12/30 10:58:39 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-9.0,-106,9.0,-125,117,104,-2.5,2.5
12/30 10:58:18 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-9.0,-107,9.0,-123,117,104,-2.5,2.5
12/30 10:58:15 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-9.0,-115,9.0,-115,117,104,-2.5,2.5
12/30 10:58:12 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-11.5,-123,11.5,-107,117,104,-2.5,2.5
12/30 10:57:51 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-9.5,-117,9.5,-113,117,104,-2.5,2.5
12/30 10:57:36 am,Pinnacle,Charlotte Hornets,Memphis Grizzlies,-9.5,-118,9.5,-112,117,104,-2.5,2.5
