Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
3/12 9:42:11 am,RedZone,Charlotte Hornets,Miami Heat,6.5,-117,-6.5,-106,98,109,-10.5,10.5
3/12 9:39:26 am,RedZone,Charlotte Hornets,Miami Heat,5.5,-108,-5.5,-115,98,109,-10.5,10.5
3/12 9:39:15 am,RedZone,Charlotte Hornets,Miami Heat,6.5,-115,-6.5,-108,98,109,-10.5,10.5
3/12 9:38:57 am,RedZone,Charlotte Hornets,Miami Heat,6.5,-125,-6.5,101,98,109,-10.5,10.5
3/12 9:38:51 am,Pinnacle,Charlotte Hornets,Miami Heat,6.5,110,-6.5,-129,98,109,-10.5,10.5
3/12 9:38:39 am,Pinnacle,Charlotte Hornets,Miami Heat,6.5,111,-6.5,-130,98,109,-10.5,10.5
3/12 9:38:30 am,Pinnacle,Charlotte Hornets,Miami Heat,6.5,114,-6.5,-134,98,109,-10.5,10.5
3/12 9:38:18 am,Pinnacle,Charlotte Hornets,Miami Heat,6.5,128,-6.5,-150,98,109,-10.5,10.5
3/12 9:35:52 am,RedZone,Charlotte Hornets,Miami Heat,6.5,-103,-6.5,-121,98,109,-10.5,10.5
3/12 9:35:14 am,RedZone,Charlotte Hornets,Miami Heat,4.5,-112,-4.5,-112,98,109,-10.5,10.5
3/12 9:34:58 am,RedZone,Charlotte Hornets,Miami Heat,6.5,-126,-6.5,101,98,109,-10.5,10.5
3/12 9:34:27 am,RedZone,Charlotte Hornets,Miami Heat,6.5,107,-6.5,-135,98,109,-10.5,10.5
3/12 9:34:06 am,RedZone,Charlotte Hornets,Miami Heat,8.5,-118,-8.5,-105,98,109,-10.5,10.5
3/12 9:33:57 am,RedZone,Charlotte Hornets,Miami Heat,6.5,-105,-6.5,-118,98,109,-10.5,10.5
3/12 9:33:39 am,Pinnacle,Charlotte Hornets,Miami Heat,6.5,-117,-6.5,100,98,109,-10.5,10.5
3/12 9:33:31 am,RedZone,Charlotte Hornets,Miami Heat,6.5,-118,-6.5,-105,98,109,-10.5,10.5
3/12 9:33:22 am,Pinnacle,Charlotte Hornets,Miami Heat,6.5,-117,-6.5,100,98,109,-10.5,10.5
3/12 9:33:18 am,Pinnacle,Charlotte Hornets,Miami Heat,6.5,-117,-6.5,100,98,109,-10.5,10.5
3/12 9:33:03 am,Pinnacle,Charlotte Hornets,Miami Heat,6.5,-112,-6.5,-104,98,109,-10.5,10.5
3/12 9:33:00 am,Pinnacle,Charlotte Hornets,Miami Heat,6.5,-112,-6.5,-104,98,109,-10.5,10.5
3/12 9:32:57 am,Pinnacle,Charlotte Hornets,Miami Heat,6.5,-111,-6.5,-105,98,109,-10.5,10.5
3/12 9:32:52 am,Pinnacle,Charlotte Hornets,Miami Heat,6.5,-111,-6.5,-105,98,109,-10.5,10.5
3/12 9:32:45 am,Pinnacle,Charlotte Hornets,Miami Heat,6.5,-110,-6.5,-106,98,109,-10.5,10.5
3/12 9:32:42 am,Pinnacle,Charlotte Hornets,Miami Heat,6.5,-108,-6.5,-108,98,109,-10.5,10.5
3/12 9:32:36 am,Pinnacle,Charlotte Hornets,Miami Heat,6.5,-108,-6.5,-108,98,109,-10.5,10.5
3/12 9:32:30 am,Pinnacle,Charlotte Hornets,Miami Heat,6.5,-108,-6.5,-108,98,109,-10.5,10.5
3/12 9:32:21 am,Pinnacle,Charlotte Hornets,Miami Heat,6.5,-108,-6.5,-108,98,109,-10.5,10.5
3/12 9:32:19 am,Pinnacle,Charlotte Hornets,Miami Heat,6.5,-108,-6.5,-108,98,109,-10.5,10.5
3/12 9:31:26 am,RedZone,Charlotte Hornets,Miami Heat,6.5,-112,-6.5,-112,98,109,-10.5,10.5
3/12 9:30:51 am,RedZone,Charlotte Hornets,Miami Heat,6.5,-108,-6.5,-115,98,109,-10.5,10.5
3/12 9:30:39 am,RedZone,Charlotte Hornets,Miami Heat,6.5,-112,-6.5,-112,98,109,-10.5,10.5
3/12 9:30:12 am,RedZone,Charlotte Hornets,Miami Heat,6.5,-105,-6.5,-118,98,109,-10.5,10.5
