Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/17 10:37:20 am,Pinnacle,Charlotte Hornets,New York Knicks,-7.5,-123,7.5,105,102,103,-4,4
11/17 10:36:43 am,Pinnacle,Charlotte Hornets,New York Knicks,-7.5,-125,7.5,107,102,103,-4,4
11/17 10:36:23 am,Pinnacle,Charlotte Hornets,New York Knicks,-7.5,-117,7.5,100,102,103,-4,4
11/17 10:36:10 am,Pinnacle,Charlotte Hornets,New York Knicks,-7.5,-109,7.5,-107,102,103,-4,4
11/17 10:35:59 am,Pinnacle,Charlotte Hornets,New York Knicks,-7.5,-105,7.5,-111,102,103,-4,4
11/17 10:35:47 am,Pinnacle,Charlotte Hornets,New York Knicks,-7.5,-114,7.5,-116,102,103,-4,4
11/17 10:35:35 am,Pinnacle,Charlotte Hornets,New York Knicks,-7.5,-115,7.5,-115,102,103,-4,4
11/17 10:35:32 am,Pinnacle,Charlotte Hornets,New York Knicks,-8.0,-108,8.0,-122,102,103,-4,4
11/17 10:35:23 am,Pinnacle,Charlotte Hornets,New York Knicks,-7.0,-118,7.0,-112,102,103,-4,4
11/17 10:35:14 am,Pinnacle,Charlotte Hornets,New York Knicks,-7.0,-108,7.0,-122,102,103,-4,4
11/17 10:35:11 am,Pinnacle,Charlotte Hornets,New York Knicks,-6.0,-124,6.0,-107,102,103,-4,4
11/17 10:35:08 am,Pinnacle,Charlotte Hornets,New York Knicks,-6.0,-112,6.0,-118,102,103,-4,4
11/17 10:35:05 am,Pinnacle,Charlotte Hornets,New York Knicks,-6.5,-109,6.5,-121,102,103,-4,4
11/17 10:35:01 am,Pinnacle,Charlotte Hornets,New York Knicks,-7.0,-105,7.0,-126,102,103,-4,4
11/17 10:34:56 am,Pinnacle,Charlotte Hornets,New York Knicks,-7.0,-109,7.0,-121,102,103,-4,4
11/17 10:34:52 am,Pinnacle,Charlotte Hornets,New York Knicks,-6.0,-141,6.0,106,102,103,-4,4
11/17 10:34:32 am,Pinnacle,Charlotte Hornets,New York Knicks,-6.0,-127,6.0,-104,102,103,-4,4
11/17 10:34:28 am,Pinnacle,Charlotte Hornets,New York Knicks,-6.0,-114,6.0,-116,102,103,-4,4
11/17 10:34:26 am,Pinnacle,Charlotte Hornets,New York Knicks,-6.0,-117,6.0,-113,102,103,-4,4
11/17 10:34:05 am,Pinnacle,Charlotte Hornets,New York Knicks,-5.0,-117,5.0,-113,102,103,-4,4
11/17 10:34:02 am,Pinnacle,Charlotte Hornets,New York Knicks,-4.0,-127,4.0,-104,102,103,-4,4
11/17 10:33:47 am,Pinnacle,Charlotte Hornets,New York Knicks,-4.0,-122,4.0,-108,102,103,-4,4
11/17 10:33:01 am,Pinnacle,Charlotte Hornets,New York Knicks,-4.0,-132,4.0,113,102,103,-4,4
11/17 10:32:38 am,Pinnacle,Charlotte Hornets,New York Knicks,-4.0,-130,4.0,111,102,103,-4,4
11/17 10:31:28 am,Pinnacle,Charlotte Hornets,New York Knicks,-4.0,-125,4.0,107,102,103,-4,4
11/17 10:31:17 am,Pinnacle,Charlotte Hornets,New York Knicks,-4.0,-120,4.0,103,102,103,-4,4
11/17 10:31:10 am,Pinnacle,Charlotte Hornets,New York Knicks,-4.0,-117,4.0,100,102,103,-4,4
11/17 10:31:02 am,Pinnacle,Charlotte Hornets,New York Knicks,-4.0,-113,4.0,-103,102,103,-4,4
11/17 10:30:38 am,Pinnacle,Charlotte Hornets,New York Knicks,-4.0,-124,4.0,-107,102,103,-4,4
11/17 10:30:23 am,Pinnacle,Charlotte Hornets,New York Knicks,-3.5,-115,3.5,-115,102,103,-4,4
11/17 10:29:44 am,Pinnacle,Charlotte Hornets,New York Knicks,-3.5,-114,3.5,-116,102,103,-4,4
11/17 10:29:41 am,Pinnacle,Charlotte Hornets,New York Knicks,-3.0,-121,3.0,-109,102,103,-4,4
11/17 10:29:37 am,Pinnacle,Charlotte Hornets,New York Knicks,-2.5,-126,2.5,-105,102,103,-4,4
11/17 10:29:29 am,Pinnacle,Charlotte Hornets,New York Knicks,-2.5,-121,2.5,-109,102,103,-4,4
11/17 10:29:25 am,Pinnacle,Charlotte Hornets,New York Knicks,-3.0,-116,3.0,-114,102,103,-4,4
11/17 10:29:13 am,Pinnacle,Charlotte Hornets,New York Knicks,-3.5,-116,3.5,-114,102,103,-4,4
11/17 10:29:11 am,Pinnacle,Charlotte Hornets,New York Knicks,-2.5,-129,2.5,-103,102,103,-4,4
11/17 10:28:59 am,Pinnacle,Charlotte Hornets,New York Knicks,-2.5,-123,2.5,-107,102,103,-4,4
11/17 10:28:56 am,Pinnacle,Charlotte Hornets,New York Knicks,-3.5,-115,3.5,-115,102,103,-4,4
11/17 10:28:35 am,Pinnacle,Charlotte Hornets,New York Knicks,-2.5,-113,2.5,-117,102,103,-4,4
11/17 10:28:32 am,Pinnacle,Charlotte Hornets,New York Knicks,-2.5,-107,2.5,-124,102,103,-4,4
11/17 10:28:02 am,Pinnacle,Charlotte Hornets,New York Knicks,-2.0,-116,2.0,-114,102,103,-4,4
11/17 10:27:59 am,Pinnacle,Charlotte Hornets,New York Knicks,-1.5,-108,1.5,-123,102,103,-4,4
11/17 10:27:50 am,Pinnacle,Charlotte Hornets,New York Knicks,-1.5,-107,1.5,-124,102,103,-4,4
11/17 10:27:44 am,Pinnacle,Charlotte Hornets,New York Knicks,-1.0,-125,1.0,-106,102,103,-4,4
11/17 10:27:37 am,Pinnacle,Charlotte Hornets,New York Knicks,-1.0,-101,1.0,-132,102,103,-4,4
11/17 10:27:13 am,Pinnacle,Charlotte Hornets,New York Knicks,-1.0,-103,1.0,-128,102,103,-4,4
11/17 10:27:08 am,Pinnacle,Charlotte Hornets,New York Knicks,-1.0,-101,1.0,-131,102,103,-4,4
11/17 10:27:02 am,Pinnacle,Charlotte Hornets,New York Knicks,-1.0,-103,1.0,-129,102,103,-4,4
11/17 10:26:50 am,Pinnacle,Charlotte Hornets,New York Knicks,-1.5,-108,1.5,-123,102,103,-4,4
11/17 10:26:47 am,Pinnacle,Charlotte Hornets,New York Knicks,-2.0,-118,2.0,-112,102,103,-4,4
11/17 10:26:35 am,Pinnacle,Charlotte Hornets,New York Knicks,-1.0,-120,1.0,-110,102,103,-4,4
11/17 10:26:31 am,Pinnacle,Charlotte Hornets,New York Knicks,-1.0,-112,1.0,-118,102,103,-4,4
11/17 10:25:58 am,Pinnacle,Charlotte Hornets,New York Knicks,-1.0,-102,1.0,-130,102,103,-4,4
11/17 10:25:55 am,Pinnacle,Charlotte Hornets,New York Knicks,-1.5,113,1.5,-150,102,103,-4,4
11/17 10:25:50 am,Pinnacle,Charlotte Hornets,New York Knicks,-1.5,-106,1.5,-125,102,103,-4,4
