Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
10/31 12:08:24 pm,Pinnacle,Charlotte Hornets,Sacramento Kings,10.0,-106,-10.0,-110,111,118,-7.5,7.5
10/31 12:05:25 pm,Pinnacle,Charlotte Hornets,Sacramento Kings,11.0,-106,-11.0,-110,111,118,-7.5,7.5
10/31 12:04:01 pm,Pinnacle,Charlotte Hornets,Sacramento Kings,11.0,-105,-11.0,-111,111,118,-7.5,7.5
10/31 11:59:47 am,Pinnacle,Charlotte Hornets,Sacramento Kings,9.5,107,-9.5,-143,111,118,-7.5,7.5
10/31 11:58:23 am,Pinnacle,Charlotte Hornets,Sacramento Kings,10.0,-108,-10.0,-122,111,118,-7.5,7.5
10/31 11:57:00 am,Pinnacle,Charlotte Hornets,Sacramento Kings,10.5,-129,-10.5,111,111,118,-7.5,7.5
10/31 11:55:36 am,Pinnacle,Charlotte Hornets,Sacramento Kings,10.5,-114,-10.5,-102,111,118,-7.5,7.5
10/31 11:54:14 am,Pinnacle,Charlotte Hornets,Sacramento Kings,9.5,-123,-9.5,-107,111,118,-7.5,7.5
10/31 11:52:51 am,Pinnacle,Charlotte Hornets,Sacramento Kings,9.5,106,-9.5,-141,111,118,-7.5,7.5
10/31 11:51:28 am,Pinnacle,Charlotte Hornets,Sacramento Kings,9.5,105,-9.5,-139,111,118,-7.5,7.5
10/31 11:50:07 am,Pinnacle,Charlotte Hornets,Sacramento Kings,9.5,-113,-9.5,-117,111,118,-7.5,7.5
10/31 11:48:45 am,Pinnacle,Charlotte Hornets,Sacramento Kings,5.5,-106,-5.5,-124,111,118,-7.5,7.5
10/31 11:47:22 am,Pinnacle,Charlotte Hornets,Sacramento Kings,5.5,-118,-5.5,101,111,118,-7.5,7.5
10/31 11:45:58 am,Pinnacle,Charlotte Hornets,Sacramento Kings,5.5,-108,-5.5,-108,111,118,-7.5,7.5
10/31 11:44:36 am,Pinnacle,Charlotte Hornets,Sacramento Kings,3.0,-100,-3.0,-132,111,118,-7.5,7.5
10/31 11:43:13 am,Pinnacle,Charlotte Hornets,Sacramento Kings,3.0,-120,-3.0,-111,111,118,-7.5,7.5
10/31 11:41:52 am,Pinnacle,Charlotte Hornets,Sacramento Kings,-1.0,-109,1.0,-122,111,118,-7.5,7.5
10/31 11:40:28 am,Pinnacle,Charlotte Hornets,Sacramento Kings,-1.5,-130,1.5,-102,111,118,-7.5,7.5
10/31 11:37:40 am,Pinnacle,Charlotte Hornets,Sacramento Kings,0.0,-109,0.0,-107,111,118,-7.5,7.5
10/31 11:36:16 am,Pinnacle,Charlotte Hornets,Sacramento Kings,1.0,-124,-1.0,-107,111,118,-7.5,7.5
10/31 11:34:52 am,Pinnacle,Charlotte Hornets,Sacramento Kings,-1.0,-117,1.0,-113,111,118,-7.5,7.5
10/31 11:33:28 am,Pinnacle,Charlotte Hornets,Sacramento Kings,-4.5,-118,4.5,-112,111,118,-7.5,7.5
10/31 11:32:03 am,Pinnacle,Charlotte Hornets,Sacramento Kings,-5.0,-106,5.0,-110,111,118,-7.5,7.5
10/31 11:30:39 am,Pinnacle,Charlotte Hornets,Sacramento Kings,-5.0,-104,5.0,-113,111,118,-7.5,7.5
10/31 11:29:16 am,Pinnacle,Charlotte Hornets,Sacramento Kings,-5.5,-112,5.5,-118,111,118,-7.5,7.5
10/31 11:27:51 am,Pinnacle,Charlotte Hornets,Sacramento Kings,-7.0,-117,7.0,-113,111,118,-7.5,7.5
10/31 11:26:28 am,Pinnacle,Charlotte Hornets,Sacramento Kings,-5.5,-112,5.5,-118,111,118,-7.5,7.5
10/31 11:25:02 am,Pinnacle,Charlotte Hornets,Sacramento Kings,-5.5,-124,5.5,-107,111,118,-7.5,7.5
10/31 11:23:38 am,Pinnacle,Charlotte Hornets,Sacramento Kings,-7.5,-110,7.5,-120,111,118,-7.5,7.5
10/31 11:22:14 am,Pinnacle,Charlotte Hornets,Sacramento Kings,-8.0,-110,8.0,-120,111,118,-7.5,7.5
10/31 11:19:26 am,Pinnacle,Charlotte Hornets,Sacramento Kings,-8.0,-110,8.0,-101,111,118,-7.5,7.5
10/31 11:18:03 am,Pinnacle,Charlotte Hornets,Sacramento Kings,-8.0,-108,8.0,-102,111,118,-7.5,7.5
