Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/19 10:38:53 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-35.5,-106,35.5,-110,132,96,-8.5,8.5
11/19 10:37:38 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-35.5,105,35.5,-123,132,96,-8.5,8.5
11/19 10:37:31 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-35.5,-106,35.5,-110,132,96,-8.5,8.5
11/19 10:37:29 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-35.5,-108,35.5,-108,132,96,-8.5,8.5
11/19 10:37:13 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-35.5,-109,35.5,-107,132,96,-8.5,8.5
11/19 10:32:55 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-32.0,110,32.0,-128,132,96,-8.5,8.5
11/19 10:32:31 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-32.0,111,32.0,-130,132,96,-8.5,8.5
11/19 10:32:11 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-32.0,106,32.0,-124,132,96,-8.5,8.5
11/19 10:31:59 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-32.0,103,32.0,-120,132,96,-8.5,8.5
11/19 10:31:49 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-32.0,-114,32.0,-103,132,96,-8.5,8.5
11/19 10:31:44 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-17.0,-102,17.0,-115,132,96,-8.5,8.5
11/19 10:30:55 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-29.5,-108,29.5,-123,132,96,-8.5,8.5
11/19 10:30:52 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-28.5,-122,28.5,-109,132,96,-8.5,8.5
11/19 10:30:38 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-28.0,-123,28.0,-108,132,96,-8.5,8.5
11/19 10:30:22 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-26.5,-111,26.5,-119,132,96,-8.5,8.5
11/19 10:30:16 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-25.5,-113,25.5,-117,132,96,-8.5,8.5
11/19 10:30:07 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-25.5,-110,25.5,-121,132,96,-8.5,8.5
11/19 10:29:58 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-23.5,-117,23.5,-113,132,96,-8.5,8.5
11/19 10:29:55 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-22.5,-117,22.5,-113,132,96,-8.5,8.5
11/19 10:29:52 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-22.5,-115,22.5,-115,132,96,-8.5,8.5
11/19 10:29:50 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-22.5,-120,22.5,-110,132,96,-8.5,8.5
11/19 10:29:47 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-22.5,-116,22.5,-114,132,96,-8.5,8.5
11/19 10:29:43 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-22.5,-119,22.5,-111,132,96,-8.5,8.5
11/19 10:29:38 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-22.5,-118,22.5,-112,132,96,-8.5,8.5
11/19 10:29:32 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-22.5,-116,22.5,-114,132,96,-8.5,8.5
11/19 10:29:23 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-22.5,-115,22.5,-115,132,96,-8.5,8.5
11/19 10:29:19 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-23.5,-116,23.5,-114,132,96,-8.5,8.5
11/19 10:28:56 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-24.5,-111,24.5,-119,132,96,-8.5,8.5
11/19 10:28:50 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-23.5,-116,23.5,-114,132,96,-8.5,8.5
11/19 10:28:41 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-23.5,-117,23.5,-113,132,96,-8.5,8.5
11/19 10:28:16 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-25.5,-108,25.5,-123,132,96,-8.5,8.5
11/19 10:27:52 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-25.5,-110,25.5,-120,132,96,-8.5,8.5
11/19 10:27:16 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-26.5,-109,26.5,-121,132,96,-8.5,8.5
11/19 10:26:59 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-25.5,-108,25.5,-122,132,96,-8.5,8.5
11/19 10:26:55 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-25.5,-110,25.5,-120,132,96,-8.5,8.5
11/19 10:26:44 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-23.5,-116,23.5,-114,132,96,-8.5,8.5
11/19 10:26:29 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-23.5,-107,23.5,-124,132,96,-8.5,8.5
11/19 10:26:17 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-23.5,-113,23.5,-117,132,96,-8.5,8.5
11/19 10:26:08 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-23.5,-114,23.5,-116,132,96,-8.5,8.5
11/19 10:25:56 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-23.5,-116,23.5,-114,132,96,-8.5,8.5
11/19 10:25:53 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-24.5,-106,24.5,-125,132,96,-8.5,8.5
11/19 10:25:41 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-24.5,-110,24.5,-120,132,96,-8.5,8.5
11/19 10:25:38 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-24.5,-109,24.5,-121,132,96,-8.5,8.5
11/19 10:25:35 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-24.5,-116,24.5,-114,132,96,-8.5,8.5
11/19 10:25:32 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-22.5,-114,22.5,-116,132,96,-8.5,8.5
11/19 10:25:28 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-22.5,-116,22.5,-114,132,96,-8.5,8.5
11/19 10:25:26 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-22.5,-113,22.5,-117,132,96,-8.5,8.5
11/19 10:24:49 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-22.5,-117,22.5,-113,132,96,-8.5,8.5
11/19 10:24:08 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-21.5,-117,21.5,-113,132,96,-8.5,8.5
11/19 10:24:05 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-21.5,-118,21.5,-112,132,96,-8.5,8.5
11/19 10:23:55 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-21.0,-109,21.0,-122,132,96,-8.5,8.5
11/19 10:23:47 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-19.5,-122,19.5,-108,132,96,-8.5,8.5
11/19 10:23:43 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-19.5,-121,19.5,-109,132,96,-8.5,8.5
11/19 10:23:41 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-20.5,-122,20.5,-109,132,96,-8.5,8.5
11/19 10:23:20 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-19.5,-116,19.5,-114,132,96,-8.5,8.5
11/19 10:23:11 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-19.5,-108,19.5,-122,132,96,-8.5,8.5
11/19 10:22:23 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-19.0,-113,19.0,-117,132,96,-8.5,8.5
11/19 10:22:14 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-19.5,-130,19.5,-102,132,96,-8.5,8.5
11/19 10:21:58 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-19.5,-122,19.5,-109,132,96,-8.5,8.5
11/19 10:21:56 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-18.0,-125,18.0,-106,132,96,-8.5,8.5
11/19 10:21:46 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-18.0,-117,18.0,-113,132,96,-8.5,8.5
11/19 10:21:44 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-17.5,-120,17.5,-111,132,96,-8.5,8.5
11/19 10:21:37 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-17.0,-120,17.0,-111,132,96,-8.5,8.5
11/19 10:21:31 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-17.0,-120,17.0,-110,132,96,-8.5,8.5
11/19 10:18:58 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-17.0,-102,17.0,-115,132,96,-8.5,8.5
11/19 10:18:38 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-16.0,-120,16.0,-110,132,96,-8.5,8.5
11/19 10:18:17 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-17.5,-122,17.5,-108,132,96,-8.5,8.5
11/19 10:15:14 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-18.5,-112,18.5,-118,132,96,-8.5,8.5
11/19 10:15:02 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-18.5,-114,18.5,-117,132,96,-8.5,8.5
11/19 10:14:26 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-18.5,-114,18.5,-116,132,96,-8.5,8.5
11/19 10:14:11 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-18.5,-115,18.5,-115,132,96,-8.5,8.5
11/19 10:13:22 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-17.5,-115,17.5,-102,132,96,-8.5,8.5
11/19 10:13:20 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-18.5,-112,18.5,-118,132,96,-8.5,8.5
11/19 10:13:18 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-17.5,-115,17.5,-102,132,96,-8.5,8.5
11/19 10:13:17 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-18.5,-112,18.5,-118,132,96,-8.5,8.5
11/19 10:13:13 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-17.5,-115,17.5,-102,132,96,-8.5,8.5
11/19 10:13:12 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-18.5,-112,18.5,-118,132,96,-8.5,8.5
11/19 10:13:10 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-17.5,-115,17.5,-102,132,96,-8.5,8.5
11/19 10:13:09 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-18.5,-112,18.5,-118,132,96,-8.5,8.5
11/19 10:13:08 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-17.5,-115,17.5,-102,132,96,-8.5,8.5
11/19 10:12:35 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-18.5,-112,18.5,-118,132,96,-8.5,8.5
11/19 10:12:11 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-19.0,-122,19.0,-108,132,96,-8.5,8.5
11/19 10:11:56 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-19.5,-111,19.5,-119,132,96,-8.5,8.5
11/19 10:11:35 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-20.5,-109,20.5,-122,132,96,-8.5,8.5
11/19 10:11:32 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-19.5,-110,19.5,-120,132,96,-8.5,8.5
11/19 10:11:14 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-19.5,-118,19.5,-112,132,96,-8.5,8.5
11/19 10:10:55 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-19.0,-111,19.0,-119,132,96,-8.5,8.5
11/19 10:10:25 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-19.0,-121,19.0,-109,132,96,-8.5,8.5
11/19 10:10:11 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-20.5,-110,20.5,-121,132,96,-8.5,8.5
11/19 10:09:52 am,Pinnacle,Charlotte Hornets,Toronto Raptors,-19.5,-110,19.5,-121,132,96,-8.5,8.5
