Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/23 10:10:48 am,Pinnacle,Charlotte Hornets,Washington Wizards,-5.5,-185,5.5,157,125,118,-6,6
11/23 10:10:45 am,Pinnacle,Charlotte Hornets,Washington Wizards,-5.5,-181,5.5,154,125,118,-6,6
11/23 10:10:42 am,Pinnacle,Charlotte Hornets,Washington Wizards,-5.5,-189,5.5,160,125,118,-6,6
11/23 10:10:40 am,Pinnacle,Charlotte Hornets,Washington Wizards,-5.5,-176,5.5,149,125,118,-6,6
11/23 10:10:36 am,Pinnacle,Charlotte Hornets,Washington Wizards,-5.5,-180,5.5,153,125,118,-6,6
11/23 10:10:33 am,Pinnacle,Charlotte Hornets,Washington Wizards,-5.5,-176,5.5,150,125,118,-6,6
11/23 10:10:32 am,Pinnacle,Charlotte Hornets,Washington Wizards,-5.5,-179,5.5,152,125,118,-6,6
11/23 10:10:27 am,Pinnacle,Charlotte Hornets,Washington Wizards,-5.5,-171,5.5,145,125,118,-6,6
11/23 10:10:25 am,Pinnacle,Charlotte Hornets,Washington Wizards,-5.5,-180,5.5,153,125,118,-6,6
11/23 10:10:21 am,Pinnacle,Charlotte Hornets,Washington Wizards,-5.5,-183,5.5,156,125,118,-6,6
11/23 10:10:18 am,Pinnacle,Charlotte Hornets,Washington Wizards,-5.5,-186,5.5,158,125,118,-6,6
11/23 10:10:15 am,Pinnacle,Charlotte Hornets,Washington Wizards,-5.5,-191,5.5,162,125,118,-6,6
11/23 10:10:10 am,Pinnacle,Charlotte Hornets,Washington Wizards,-5.5,-195,5.5,165,125,118,-6,6
11/23 10:10:06 am,Pinnacle,Charlotte Hornets,Washington Wizards,-5.5,-196,5.5,166,125,118,-6,6
11/23 10:09:55 am,Pinnacle,Charlotte Hornets,Washington Wizards,-5.5,-200,5.5,169,125,118,-6,6
11/23 10:01:45 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.5,103,-1.5,-120,125,118,-6,6
11/23 10:01:31 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.5,-113,-1.5,-104,125,118,-6,6
11/23 9:52:57 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-101,-6.0,-116,125,118,-6,6
11/23 9:52:42 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-102,-6.0,-115,125,118,-6,6
11/23 9:52:15 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-110,-6.0,-107,125,118,-6,6
11/23 9:52:03 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-108,-6.0,-108,125,118,-6,6
11/23 9:51:45 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-109,-6.0,-107,125,118,-6,6
11/23 9:49:03 am,Pinnacle,Charlotte Hornets,Washington Wizards,8.5,107,-8.5,-125,125,118,-6,6
11/23 9:48:40 am,Pinnacle,Charlotte Hornets,Washington Wizards,8.5,108,-8.5,-126,125,118,-6,6
11/23 9:48:38 am,Pinnacle,Charlotte Hornets,Washington Wizards,8.5,107,-8.5,-125,125,118,-6,6
11/23 9:48:24 am,Pinnacle,Charlotte Hornets,Washington Wizards,8.5,104,-8.5,-122,125,118,-6,6
11/23 9:48:15 am,Pinnacle,Charlotte Hornets,Washington Wizards,8.5,100,-8.5,-117,125,118,-6,6
11/23 9:48:13 am,Pinnacle,Charlotte Hornets,Washington Wizards,8.5,-108,-8.5,-108,125,118,-6,6
11/23 9:48:06 am,Pinnacle,Charlotte Hornets,Washington Wizards,8.5,-110,-8.5,-106,125,118,-6,6
11/23 9:47:57 am,Pinnacle,Charlotte Hornets,Washington Wizards,8.5,-112,-8.5,-104,125,118,-6,6
11/23 9:42:52 am,Pinnacle,Charlotte Hornets,Washington Wizards,4.0,-124,-4.0,106,125,118,-6,6
11/23 9:42:45 am,Pinnacle,Charlotte Hornets,Washington Wizards,4.0,-121,-4.0,104,125,118,-6,6
11/23 9:42:25 am,Pinnacle,Charlotte Hornets,Washington Wizards,4.0,-120,-4.0,103,125,118,-6,6
11/23 9:42:22 am,Pinnacle,Charlotte Hornets,Washington Wizards,4.0,-115,-4.0,-102,125,118,-6,6
11/23 9:42:00 am,Pinnacle,Charlotte Hornets,Washington Wizards,4.0,-114,-4.0,-102,125,118,-6,6
11/23 9:41:57 am,Pinnacle,Charlotte Hornets,Washington Wizards,4.0,-109,-4.0,-107,125,118,-6,6
11/23 9:41:45 am,Pinnacle,Charlotte Hornets,Washington Wizards,4.0,-107,-4.0,-109,125,118,-6,6
11/23 9:41:39 am,Pinnacle,Charlotte Hornets,Washington Wizards,4.0,-106,-4.0,-110,125,118,-6,6
11/23 9:41:22 am,Pinnacle,Charlotte Hornets,Washington Wizards,4.0,-105,-4.0,-111,125,118,-6,6
11/23 9:34:21 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-105,-1.0,-111,125,118,-6,6
11/23 9:34:06 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-108,-1.0,-108,125,118,-6,6
11/23 9:33:06 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-110,-1.0,-106,125,118,-6,6
11/23 9:27:31 am,Pinnacle,Charlotte Hornets,Washington Wizards,-2.5,102,2.5,-119,125,118,-6,6
11/23 9:26:12 am,Pinnacle,Charlotte Hornets,Washington Wizards,-2.5,103,2.5,-120,125,118,-6,6
11/23 9:25:55 am,Pinnacle,Charlotte Hornets,Washington Wizards,-2.5,-103,2.5,-114,125,118,-6,6
11/23 9:17:57 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:17:56 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,103,-1.0,-114,125,118,-6,6
11/23 9:17:53 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:17:52 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,103,-1.0,-114,125,118,-6,6
11/23 9:17:48 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:17:47 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,103,-1.0,-114,125,118,-6,6
11/23 9:17:47 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:17:45 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,103,-1.0,-114,125,118,-6,6
11/23 9:17:37 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:17:34 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,103,-1.0,-114,125,118,-6,6
11/23 9:17:32 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:17:31 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,103,-1.0,-114,125,118,-6,6
11/23 9:17:26 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:17:25 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,103,-1.0,-114,125,118,-6,6
11/23 9:17:12 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:17:10 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,104,-1.0,-115,125,118,-6,6
11/23 9:17:09 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:17:06 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,104,-1.0,-115,125,118,-6,6
11/23 9:17:03 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:17:02 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,104,-1.0,-115,125,118,-6,6
11/23 9:17:00 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:16:59 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,104,-1.0,-115,125,118,-6,6
11/23 9:16:55 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:16:54 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,104,-1.0,-115,125,118,-6,6
11/23 9:16:41 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:16:40 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,104,-1.0,-115,125,118,-6,6
11/23 9:16:38 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:16:37 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,104,-1.0,-115,125,118,-6,6
11/23 9:16:35 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:16:33 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,104,-1.0,-115,125,118,-6,6
11/23 9:16:28 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:16:27 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,104,-1.0,-115,125,118,-6,6
11/23 9:16:23 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:16:22 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,104,-1.0,-115,125,118,-6,6
11/23 9:16:21 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:16:20 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,104,-1.0,-115,125,118,-6,6
11/23 9:16:02 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:16:01 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,104,-1.0,-115,125,118,-6,6
11/23 9:15:44 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:15:42 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,104,-1.0,-115,125,118,-6,6
11/23 9:15:38 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:15:37 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,103,-1.0,-114,125,118,-6,6
11/23 9:15:32 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:15:31 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,103,-1.0,-114,125,118,-6,6
11/23 9:15:24 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:15:23 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,103,-1.0,-114,125,118,-6,6
11/23 9:15:21 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:15:19 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,103,-1.0,-114,125,118,-6,6
11/23 9:15:07 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:15:05 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-102,-1.0,-109,125,118,-6,6
11/23 9:15:04 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:15:03 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-102,-1.0,-109,125,118,-6,6
11/23 9:15:01 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:14:57 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-102,-1.0,-109,125,118,-6,6
11/23 9:14:55 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:14:54 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-102,-1.0,-109,125,118,-6,6
11/23 9:14:48 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:14:47 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-102,-1.0,-109,125,118,-6,6
11/23 9:14:43 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:14:40 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-102,-1.0,-109,125,118,-6,6
11/23 9:14:35 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:14:29 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-101,-1.0,-109,125,118,-6,6
11/23 9:14:27 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:14:24 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-101,-1.0,-109,125,118,-6,6
11/23 9:14:23 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:14:21 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-101,-1.0,-109,125,118,-6,6
11/23 9:14:20 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:14:19 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-101,-1.0,-109,125,118,-6,6
11/23 9:14:12 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:14:11 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-101,-1.0,-109,125,118,-6,6
11/23 9:13:57 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:13:56 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-101,-1.0,-109,125,118,-6,6
11/23 9:13:54 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:13:53 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-101,-1.0,-109,125,118,-6,6
11/23 9:13:45 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:13:44 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-101,-1.0,-109,125,118,-6,6
11/23 9:13:41 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:13:40 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-101,-1.0,-109,125,118,-6,6
11/23 9:13:36 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:13:34 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-101,-1.0,-109,125,118,-6,6
11/23 9:13:27 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:13:25 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-101,-1.0,-109,125,118,-6,6
11/23 9:13:19 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:13:18 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-101,-1.0,-109,125,118,-6,6
11/23 9:13:17 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:13:16 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-101,-1.0,-109,125,118,-6,6
11/23 9:13:11 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:13:10 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-101,-1.0,-109,125,118,-6,6
11/23 9:12:53 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:12:52 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-101,-1.0,-109,125,118,-6,6
11/23 9:12:50 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:12:49 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-101,-1.0,-109,125,118,-6,6
11/23 9:12:47 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:12:46 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-101,-1.0,-109,125,118,-6,6
11/23 9:12:41 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:12:40 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-101,-1.0,-109,125,118,-6,6
11/23 9:12:35 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:12:34 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-101,-1.0,-109,125,118,-6,6
11/23 9:12:33 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:12:32 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-101,-1.0,-109,125,118,-6,6
11/23 9:12:31 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:12:28 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-101,-1.0,-109,125,118,-6,6
11/23 9:12:24 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:12:22 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-101,-1.0,-109,125,118,-6,6
11/23 9:12:15 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:12:12 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-101,-1.0,-109,125,118,-6,6
11/23 9:12:12 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:12:11 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-101,-1.0,-109,125,118,-6,6
11/23 9:12:05 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:12:03 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-101,-1.0,-109,125,118,-6,6
11/23 9:12:01 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:12:00 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-101,-1.0,-109,125,118,-6,6
11/23 9:11:58 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:11:57 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-101,-1.0,-109,125,118,-6,6
11/23 9:11:54 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:11:53 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-100,-1.0,-110,125,118,-6,6
11/23 9:11:52 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:11:51 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-100,-1.0,-110,125,118,-6,6
11/23 9:11:48 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:11:46 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-100,-1.0,-110,125,118,-6,6
11/23 9:11:40 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:11:39 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-100,-1.0,-110,125,118,-6,6
11/23 9:11:22 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:11:21 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-100,-1.0,-110,125,118,-6,6
11/23 9:11:20 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:11:18 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-100,-1.0,-110,125,118,-6,6
11/23 9:11:06 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:11:04 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-100,-1.0,-110,125,118,-6,6
11/23 9:11:02 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:11:01 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-100,-1.0,-110,125,118,-6,6
11/23 9:10:55 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:10:55 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-100,-1.0,-110,125,118,-6,6
11/23 9:10:50 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:10:48 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-100,-1.0,-110,125,118,-6,6
11/23 9:10:46 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:10:45 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-100,-1.0,-110,125,118,-6,6
11/23 9:10:45 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:10:44 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-100,-1.0,-110,125,118,-6,6
11/23 9:10:40 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:10:39 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-100,-1.0,-110,125,118,-6,6
11/23 9:10:37 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:10:35 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-100,-1.0,-110,125,118,-6,6
11/23 9:10:30 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
11/23 9:10:29 am,Pinnacle,Charlotte Hornets,Washington Wizards,1.0,-100,-1.0,-110,125,118,-6,6
11/23 9:10:28 am,Pinnacle,Charlotte Hornets,Washington Wizards,6.0,-240,-6.0,214,125,118,-6,6
