Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
10/31 9:26:14 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-5.5,-125,5.5,113,117,111,2,-2
10/31 9:25:41 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-4.5,-127,4.5,115,117,111,2,-2
10/31 9:25:19 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-4.5,-125,4.5,113,117,111,2,-2
10/31 9:21:19 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-5.0,-132,5.0,119,117,111,2,-2
10/31 9:21:10 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-5.0,-131,5.0,119,117,111,2,-2
10/31 9:21:06 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-5.0,-127,5.0,115,117,111,2,-2
10/31 9:21:02 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-5.0,-124,5.0,113,117,111,2,-2
10/31 9:20:58 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-5.0,-120,5.0,109,117,111,2,-2
10/31 9:20:54 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-5.0,-115,5.0,104,117,111,2,-2
10/31 9:14:35 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-3.5,-125,3.5,113,117,111,2,-2
10/31 9:14:31 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-3.5,-119,3.5,108,117,111,2,-2
10/31 9:14:23 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-3.5,-117,3.5,106,117,111,2,-2
10/31 9:14:19 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-3.5,-115,3.5,104,117,111,2,-2
10/31 9:09:08 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-3.5,-140,3.5,119,117,111,2,-2
10/31 9:08:46 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-3.5,-139,3.5,119,117,111,2,-2
10/31 9:08:38 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-3.5,-130,3.5,112,117,111,2,-2
10/31 9:08:34 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-3.5,-127,3.5,109,117,111,2,-2
10/31 9:08:25 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-3.5,-125,3.5,107,117,111,2,-2
10/31 9:08:12 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-3.5,-124,3.5,106,117,111,2,-2
10/31 9:07:59 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-3.5,-122,3.5,104,117,111,2,-2
10/31 9:07:47 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-3.5,-118,3.5,101,117,111,2,-2
10/31 9:07:08 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-3.5,-113,3.5,-103,117,111,2,-2
10/31 9:06:56 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-3.5,-111,3.5,-105,117,111,2,-2
10/31 9:06:16 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-4.5,-107,4.5,-124,117,111,2,-2
10/31 9:06:12 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-3.5,-122,3.5,-109,117,111,2,-2
10/31 9:06:07 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-3.0,-120,3.0,-110,117,111,2,-2
10/31 9:06:03 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-2.5,-120,2.5,-110,117,111,2,-2
10/31 9:05:59 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-2.5,-121,2.5,-109,117,111,2,-2
10/31 9:05:50 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-2.0,-116,2.0,-114,117,111,2,-2
10/31 9:05:42 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-1.0,-123,1.0,-107,117,111,2,-2
10/31 9:05:33 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-2.0,-113,2.0,-117,117,111,2,-2
10/31 9:05:25 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-2.0,-114,2.0,-116,117,111,2,-2
10/31 9:05:21 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-3.5,-114,3.5,-116,117,111,2,-2
10/31 9:05:17 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-3.5,-116,3.5,-114,117,111,2,-2
10/31 9:05:12 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-4.0,-112,4.0,-118,117,111,2,-2
10/31 9:05:09 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-2.0,-116,2.0,-114,117,111,2,-2
10/31 9:04:46 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-2.0,-112,2.0,-118,117,111,2,-2
10/31 9:04:17 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-2.0,-119,2.0,-111,117,111,2,-2
10/31 9:03:46 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-1.5,-115,1.5,-115,117,111,2,-2
10/31 9:03:34 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-2.0,-108,2.0,-122,117,111,2,-2
10/31 9:02:08 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,1.0,-131,-1.0,-101,117,111,2,-2
10/31 9:00:43 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,1.0,-130,-1.0,-102,117,111,2,-2
10/31 8:57:54 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,3.0,-109,-3.0,-107,117,111,2,-2
10/31 8:56:28 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,3.0,-119,-3.0,-111,117,111,2,-2
10/31 8:55:03 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,3.0,-116,-3.0,-101,117,111,2,-2
10/31 8:52:10 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,2.5,-112,-2.5,-118,117,111,2,-2
10/31 8:50:45 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,1.0,-110,-1.0,-120,117,111,2,-2
10/31 8:49:19 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,1.5,-110,-1.5,-120,117,111,2,-2
10/31 8:47:47 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,1.5,-121,-1.5,-109,117,111,2,-2
10/31 8:47:38 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,1.5,-114,-1.5,-116,117,111,2,-2
10/31 8:47:11 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,1.5,-110,-1.5,-120,117,111,2,-2
10/31 8:46:50 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,2.5,-114,-2.5,-116,117,111,2,-2
10/31 8:46:46 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,2.5,-122,-2.5,-109,117,111,2,-2
10/31 8:46:37 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,2.0,-122,-2.0,-109,117,111,2,-2
10/31 8:46:29 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,1.5,-108,-1.5,-122,117,111,2,-2
10/31 8:46:04 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-1.0,-101,1.0,-132,117,111,2,-2
10/31 8:44:02 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,1.0,-117,-1.0,100,117,111,2,-2
10/31 8:43:28 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,1.0,-118,-1.0,101,117,111,2,-2
10/31 8:42:59 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,1.0,-120,-1.0,102,117,111,2,-2
10/31 8:42:00 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-1.0,-104,1.0,-127,117,111,2,-2
10/31 8:41:27 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,1.0,-132,-1.0,-100,117,111,2,-2
10/31 8:41:15 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,1.5,-121,-1.5,-109,117,111,2,-2
10/31 8:41:10 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,1.5,-123,-1.5,-108,117,111,2,-2
10/31 8:41:06 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,1.0,-120,-1.0,-110,117,111,2,-2
10/31 8:40:53 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,2.0,-118,-2.0,-112,117,111,2,-2
10/31 8:40:49 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,2.0,-121,-2.0,-110,117,111,2,-2
10/31 8:40:45 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,2.5,-120,-2.5,-110,117,111,2,-2
10/31 8:40:40 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,1.5,-129,-1.5,-102,117,111,2,-2
10/31 8:40:28 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,1.0,-130,-1.0,-102,117,111,2,-2
10/31 8:40:14 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,-1.5,-115,1.5,-115,117,111,2,-2
10/31 8:40:00 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,1.0,-128,-1.0,-103,117,111,2,-2
10/31 8:39:52 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,1.0,-127,-1.0,-104,117,111,2,-2
10/31 8:39:21 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,1.5,-112,-1.5,-118,117,111,2,-2
10/31 8:39:17 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,1.5,-122,-1.5,-109,117,111,2,-2
10/31 8:38:47 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,1.5,-109,-1.5,-122,117,111,2,-2
10/31 8:38:38 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,1.5,-112,-1.5,-118,117,111,2,-2
10/31 8:38:29 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,1.5,-121,-1.5,-109,117,111,2,-2
10/31 8:38:25 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,2.5,107,-2.5,-142,117,111,2,-2
10/31 8:38:03 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,2.5,-114,-2.5,-116,117,111,2,-2
10/31 8:37:55 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,2.0,-116,-2.0,-114,117,111,2,-2
10/31 8:37:38 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,2.0,-115,-2.0,-115,117,111,2,-2
10/31 8:37:34 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,1.5,-115,-1.5,-115,117,111,2,-2
10/31 8:37:21 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,2.5,-101,-2.5,-132,117,111,2,-2
10/31 8:37:16 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,2.5,-115,-2.5,-115,117,111,2,-2
10/31 8:36:03 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,3.0,-101,-3.0,-116,117,111,2,-2
10/31 8:35:21 am,Pinnacle,Chicago Bulls,Cleveland Cavaliers,3.0,-109,-3.0,-107,117,111,2,-2
