Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/7 11:42:29 am,Pinnacle,Chicago Bulls,Dallas Mavericks,-12.5,-103,12.5,-113,118,110,-9.5,9.5
1/7 11:38:26 am,Pinnacle,Chicago Bulls,Dallas Mavericks,-11.5,-108,11.5,-108,118,110,-9.5,9.5
1/7 11:38:18 am,Pinnacle,Chicago Bulls,Dallas Mavericks,-11.5,-117,11.5,100,118,110,-9.5,9.5
1/7 11:38:11 am,Pinnacle,Chicago Bulls,Dallas Mavericks,-11.5,-118,11.5,101,118,110,-9.5,9.5
1/7 11:34:29 am,Pinnacle,Chicago Bulls,Dallas Mavericks,-10.5,-105,10.5,-111,118,110,-9.5,9.5
1/7 11:34:14 am,Pinnacle,Chicago Bulls,Dallas Mavericks,-10.5,-107,10.5,-109,118,110,-9.5,9.5
1/7 11:33:24 am,Pinnacle,Chicago Bulls,Dallas Mavericks,-10.5,-106,10.5,-111,118,110,-9.5,9.5
1/7 11:33:11 am,Pinnacle,Chicago Bulls,Dallas Mavericks,-10.5,-107,10.5,-109,118,110,-9.5,9.5
1/7 11:33:05 am,Pinnacle,Chicago Bulls,Dallas Mavericks,-10.5,-111,10.5,-106,118,110,-9.5,9.5
1/7 11:33:00 am,Pinnacle,Chicago Bulls,Dallas Mavericks,-10.5,-111,10.5,-105,118,110,-9.5,9.5
1/7 11:26:08 am,Pinnacle,Chicago Bulls,Dallas Mavericks,-10.5,-110,10.5,-106,118,110,-9.5,9.5
1/7 11:24:47 am,Pinnacle,Chicago Bulls,Dallas Mavericks,-11.0,-113,11.0,-117,118,110,-9.5,9.5
1/7 11:24:45 am,Pinnacle,Chicago Bulls,Dallas Mavericks,-11.5,-109,11.5,-122,118,110,-9.5,9.5
1/7 11:24:32 am,Pinnacle,Chicago Bulls,Dallas Mavericks,-9.5,-109,9.5,-122,118,110,-9.5,9.5
1/7 11:25:38 am,Pinnacle,Chicago Bulls,Dallas Mavericks,-10.5,-111,10.5,-105,118,110,-9.5,9.5
1/7 11:24:23 am,Pinnacle,Chicago Bulls,Dallas Mavericks,-8.5,-116,8.5,-114,118,110,-9.5,9.5
1/7 11:24:17 am,Pinnacle,Chicago Bulls,Dallas Mavericks,-9.5,-104,9.5,-127,118,110,-9.5,9.5
1/7 11:24:11 am,Pinnacle,Chicago Bulls,Dallas Mavericks,-9.5,-113,9.5,-117,118,110,-9.5,9.5
1/7 11:24:06 am,Pinnacle,Chicago Bulls,Dallas Mavericks,-9.5,-112,9.5,-118,118,110,-9.5,9.5
1/7 11:24:02 am,Pinnacle,Chicago Bulls,Dallas Mavericks,-10.0,-117,10.0,-113,118,110,-9.5,9.5
1/7 11:23:53 am,Pinnacle,Chicago Bulls,Dallas Mavericks,-10.0,-123,10.0,-108,118,110,-9.5,9.5
1/7 11:23:51 am,Pinnacle,Chicago Bulls,Dallas Mavericks,-11.0,-118,11.0,-112,118,110,-9.5,9.5
1/7 11:23:32 am,Pinnacle,Chicago Bulls,Dallas Mavericks,-10.0,-113,10.0,-117,118,110,-9.5,9.5
1/7 11:23:05 am,Pinnacle,Chicago Bulls,Dallas Mavericks,-9.5,-116,9.5,-114,118,110,-9.5,9.5
1/7 11:23:02 am,Pinnacle,Chicago Bulls,Dallas Mavericks,-8.5,-124,8.5,-106,118,110,-9.5,9.5
1/7 11:23:01 am,Pinnacle,Chicago Bulls,Dallas Mavericks,-8.5,-121,8.5,-109,118,110,-9.5,9.5
1/7 11:22:50 am,Pinnacle,Chicago Bulls,Dallas Mavericks,-8.5,-118,8.5,-112,118,110,-9.5,9.5
1/7 11:22:47 am,Pinnacle,Chicago Bulls,Dallas Mavericks,-7.5,-108,7.5,-122,118,110,-9.5,9.5
1/7 11:22:20 am,Pinnacle,Chicago Bulls,Dallas Mavericks,-7.5,-105,7.5,-126,118,110,-9.5,9.5
1/7 11:21:56 am,Pinnacle,Chicago Bulls,Dallas Mavericks,-7.5,-110,7.5,-120,118,110,-9.5,9.5
