Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/22 10:09:23 am,Pinnacle,Chicago Bulls,Detroit Pistons,7.5,105,-7.5,-122,107,119,1.5,-1.5
12/22 10:09:22 am,Pinnacle,Chicago Bulls,Detroit Pistons,7.5,104,-7.5,-121,107,119,1.5,-1.5
12/22 10:09:21 am,Pinnacle,Chicago Bulls,Detroit Pistons,7.5,105,-7.5,-122,107,119,1.5,-1.5
12/22 10:09:12 am,Pinnacle,Chicago Bulls,Detroit Pistons,7.5,104,-7.5,-121,107,119,1.5,-1.5
12/22 10:08:54 am,Pinnacle,Chicago Bulls,Detroit Pistons,7.5,-101,-7.5,-116,107,119,1.5,-1.5
12/22 10:05:12 am,Pinnacle,Chicago Bulls,Detroit Pistons,4.0,102,-4.0,-119,107,119,1.5,-1.5
12/22 9:58:03 am,Pinnacle,Chicago Bulls,Detroit Pistons,3.5,-117,-3.5,100,107,119,1.5,-1.5
12/22 9:57:39 am,Pinnacle,Chicago Bulls,Detroit Pistons,3.5,-113,-3.5,-103,107,119,1.5,-1.5
12/22 9:56:51 am,Pinnacle,Chicago Bulls,Detroit Pistons,3.5,-110,-3.5,-106,107,119,1.5,-1.5
12/22 9:56:44 am,Pinnacle,Chicago Bulls,Detroit Pistons,3.5,-118,-3.5,101,107,119,1.5,-1.5
12/22 9:55:54 am,Pinnacle,Chicago Bulls,Detroit Pistons,3.5,-110,-3.5,-120,107,119,1.5,-1.5
12/22 9:55:45 am,Pinnacle,Chicago Bulls,Detroit Pistons,3.5,-138,-3.5,104,107,119,1.5,-1.5
12/22 9:55:42 am,Pinnacle,Chicago Bulls,Detroit Pistons,3.5,-121,-3.5,-110,107,119,1.5,-1.5
12/22 9:55:28 am,Pinnacle,Chicago Bulls,Detroit Pistons,3.5,-111,-3.5,-119,107,119,1.5,-1.5
12/22 9:55:18 am,Pinnacle,Chicago Bulls,Detroit Pistons,3.0,102,-3.0,-136,107,119,1.5,-1.5
12/22 9:55:15 am,Pinnacle,Chicago Bulls,Detroit Pistons,3.0,-118,-3.0,-112,107,119,1.5,-1.5
12/22 9:55:09 am,Pinnacle,Chicago Bulls,Detroit Pistons,3.0,-125,-3.0,-106,107,119,1.5,-1.5
12/22 9:55:03 am,Pinnacle,Chicago Bulls,Detroit Pistons,3.0,-123,-3.0,-107,107,119,1.5,-1.5
12/22 9:54:57 am,Pinnacle,Chicago Bulls,Detroit Pistons,3.0,-125,-3.0,-106,107,119,1.5,-1.5
12/22 9:54:54 am,Pinnacle,Chicago Bulls,Detroit Pistons,1.5,-111,-1.5,-120,107,119,1.5,-1.5
12/22 9:54:48 am,Pinnacle,Chicago Bulls,Detroit Pistons,1.5,-124,-1.5,-107,107,119,1.5,-1.5
12/22 9:54:11 am,Pinnacle,Chicago Bulls,Detroit Pistons,1.5,-125,-1.5,-106,107,119,1.5,-1.5
12/22 9:54:03 am,Pinnacle,Chicago Bulls,Detroit Pistons,1.0,-111,-1.0,-119,107,119,1.5,-1.5
12/22 9:53:54 am,Pinnacle,Chicago Bulls,Detroit Pistons,1.0,-134,-1.0,101,107,119,1.5,-1.5
12/22 9:53:51 am,Pinnacle,Chicago Bulls,Detroit Pistons,1.0,-123,-1.0,-108,107,119,1.5,-1.5
