Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/9 9:39:58 am,Pinnacle,Chicago Bulls,Miami Heat,-2.0,-118,2.0,101,110,105,-7,7
12/9 9:39:55 am,Pinnacle,Chicago Bulls,Miami Heat,-2.0,-115,2.0,-102,110,105,-7,7
12/9 9:39:43 am,Pinnacle,Chicago Bulls,Miami Heat,-2.0,-113,2.0,-103,110,105,-7,7
12/9 9:39:32 am,Pinnacle,Chicago Bulls,Miami Heat,-2.0,-112,2.0,-104,110,105,-7,7
12/9 9:39:22 am,Pinnacle,Chicago Bulls,Miami Heat,-2.0,-110,2.0,-106,110,105,-7,7
12/9 9:37:58 am,Pinnacle,Chicago Bulls,Miami Heat,-2.0,-108,2.0,-108,110,105,-7,7
12/9 9:14:58 am,Pinnacle,Chicago Bulls,Miami Heat,1.5,-111,-1.5,-105,110,105,-7,7
12/9 9:14:54 am,Pinnacle,Chicago Bulls,Miami Heat,1.5,-112,-1.5,-104,110,105,-7,7
12/9 9:14:25 am,Pinnacle,Chicago Bulls,Miami Heat,1.5,-113,-1.5,-103,110,105,-7,7
12/9 9:14:10 am,Pinnacle,Chicago Bulls,Miami Heat,1.5,-112,-1.5,-104,110,105,-7,7
12/9 9:14:01 am,Pinnacle,Chicago Bulls,Miami Heat,1.5,-110,-1.5,-106,110,105,-7,7
12/9 9:13:52 am,Pinnacle,Chicago Bulls,Miami Heat,1.5,-111,-1.5,-105,110,105,-7,7
12/9 9:13:49 am,Pinnacle,Chicago Bulls,Miami Heat,1.5,-112,-1.5,-104,110,105,-7,7
12/9 9:13:43 am,Pinnacle,Chicago Bulls,Miami Heat,1.5,-114,-1.5,-103,110,105,-7,7
12/9 9:13:37 am,Pinnacle,Chicago Bulls,Miami Heat,1.5,-116,-1.5,-101,110,105,-7,7
12/9 9:13:31 am,Pinnacle,Chicago Bulls,Miami Heat,1.5,-113,-1.5,-103,110,105,-7,7
12/9 9:13:25 am,Pinnacle,Chicago Bulls,Miami Heat,1.5,-110,-1.5,-106,110,105,-7,7
12/9 9:13:22 am,Pinnacle,Chicago Bulls,Miami Heat,1.5,-107,-1.5,-109,110,105,-7,7
12/9 9:13:07 am,Pinnacle,Chicago Bulls,Miami Heat,1.5,-108,-1.5,-108,110,105,-7,7
12/9 9:12:22 am,Pinnacle,Chicago Bulls,Miami Heat,-1.5,-119,1.5,-112,110,105,-7,7
12/9 9:12:10 am,Pinnacle,Chicago Bulls,Miami Heat,-1.5,-123,1.5,-108,110,105,-7,7
12/9 9:12:07 am,Pinnacle,Chicago Bulls,Miami Heat,-1.0,-125,1.0,-105,110,105,-7,7
12/9 9:11:55 am,Pinnacle,Chicago Bulls,Miami Heat,-1.0,-118,1.0,-112,110,105,-7,7
12/9 9:11:43 am,Pinnacle,Chicago Bulls,Miami Heat,1.0,-128,-1.0,-103,110,105,-7,7
12/9 9:11:31 am,Pinnacle,Chicago Bulls,Miami Heat,-1.0,-124,1.0,-107,110,105,-7,7
12/9 9:11:25 am,Pinnacle,Chicago Bulls,Miami Heat,1.0,-131,-1.0,-101,110,105,-7,7
12/9 9:11:10 am,Pinnacle,Chicago Bulls,Miami Heat,-1.5,102,1.5,-135,110,105,-7,7
12/9 9:11:04 am,Pinnacle,Chicago Bulls,Miami Heat,-1.5,-106,1.5,-125,110,105,-7,7
12/9 9:10:55 am,Pinnacle,Chicago Bulls,Miami Heat,-1.5,-114,1.5,-116,110,105,-7,7
12/9 9:08:40 am,Pinnacle,Chicago Bulls,Miami Heat,-2.0,-105,2.0,-126,110,105,-7,7
12/9 9:08:27 am,Pinnacle,Chicago Bulls,Miami Heat,-2.5,-125,2.5,-106,110,105,-7,7
12/9 9:08:16 am,Pinnacle,Chicago Bulls,Miami Heat,-2.0,-108,2.0,-122,110,105,-7,7
12/9 9:08:13 am,Pinnacle,Chicago Bulls,Miami Heat,-2.5,-114,2.5,-116,110,105,-7,7
12/9 9:08:04 am,Pinnacle,Chicago Bulls,Miami Heat,-2.5,-125,2.5,-106,110,105,-7,7
12/9 9:07:40 am,Pinnacle,Chicago Bulls,Miami Heat,-2.5,-127,2.5,-104,110,105,-7,7
12/9 9:07:37 am,Pinnacle,Chicago Bulls,Miami Heat,-2.0,-109,2.0,-121,110,105,-7,7
12/9 9:07:20 am,Pinnacle,Chicago Bulls,Miami Heat,-2.0,-110,2.0,-120,110,105,-7,7
12/9 9:07:07 am,Pinnacle,Chicago Bulls,Miami Heat,-1.5,-122,1.5,-109,110,105,-7,7
12/9 9:07:01 am,Pinnacle,Chicago Bulls,Miami Heat,-2.0,-101,2.0,-116,110,105,-7,7
12/9 9:06:58 am,Pinnacle,Chicago Bulls,Miami Heat,-2.0,100,2.0,-117,110,105,-7,7
12/9 9:06:46 am,Pinnacle,Chicago Bulls,Miami Heat,-2.0,104,2.0,-121,110,105,-7,7
12/9 9:06:34 am,Pinnacle,Chicago Bulls,Miami Heat,-2.0,109,2.0,-127,110,105,-7,7
12/9 9:06:19 am,Pinnacle,Chicago Bulls,Miami Heat,-2.0,111,2.0,-130,110,105,-7,7
12/9 9:05:25 am,Pinnacle,Chicago Bulls,Miami Heat,-2.0,-101,2.0,-116,110,105,-7,7
12/9 9:05:19 am,Pinnacle,Chicago Bulls,Miami Heat,-2.0,-104,2.0,-112,110,105,-7,7
12/9 9:05:16 am,Pinnacle,Chicago Bulls,Miami Heat,-2.0,-101,2.0,-116,110,105,-7,7
12/9 9:05:08 am,Pinnacle,Chicago Bulls,Miami Heat,-2.0,-112,2.0,-104,110,105,-7,7
12/9 9:05:01 am,Pinnacle,Chicago Bulls,Miami Heat,-2.0,-109,2.0,-107,110,105,-7,7
12/9 9:04:58 am,Pinnacle,Chicago Bulls,Miami Heat,-2.0,-107,2.0,-109,110,105,-7,7
12/9 9:04:52 am,Pinnacle,Chicago Bulls,Miami Heat,-2.0,-106,2.0,-110,110,105,-7,7
12/9 9:04:43 am,Pinnacle,Chicago Bulls,Miami Heat,-2.0,-110,2.0,-106,110,105,-7,7
12/9 9:04:01 am,Pinnacle,Chicago Bulls,Miami Heat,-2.5,-113,2.5,-117,110,105,-7,7
12/9 9:03:49 am,Pinnacle,Chicago Bulls,Miami Heat,-1.5,-123,1.5,-108,110,105,-7,7
12/9 9:03:43 am,Pinnacle,Chicago Bulls,Miami Heat,-1.5,-113,1.5,-117,110,105,-7,7
12/9 9:03:28 am,Pinnacle,Chicago Bulls,Miami Heat,-1.5,-107,1.5,-123,110,105,-7,7
12/9 9:03:25 am,Pinnacle,Chicago Bulls,Miami Heat,-1.0,-120,1.0,-110,110,105,-7,7
12/9 9:02:49 am,Pinnacle,Chicago Bulls,Miami Heat,1.0,-125,-1.0,-106,110,105,-7,7
12/9 9:02:46 am,Pinnacle,Chicago Bulls,Miami Heat,1.5,-121,-1.5,-109,110,105,-7,7
12/9 9:02:33 am,Pinnacle,Chicago Bulls,Miami Heat,1.5,-113,-1.5,-117,110,105,-7,7
12/9 9:02:31 am,Pinnacle,Chicago Bulls,Miami Heat,1.0,-104,-1.0,-127,110,105,-7,7
12/9 9:02:25 am,Pinnacle,Chicago Bulls,Miami Heat,1.0,-115,-1.0,-115,110,105,-7,7
12/9 9:02:22 am,Pinnacle,Chicago Bulls,Miami Heat,1.0,-130,-1.0,-102,110,105,-7,7
12/9 9:01:52 am,Pinnacle,Chicago Bulls,Miami Heat,1.0,-128,-1.0,-104,110,105,-7,7
12/9 9:01:46 am,Pinnacle,Chicago Bulls,Miami Heat,1.0,-131,-1.0,-101,110,105,-7,7
12/9 9:01:37 am,Pinnacle,Chicago Bulls,Miami Heat,1.5,-124,-1.5,-107,110,105,-7,7
12/9 9:01:34 am,Pinnacle,Chicago Bulls,Miami Heat,1.0,-132,-1.0,-100,110,105,-7,7
12/9 9:01:28 am,Pinnacle,Chicago Bulls,Miami Heat,1.0,-113,-1.0,-117,110,105,-7,7
12/9 9:01:13 am,Pinnacle,Chicago Bulls,Miami Heat,1.0,-123,-1.0,-107,110,105,-7,7
12/9 9:01:10 am,Pinnacle,Chicago Bulls,Miami Heat,1.0,-114,-1.0,-116,110,105,-7,7
12/9 9:00:46 am,Pinnacle,Chicago Bulls,Miami Heat,1.5,-117,-1.5,-113,110,105,-7,7
12/9 9:00:34 am,Pinnacle,Chicago Bulls,Miami Heat,2.0,-109,-2.0,-121,110,105,-7,7
12/9 9:00:31 am,Pinnacle,Chicago Bulls,Miami Heat,1.0,-101,-1.0,-131,110,105,-7,7
12/9 9:00:16 am,Pinnacle,Chicago Bulls,Miami Heat,1.0,-110,-1.0,-121,110,105,-7,7
12/9 9:00:13 am,Pinnacle,Chicago Bulls,Miami Heat,1.0,-118,-1.0,-112,110,105,-7,7
12/9 8:59:40 am,Pinnacle,Chicago Bulls,Miami Heat,1.0,-135,-1.0,102,110,105,-7,7
12/9 8:59:37 am,Pinnacle,Chicago Bulls,Miami Heat,-1.0,-124,1.0,-107,110,105,-7,7
12/9 8:59:25 am,Pinnacle,Chicago Bulls,Miami Heat,1.0,-127,-1.0,-104,110,105,-7,7
12/9 8:59:19 am,Pinnacle,Chicago Bulls,Miami Heat,1.0,-117,-1.0,-113,110,105,-7,7
12/9 8:58:46 am,Pinnacle,Chicago Bulls,Miami Heat,1.5,-125,-1.5,-106,110,105,-7,7
12/9 8:58:31 am,Pinnacle,Chicago Bulls,Miami Heat,1.5,-110,-1.5,-120,110,105,-7,7
12/9 8:58:25 am,Pinnacle,Chicago Bulls,Miami Heat,1.5,-126,-1.5,-105,110,105,-7,7
12/9 8:58:17 am,Pinnacle,Chicago Bulls,Miami Heat,2.0,-112,-2.0,-118,110,105,-7,7
12/9 8:57:52 am,Pinnacle,Chicago Bulls,Miami Heat,2.0,-113,-2.0,-117,110,105,-7,7
12/9 8:57:37 am,Pinnacle,Chicago Bulls,Miami Heat,2.0,106,-2.0,-141,110,105,-7,7
12/9 8:57:34 am,Pinnacle,Chicago Bulls,Miami Heat,2.0,-101,-2.0,-131,110,105,-7,7
12/9 8:57:16 am,Pinnacle,Chicago Bulls,Miami Heat,2.0,-114,-2.0,-116,110,105,-7,7
12/9 8:57:10 am,Pinnacle,Chicago Bulls,Miami Heat,1.0,-123,-1.0,-108,110,105,-7,7
12/9 8:57:07 am,Pinnacle,Chicago Bulls,Miami Heat,1.0,-109,-1.0,-122,110,105,-7,7
12/9 8:56:58 am,Pinnacle,Chicago Bulls,Miami Heat,1.0,-109,-1.0,-121,110,105,-7,7
12/9 8:56:43 am,Pinnacle,Chicago Bulls,Miami Heat,-1.5,-107,1.5,-123,110,105,-7,7
12/9 8:56:40 am,Pinnacle,Chicago Bulls,Miami Heat,-2.0,-118,2.0,-112,110,105,-7,7
12/9 8:56:28 am,Pinnacle,Chicago Bulls,Miami Heat,-2.0,-116,2.0,-114,110,105,-7,7
12/9 8:56:16 am,Pinnacle,Chicago Bulls,Miami Heat,-1.5,-111,1.5,-120,110,105,-7,7
12/9 8:56:07 am,Pinnacle,Chicago Bulls,Miami Heat,-1.5,-110,1.5,-120,110,105,-7,7
