Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
10/29 9:16:48 am,Pinnacle,Chicago Bulls,New York Knicks,7.0,-101,-7.0,-115,105,98,1.5,-1.5
10/29 9:16:08 am,Pinnacle,Chicago Bulls,New York Knicks,7.0,-104,-7.0,-112,105,98,1.5,-1.5
10/29 9:15:59 am,Pinnacle,Chicago Bulls,New York Knicks,7.0,-101,-7.0,-116,105,98,1.5,-1.5
10/29 9:15:50 am,Pinnacle,Chicago Bulls,New York Knicks,7.0,-108,-7.0,-108,105,98,1.5,-1.5
10/29 9:14:16 am,Pinnacle,Chicago Bulls,New York Knicks,3.0,100,-3.0,-117,105,98,1.5,-1.5
10/29 9:10:47 am,Pinnacle,Chicago Bulls,New York Knicks,10.0,-141,-10.0,128,105,98,1.5,-1.5
10/29 9:06:44 am,Pinnacle,Chicago Bulls,New York Knicks,3.5,-102,-3.5,-114,105,98,1.5,-1.5
10/29 9:06:08 am,Pinnacle,Chicago Bulls,New York Knicks,3.5,-107,-3.5,-109,105,98,1.5,-1.5
10/29 9:05:50 am,Pinnacle,Chicago Bulls,New York Knicks,3.5,-114,-3.5,-137,105,98,1.5,-1.5
10/29 9:05:42 am,Pinnacle,Chicago Bulls,New York Knicks,4.5,-132,-4.5,-118,105,98,1.5,-1.5
10/29 9:05:37 am,Pinnacle,Chicago Bulls,New York Knicks,5.5,-131,-5.5,-119,105,98,1.5,-1.5
10/29 9:05:18 am,Pinnacle,Chicago Bulls,New York Knicks,5.5,-129,-5.5,-121,105,98,1.5,-1.5
10/29 9:05:08 am,Pinnacle,Chicago Bulls,New York Knicks,7.0,-122,-7.0,-128,105,98,1.5,-1.5
10/29 9:03:28 am,Pinnacle,Chicago Bulls,New York Knicks,7.0,-123,-7.0,-127,105,98,1.5,-1.5
10/29 9:03:23 am,Pinnacle,Chicago Bulls,New York Knicks,7.0,-121,-7.0,-129,105,98,1.5,-1.5
10/29 9:02:48 am,Pinnacle,Chicago Bulls,New York Knicks,6.5,-126,-6.5,-124,105,98,1.5,-1.5
10/29 9:02:26 am,Pinnacle,Chicago Bulls,New York Knicks,6.5,-119,-6.5,-132,105,98,1.5,-1.5
10/29 9:01:54 am,Pinnacle,Chicago Bulls,New York Knicks,7.0,-121,-7.0,-129,105,98,1.5,-1.5
10/29 9:01:50 am,Pinnacle,Chicago Bulls,New York Knicks,8.0,-126,-8.0,-124,105,98,1.5,-1.5
10/29 9:01:32 am,Pinnacle,Chicago Bulls,New York Knicks,7.5,-120,-7.5,-131,105,98,1.5,-1.5
10/29 9:00:57 am,Pinnacle,Chicago Bulls,New York Knicks,7.0,-115,-7.0,-136,105,98,1.5,-1.5
10/29 9:00:48 am,Pinnacle,Chicago Bulls,New York Knicks,7.0,-116,-7.0,-135,105,98,1.5,-1.5
10/29 9:00:35 am,Pinnacle,Chicago Bulls,New York Knicks,8.5,-125,-8.5,-125,105,98,1.5,-1.5
10/29 9:00:17 am,Pinnacle,Chicago Bulls,New York Knicks,9.5,-123,-9.5,-127,105,98,1.5,-1.5
10/29 9:00:12 am,Pinnacle,Chicago Bulls,New York Knicks,9.0,-123,-9.0,-127,105,98,1.5,-1.5
10/29 8:59:54 am,Pinnacle,Chicago Bulls,New York Knicks,8.5,-123,-8.5,-127,105,98,1.5,-1.5
10/29 8:59:45 am,Pinnacle,Chicago Bulls,New York Knicks,9.5,-125,-9.5,-125,105,98,1.5,-1.5
10/29 8:59:09 am,Pinnacle,Chicago Bulls,New York Knicks,9.5,-127,-9.5,109,105,98,1.5,-1.5
10/29 8:58:51 am,Pinnacle,Chicago Bulls,New York Knicks,9.5,-110,-9.5,-106,105,98,1.5,-1.5
10/29 8:57:53 am,Pinnacle,Chicago Bulls,New York Knicks,9.5,-111,-9.5,-105,105,98,1.5,-1.5
10/29 8:57:26 am,Pinnacle,Chicago Bulls,New York Knicks,9.5,-109,-9.5,-107,105,98,1.5,-1.5
10/29 8:57:15 am,Pinnacle,Chicago Bulls,New York Knicks,9.5,-126,-9.5,-105,105,98,1.5,-1.5
