Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/24 10:02:21 am,Pinnacle,Chicago Bulls,Orlando Magic,-7.0,103,7.0,-120,103,95,-5,5
12/24 10:02:09 am,Pinnacle,Chicago Bulls,Orlando Magic,-7.0,101,7.0,-118,103,95,-5,5
12/24 10:01:28 am,Pinnacle,Chicago Bulls,Orlando Magic,-7.0,-101,7.0,-116,103,95,-5,5
12/24 10:01:24 am,Pinnacle,Chicago Bulls,Orlando Magic,-7.0,-108,7.0,-108,103,95,-5,5
12/24 9:58:40 am,Pinnacle,Chicago Bulls,Orlando Magic,-7.0,-105,7.0,-126,103,95,-5,5
12/24 9:58:33 am,Pinnacle,Chicago Bulls,Orlando Magic,-6.0,-110,6.0,-120,103,95,-5,5
12/24 9:58:24 am,Pinnacle,Chicago Bulls,Orlando Magic,-7.0,-105,7.0,-126,103,95,-5,5
12/24 9:58:15 am,Pinnacle,Chicago Bulls,Orlando Magic,-7.0,-115,7.0,-115,103,95,-5,5
12/24 9:58:07 am,Pinnacle,Chicago Bulls,Orlando Magic,-7.0,-109,7.0,-121,103,95,-5,5
12/24 9:57:49 am,Pinnacle,Chicago Bulls,Orlando Magic,-7.0,-104,7.0,-128,103,95,-5,5
12/24 9:57:36 am,Pinnacle,Chicago Bulls,Orlando Magic,-7.0,-101,7.0,-131,103,95,-5,5
12/24 9:56:58 am,Pinnacle,Chicago Bulls,Orlando Magic,-7.0,104,7.0,-138,103,95,-5,5
12/24 9:56:27 am,Pinnacle,Chicago Bulls,Orlando Magic,-6.0,-112,6.0,-118,103,95,-5,5
12/24 9:56:52 am,Pinnacle,Chicago Bulls,Orlando Magic,-7.0,-106,7.0,-125,103,95,-5,5
12/24 9:56:12 am,Pinnacle,Chicago Bulls,Orlando Magic,-7.0,-107,7.0,-123,103,95,-5,5
12/24 9:55:52 am,Pinnacle,Chicago Bulls,Orlando Magic,-6.0,-114,6.0,-116,103,95,-5,5
12/24 9:55:48 am,Pinnacle,Chicago Bulls,Orlando Magic,-4.0,-142,4.0,107,103,95,-5,5
12/24 9:55:43 am,Pinnacle,Chicago Bulls,Orlando Magic,-4.0,-125,4.0,-106,103,95,-5,5
12/24 9:54:57 am,Pinnacle,Chicago Bulls,Orlando Magic,-3.5,-113,3.5,-117,103,95,-5,5
12/24 9:54:37 am,Pinnacle,Chicago Bulls,Orlando Magic,-4.0,-125,4.0,-106,103,95,-5,5
12/24 9:54:25 am,Pinnacle,Chicago Bulls,Orlando Magic,-4.5,-107,4.5,-124,103,95,-5,5
12/24 9:54:12 am,Pinnacle,Chicago Bulls,Orlando Magic,-6.0,-119,6.0,-111,103,95,-5,5
12/24 9:54:04 am,Pinnacle,Chicago Bulls,Orlando Magic,-6.0,-115,6.0,-115,103,95,-5,5
