Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/24 10:11:19 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-2.5,-113,2.5,-104,115,116,2,-2
11/24 10:11:07 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-2.5,-108,2.5,-108,115,116,2,-2
11/24 10:11:04 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-2.5,-107,2.5,-109,115,116,2,-2
11/24 10:10:52 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-2.5,-109,2.5,-107,115,116,2,-2
11/24 10:10:13 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-2.5,-108,2.5,-108,115,116,2,-2
11/24 10:07:58 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-6.0,-122,6.0,-109,115,116,2,-2
11/24 10:07:52 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-6.0,-121,6.0,-109,115,116,2,-2
11/24 10:07:46 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-7.0,-105,7.0,-127,115,116,2,-2
11/24 10:07:40 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-7.0,-112,7.0,-118,115,116,2,-2
11/24 10:07:34 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-7.0,-109,7.0,-122,115,116,2,-2
11/24 10:07:28 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-6.0,-150,6.0,113,115,116,2,-2
11/24 10:07:22 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-6.0,-125,6.0,-106,115,116,2,-2
11/24 10:07:16 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-6.0,-119,6.0,-111,115,116,2,-2
11/24 10:07:10 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-6.0,-118,6.0,-112,115,116,2,-2
11/24 10:07:07 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-7.5,-118,7.5,-112,115,116,2,-2
11/24 10:06:55 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-7.5,-115,7.5,-115,115,116,2,-2
11/24 10:06:46 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-7.5,-118,7.5,-112,115,116,2,-2
11/24 10:06:43 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-8.5,-112,8.5,-118,115,116,2,-2
11/24 10:06:40 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-7.5,-109,7.5,-121,115,116,2,-2
11/24 10:06:37 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-7.5,-105,7.5,-126,115,116,2,-2
11/24 10:06:22 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-7.0,103,7.0,-137,115,116,2,-2
11/24 10:06:07 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-7.0,-105,7.0,-126,115,116,2,-2
11/24 10:06:04 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-6.0,-120,6.0,-110,115,116,2,-2
11/24 10:05:55 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-6.0,-115,6.0,-115,115,116,2,-2
11/24 10:05:52 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-6.0,-114,6.0,-116,115,116,2,-2
11/24 10:05:46 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-7.0,-116,7.0,-114,115,116,2,-2
11/24 10:05:32 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-7.0,-104,7.0,-127,115,116,2,-2
11/24 10:05:28 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-5.0,-117,5.0,-113,115,116,2,-2
11/24 10:05:10 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-5.0,-112,5.0,-118,115,116,2,-2
11/24 10:04:04 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-4.5,-125,4.5,107,115,116,2,-2
11/24 10:03:28 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-4.5,-123,4.5,105,115,116,2,-2
11/24 10:03:25 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-4.5,-118,4.5,101,115,116,2,-2
11/24 10:03:22 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-4.5,-117,4.5,100,115,116,2,-2
11/24 10:03:19 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-4.5,-112,4.5,-104,115,116,2,-2
11/24 10:03:14 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-4.5,-111,4.5,-105,115,116,2,-2
11/24 10:03:10 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-4.5,-106,4.5,-110,115,116,2,-2
11/24 10:01:27 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-6.0,-116,6.0,-114,115,116,2,-2
11/24 10:01:22 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-6.0,-117,6.0,-113,115,116,2,-2
11/24 10:01:13 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-5.0,-120,5.0,-110,115,116,2,-2
11/24 10:01:10 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-5.0,-118,5.0,-112,115,116,2,-2
11/24 10:01:07 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-5.0,-117,5.0,-113,115,116,2,-2
11/24 10:00:52 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-6.0,-112,6.0,-118,115,116,2,-2
11/24 10:00:49 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-6.0,-115,6.0,-115,115,116,2,-2
11/24 10:00:46 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-5.0,-146,5.0,110,115,116,2,-2
11/24 10:00:44 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-5.0,-119,5.0,-111,115,116,2,-2
11/24 10:00:25 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-5.0,-115,5.0,-115,115,116,2,-2
11/24 10:00:11 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-7.0,-107,7.0,-124,115,116,2,-2
11/24 10:00:07 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-7.5,-120,7.5,-110,115,116,2,-2
11/24 10:00:01 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-7.5,-126,7.5,-105,115,116,2,-2
11/24 9:59:52 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-7.5,-120,7.5,-110,115,116,2,-2
11/24 9:59:46 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-7.5,-115,7.5,-115,115,116,2,-2
11/24 9:59:43 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-8.0,-124,8.0,-106,115,116,2,-2
11/24 9:59:37 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-8.0,-123,8.0,-108,115,116,2,-2
11/24 9:59:04 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-8.0,-123,8.0,-107,115,116,2,-2
11/24 9:58:58 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-8.0,-122,8.0,-108,115,116,2,-2
11/24 9:58:54 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-7.5,-119,7.5,-111,115,116,2,-2
11/24 9:58:46 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-7.5,-115,7.5,-115,115,116,2,-2
11/24 9:58:43 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-7.5,-114,7.5,-116,115,116,2,-2
11/24 9:58:40 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-9.0,-115,9.0,-115,115,116,2,-2
11/24 9:58:13 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-9.0,-113,9.0,-117,115,116,2,-2
11/24 9:57:43 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-8.0,-106,8.0,-110,115,116,2,-2
11/24 9:57:37 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-8.0,-105,8.0,-111,115,116,2,-2
11/24 9:56:07 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-8.0,-108,8.0,-108,115,116,2,-2
11/24 9:55:58 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-8.0,-109,8.0,-107,115,116,2,-2
11/24 9:55:40 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-8.0,-113,8.0,-104,115,116,2,-2
11/24 9:55:23 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-8.0,-112,8.0,-105,115,116,2,-2
11/24 9:54:49 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-8.0,-121,8.0,-110,115,116,2,-2
11/24 9:54:47 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-8.5,-113,8.5,-117,115,116,2,-2
11/24 9:54:43 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-7.0,-120,7.0,-110,115,116,2,-2
11/24 9:54:29 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-6.5,-120,6.5,-110,115,116,2,-2
11/24 9:54:25 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-6.5,-121,6.5,-110,115,116,2,-2
11/24 9:54:13 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-5.5,-117,5.5,-113,115,116,2,-2
11/24 9:54:10 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-5.0,-119,5.0,-112,115,116,2,-2
11/24 9:54:07 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-4.5,-125,4.5,-106,115,116,2,-2
11/24 9:53:58 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-4.5,-119,4.5,-112,115,116,2,-2
11/24 9:53:49 am,Pinnacle,Chicago Bulls,Philadelphia 76ers,-4.5,-118,4.5,-113,115,116,2,-2
