Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/3 1:23:30 pm,Pinnacle,Chicago Bulls,Sacramento Kings,6.5,170,-6.5,-201,106,113,-5.5,5.5
12/3 1:23:24 pm,Pinnacle,Chicago Bulls,Sacramento Kings,6.5,169,-6.5,-200,106,113,-5.5,5.5
12/3 1:23:15 pm,Pinnacle,Chicago Bulls,Sacramento Kings,6.5,165,-6.5,-195,106,113,-5.5,5.5
12/3 1:23:12 pm,Pinnacle,Chicago Bulls,Sacramento Kings,6.5,166,-6.5,-197,106,113,-5.5,5.5
12/3 1:23:03 pm,Pinnacle,Chicago Bulls,Sacramento Kings,6.5,169,-6.5,-200,106,113,-5.5,5.5
12/3 1:22:51 pm,Pinnacle,Chicago Bulls,Sacramento Kings,6.5,170,-6.5,-201,106,113,-5.5,5.5
12/3 1:22:48 pm,Pinnacle,Chicago Bulls,Sacramento Kings,6.5,165,-6.5,-195,106,113,-5.5,5.5
12/3 1:22:42 pm,Pinnacle,Chicago Bulls,Sacramento Kings,6.5,150,-6.5,-177,106,113,-5.5,5.5
12/3 1:22:36 pm,Pinnacle,Chicago Bulls,Sacramento Kings,6.5,146,-6.5,-171,106,113,-5.5,5.5
12/3 1:22:33 pm,Pinnacle,Chicago Bulls,Sacramento Kings,6.5,128,-6.5,-150,106,113,-5.5,5.5
12/3 1:18:39 pm,Pinnacle,Chicago Bulls,Sacramento Kings,4.5,-104,-4.5,-112,106,113,-5.5,5.5
12/3 1:18:30 pm,Pinnacle,Chicago Bulls,Sacramento Kings,4.5,-106,-4.5,-110,106,113,-5.5,5.5
12/3 1:18:18 pm,Pinnacle,Chicago Bulls,Sacramento Kings,4.5,-109,-4.5,-107,106,113,-5.5,5.5
12/3 1:18:15 pm,Pinnacle,Chicago Bulls,Sacramento Kings,4.5,-117,-4.5,100,106,113,-5.5,5.5
12/3 1:18:12 pm,Pinnacle,Chicago Bulls,Sacramento Kings,4.5,-111,-4.5,-105,106,113,-5.5,5.5
12/3 1:18:09 pm,Pinnacle,Chicago Bulls,Sacramento Kings,4.5,-109,-4.5,-107,106,113,-5.5,5.5
12/3 1:18:04 pm,Pinnacle,Chicago Bulls,Sacramento Kings,4.5,-108,-4.5,-108,106,113,-5.5,5.5
12/3 1:17:57 pm,Pinnacle,Chicago Bulls,Sacramento Kings,4.5,-111,-4.5,-105,106,113,-5.5,5.5
12/3 1:17:51 pm,Pinnacle,Chicago Bulls,Sacramento Kings,4.5,-120,-4.5,103,106,113,-5.5,5.5
12/3 1:17:50 pm,Pinnacle,Chicago Bulls,Sacramento Kings,4.5,-118,-4.5,101,106,113,-5.5,5.5
12/3 1:17:49 pm,Pinnacle,Chicago Bulls,Sacramento Kings,4.5,-113,-4.5,-103,106,113,-5.5,5.5
12/3 1:17:49 pm,Pinnacle,Chicago Bulls,Sacramento Kings,4.5,-118,-4.5,101,106,113,-5.5,5.5
12/3 1:17:39 pm,Pinnacle,Chicago Bulls,Sacramento Kings,4.5,-113,-4.5,-103,106,113,-5.5,5.5
12/3 1:17:38 pm,Pinnacle,Chicago Bulls,Sacramento Kings,4.5,-112,-4.5,-104,106,113,-5.5,5.5
12/3 1:13:47 pm,Pinnacle,Chicago Bulls,Sacramento Kings,2.5,120,-2.5,-141,106,113,-5.5,5.5
12/3 1:13:34 pm,Pinnacle,Chicago Bulls,Sacramento Kings,2.5,119,-2.5,-139,106,113,-5.5,5.5
12/3 1:13:28 pm,Pinnacle,Chicago Bulls,Sacramento Kings,2.5,118,-2.5,-138,106,113,-5.5,5.5
12/3 1:13:16 pm,Pinnacle,Chicago Bulls,Sacramento Kings,2.5,115,-2.5,-134,106,113,-5.5,5.5
12/3 1:13:10 pm,Pinnacle,Chicago Bulls,Sacramento Kings,2.5,117,-2.5,-137,106,113,-5.5,5.5
12/3 1:13:07 pm,Pinnacle,Chicago Bulls,Sacramento Kings,2.5,115,-2.5,-134,106,113,-5.5,5.5
12/3 1:12:58 pm,Pinnacle,Chicago Bulls,Sacramento Kings,2.5,-101,-2.5,-116,106,113,-5.5,5.5
12/3 1:09:16 pm,Pinnacle,Chicago Bulls,Sacramento Kings,2.5,113,-2.5,-132,106,113,-5.5,5.5
12/3 1:09:04 pm,Pinnacle,Chicago Bulls,Sacramento Kings,2.5,115,-2.5,-135,106,113,-5.5,5.5
12/3 1:09:02 pm,Pinnacle,Chicago Bulls,Sacramento Kings,2.5,115,-2.5,-134,106,113,-5.5,5.5
12/3 1:08:47 pm,Pinnacle,Chicago Bulls,Sacramento Kings,2.5,114,-2.5,-133,106,113,-5.5,5.5
12/3 1:08:40 pm,Pinnacle,Chicago Bulls,Sacramento Kings,2.5,102,-2.5,-120,106,113,-5.5,5.5
