Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/12 10:03:21 am,Pinnacle,Chicago Bulls,Washington Wizards,-8.5,-101,8.5,-116,126,114,-3,3
2/12 10:02:40 am,Pinnacle,Chicago Bulls,Washington Wizards,-8.5,-103,8.5,-113,126,114,-3,3
2/12 10:02:38 am,Pinnacle,Chicago Bulls,Washington Wizards,-8.5,-101,8.5,-116,126,114,-3,3
2/12 10:02:22 am,Pinnacle,Chicago Bulls,Washington Wizards,-8.5,-107,8.5,-109,126,114,-3,3
2/12 10:02:11 am,Pinnacle,Chicago Bulls,Washington Wizards,-8.5,-108,8.5,-108,126,114,-3,3
2/12 9:59:59 am,Pinnacle,Chicago Bulls,Washington Wizards,-8.0,-122,8.0,-108,126,114,-3,3
2/12 9:59:56 am,Pinnacle,Chicago Bulls,Washington Wizards,-8.0,-120,8.0,-111,126,114,-3,3
2/12 9:59:53 am,Pinnacle,Chicago Bulls,Washington Wizards,-8.0,-113,8.0,-117,126,114,-3,3
2/12 9:59:47 am,Pinnacle,Chicago Bulls,Washington Wizards,-8.0,-113,8.0,-117,126,114,-3,3
2/12 9:59:45 am,Pinnacle,Chicago Bulls,Washington Wizards,-7.0,-127,7.0,-104,126,114,-3,3
2/12 9:59:40 am,Pinnacle,Chicago Bulls,Washington Wizards,-7.0,-118,7.0,-112,126,114,-3,3
2/12 9:59:32 am,Pinnacle,Chicago Bulls,Washington Wizards,-7.0,-113,7.0,-117,126,114,-3,3
2/12 9:59:15 am,Pinnacle,Chicago Bulls,Washington Wizards,-8.0,-111,8.0,-119,126,114,-3,3
2/12 9:58:02 am,Pinnacle,Chicago Bulls,Washington Wizards,-8.0,-105,8.0,-111,126,114,-3,3
2/12 9:57:43 am,Pinnacle,Chicago Bulls,Washington Wizards,-8.0,-110,8.0,-106,126,114,-3,3
2/12 9:57:32 am,Pinnacle,Chicago Bulls,Washington Wizards,-8.0,-109,8.0,-107,126,114,-3,3
2/12 9:57:03 am,Pinnacle,Chicago Bulls,Washington Wizards,-8.0,-115,8.0,-102,126,114,-3,3
2/12 9:56:52 am,Pinnacle,Chicago Bulls,Washington Wizards,-8.0,-113,8.0,-103,126,114,-3,3
2/12 9:56:32 am,Pinnacle,Chicago Bulls,Washington Wizards,-8.0,-104,8.0,-112,126,114,-3,3
2/12 9:56:20 am,Pinnacle,Chicago Bulls,Washington Wizards,-8.0,-111,8.0,-119,126,114,-3,3
2/12 9:56:16 am,Pinnacle,Chicago Bulls,Washington Wizards,-9.0,-120,9.0,-110,126,114,-3,3
2/12 9:56:14 am,Pinnacle,Chicago Bulls,Washington Wizards,-9.0,-122,9.0,-109,126,114,-3,3
2/12 9:55:55 am,Pinnacle,Chicago Bulls,Washington Wizards,-10.0,-119,10.0,-111,126,114,-3,3
2/12 9:55:46 am,Pinnacle,Chicago Bulls,Washington Wizards,-10.5,-119,10.5,-112,126,114,-3,3
2/12 9:55:42 am,Pinnacle,Chicago Bulls,Washington Wizards,-10.5,-118,10.5,-112,126,114,-3,3
2/12 9:55:28 am,Pinnacle,Chicago Bulls,Washington Wizards,-10.5,-118,10.5,-112,126,114,-3,3
2/12 9:55:21 am,Pinnacle,Chicago Bulls,Washington Wizards,-10.5,-122,10.5,-109,126,114,-3,3
2/12 9:55:17 am,Pinnacle,Chicago Bulls,Washington Wizards,-11.0,-107,11.0,-123,126,114,-3,3
2/12 9:55:13 am,Pinnacle,Chicago Bulls,Washington Wizards,-12.0,-101,12.0,-131,126,114,-3,3
2/12 9:55:02 am,Pinnacle,Chicago Bulls,Washington Wizards,-12.0,-109,12.0,-121,126,114,-3,3
2/12 9:54:43 am,Pinnacle,Chicago Bulls,Washington Wizards,-12.0,-109,12.0,-122,126,114,-3,3
2/12 9:54:40 am,Pinnacle,Chicago Bulls,Washington Wizards,-11.5,-122,11.5,-108,126,114,-3,3
2/12 9:54:37 am,Pinnacle,Chicago Bulls,Washington Wizards,-11.5,-122,11.5,-108,126,114,-3,3
2/12 9:54:33 am,Pinnacle,Chicago Bulls,Washington Wizards,-11.5,-123,11.5,-108,126,114,-3,3
2/12 9:54:29 am,Pinnacle,Chicago Bulls,Washington Wizards,-10.5,-121,10.5,-110,126,114,-3,3
2/12 9:54:15 am,Pinnacle,Chicago Bulls,Washington Wizards,-12.0,108,12.0,-143,126,114,-3,3
2/12 9:54:12 am,Pinnacle,Chicago Bulls,Washington Wizards,-12.0,-113,12.0,-117,126,114,-3,3
2/12 9:54:02 am,Pinnacle,Chicago Bulls,Washington Wizards,-12.5,-117,12.5,-114,126,114,-3,3
2/12 9:53:52 am,Pinnacle,Chicago Bulls,Washington Wizards,-13.5,-119,13.5,-111,126,114,-3,3
2/12 9:53:49 am,Pinnacle,Chicago Bulls,Washington Wizards,-12.5,-115,12.5,-115,126,114,-3,3
2/12 9:53:48 am,Pinnacle,Chicago Bulls,Washington Wizards,-12.5,-122,12.5,-108,126,114,-3,3
2/12 9:53:30 am,Pinnacle,Chicago Bulls,Washington Wizards,-12.5,-114,12.5,-116,126,114,-3,3
2/12 9:53:25 am,Pinnacle,Chicago Bulls,Washington Wizards,-12.5,-114,12.5,-116,126,114,-3,3
2/12 9:53:19 am,Pinnacle,Chicago Bulls,Washington Wizards,-13.5,-116,13.5,-114,126,114,-3,3
2/12 9:51:49 am,Pinnacle,Chicago Bulls,Washington Wizards,-13.5,-110,13.5,-106,126,114,-3,3
2/12 9:51:20 am,Pinnacle,Chicago Bulls,Washington Wizards,-13.5,-113,13.5,-103,126,114,-3,3
2/12 9:51:11 am,Pinnacle,Chicago Bulls,Washington Wizards,-13.5,-114,13.5,-103,126,114,-3,3
2/12 9:51:09 am,Pinnacle,Chicago Bulls,Washington Wizards,-13.5,-109,13.5,-107,126,114,-3,3
2/12 9:51:08 am,Pinnacle,Chicago Bulls,Washington Wizards,-13.5,-114,13.5,-103,126,114,-3,3
2/12 9:51:04 am,Pinnacle,Chicago Bulls,Washington Wizards,-13.5,-109,13.5,-107,126,114,-3,3
2/12 9:50:21 am,Pinnacle,Chicago Bulls,Washington Wizards,-13.5,-109,13.5,-107,126,114,-3,3
2/12 9:50:14 am,Pinnacle,Chicago Bulls,Washington Wizards,-13.5,-116,13.5,-114,126,114,-3,3
2/12 9:50:11 am,Pinnacle,Chicago Bulls,Washington Wizards,-14.0,-119,14.0,-112,126,114,-3,3
2/12 9:50:09 am,Pinnacle,Chicago Bulls,Washington Wizards,-14.0,-120,14.0,-110,126,114,-3,3
2/12 9:50:04 am,Pinnacle,Chicago Bulls,Washington Wizards,-15.5,-112,15.5,-118,126,114,-3,3
2/12 9:49:52 am,Pinnacle,Chicago Bulls,Washington Wizards,-15.5,-107,15.5,-124,126,114,-3,3
2/12 9:49:28 am,Pinnacle,Chicago Bulls,Washington Wizards,-14.5,-111,14.5,-119,126,114,-3,3
2/12 9:49:16 am,Pinnacle,Chicago Bulls,Washington Wizards,-15.5,-116,15.5,-114,126,114,-3,3
