Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/23 11:29:57 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-35.5,-105,35.5,-126,143,101,-10,10
11/23 11:29:52 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-35.0,-127,35.0,-105,143,101,-10,10
11/23 11:29:45 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-36.0,-118,36.0,-112,143,101,-10,10
11/23 11:29:38 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-36.0,-117,36.0,-113,143,101,-10,10
11/23 11:29:33 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-35.5,-106,35.5,-124,143,101,-10,10
11/23 11:29:24 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-34.0,-128,34.0,-103,143,101,-10,10
11/23 11:29:18 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-34.0,-120,34.0,-110,143,101,-10,10
11/23 11:29:12 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-34.0,-119,34.0,-111,143,101,-10,10
11/23 11:29:09 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-34.5,-109,34.5,-122,143,101,-10,10
11/23 11:29:07 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-32.5,-109,32.5,-122,143,101,-10,10
11/23 11:28:58 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-32.5,-109,32.5,-121,143,101,-10,10
11/23 11:28:52 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-34.0,-120,34.0,-111,143,101,-10,10
11/23 11:28:49 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-35.0,-120,35.0,-111,143,101,-10,10
11/23 11:28:40 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-35.0,-125,35.0,-106,143,101,-10,10
11/23 11:27:54 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-35.5,109,35.5,-127,143,101,-10,10
11/23 11:27:06 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-35.5,112,35.5,-130,143,101,-10,10
11/23 11:26:28 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-35.5,-102,35.5,-114,143,101,-10,10
11/23 11:26:22 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-35.5,-104,35.5,-112,143,101,-10,10
11/23 11:26:01 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-35.5,-105,35.5,-111,143,101,-10,10
11/23 11:25:36 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-35.0,-123,35.0,-107,143,101,-10,10
11/23 11:25:34 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-36.0,-117,36.0,-113,143,101,-10,10
11/23 11:25:30 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-36.5,-122,36.5,-108,143,101,-10,10
11/23 11:25:25 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-37.0,-122,37.0,-108,143,101,-10,10
11/23 11:25:15 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-36.0,-109,36.0,-121,143,101,-10,10
11/23 11:25:13 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-36.0,-115,36.0,-115,143,101,-10,10
11/23 11:25:07 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-36.0,-116,36.0,-114,143,101,-10,10
11/23 11:24:55 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-35.0,-121,35.0,-109,143,101,-10,10
11/23 11:24:52 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-34.0,-115,34.0,-115,143,101,-10,10
11/23 11:24:48 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-34.0,-117,34.0,-113,143,101,-10,10
11/23 11:24:45 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-32.5,-120,32.5,-110,143,101,-10,10
11/23 11:24:18 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-32.5,-110,32.5,-121,143,101,-10,10
11/23 11:24:10 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-32.5,-111,32.5,-119,143,101,-10,10
11/23 11:23:30 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-32.5,-106,32.5,-125,143,101,-10,10
11/23 11:23:22 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-32.5,-109,32.5,-121,143,101,-10,10
11/23 11:23:20 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-32.5,-108,32.5,-122,143,101,-10,10
11/23 11:23:13 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-33.0,-121,33.0,-109,143,101,-10,10
11/23 11:22:45 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-34.5,-102,34.5,-130,143,101,-10,10
11/23 11:22:44 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-34.5,-104,34.5,-128,143,101,-10,10
11/23 11:22:39 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-34.5,-110,34.5,-121,143,101,-10,10
11/23 11:22:33 am,Pinnacle,Cleveland Cavaliers,Dallas Mavericks,-34.5,-112,34.5,-118,143,101,-10,10
