Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/15 1:34:10 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,-101,28.5,-115,128,103,-15.5,15.5
1/15 1:33:28 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,107,28.5,-125,128,103,-15.5,15.5
1/15 1:33:13 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,107,28.5,-124,128,103,-15.5,15.5
1/15 1:33:07 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,111,28.5,-130,128,103,-15.5,15.5
1/15 1:33:01 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,107,28.5,-125,128,103,-15.5,15.5
1/15 1:32:16 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,106,28.5,-124,128,103,-15.5,15.5
1/15 1:31:49 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,107,28.5,-125,128,103,-15.5,15.5
1/15 1:28:04 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-27.5,-117,27.5,-113,128,103,-15.5,15.5
1/15 1:28:01 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-26.5,-113,26.5,-117,128,103,-15.5,15.5
1/15 1:27:48 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.0,-111,28.0,-119,128,103,-15.5,15.5
1/15 1:27:22 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.0,-119,28.0,-111,128,103,-15.5,15.5
1/15 1:27:13 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,-111,28.5,-119,128,103,-15.5,15.5
1/15 1:27:01 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-29.5,-112,29.5,-118,128,103,-15.5,15.5
1/15 1:26:55 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-29.5,-113,29.5,-117,128,103,-15.5,15.5
1/15 1:26:46 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-30.5,-107,30.5,-123,128,103,-15.5,15.5
1/15 1:25:53 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,-111,28.5,-120,128,103,-15.5,15.5
1/15 1:25:46 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,-112,28.5,-118,128,103,-15.5,15.5
1/15 1:25:37 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,-115,28.5,-115,128,103,-15.5,15.5
1/15 1:25:23 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,138,28.5,-161,128,103,-15.5,15.5
1/15 1:25:01 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,133,28.5,-156,128,103,-15.5,15.5
1/15 1:24:53 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,129,28.5,-151,128,103,-15.5,15.5
1/15 1:24:43 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,125,28.5,-146,128,103,-15.5,15.5
1/15 1:24:38 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,128,28.5,-150,128,103,-15.5,15.5
1/15 1:24:28 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,131,28.5,-153,128,103,-15.5,15.5
1/15 1:24:25 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,140,28.5,-165,128,103,-15.5,15.5
1/15 1:24:07 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,137,28.5,-161,128,103,-15.5,15.5
1/15 1:23:38 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,136,28.5,-160,128,103,-15.5,15.5
1/15 1:23:31 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,135,28.5,-159,128,103,-15.5,15.5
1/15 1:23:23 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,132,28.5,-155,128,103,-15.5,15.5
1/15 1:23:16 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,103,28.5,-120,128,103,-15.5,15.5
1/15 1:23:13 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,101,28.5,-118,128,103,-15.5,15.5
1/15 1:23:11 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,-102,28.5,-114,128,103,-15.5,15.5
1/15 1:23:04 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,-108,28.5,-108,128,103,-15.5,15.5
1/15 1:22:40 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,-111,28.5,-120,128,103,-15.5,15.5
1/15 1:22:37 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,-113,28.5,-117,128,103,-15.5,15.5
1/15 1:22:34 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.0,-107,28.0,-123,128,103,-15.5,15.5
1/15 1:22:31 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-27.5,-106,27.5,-125,128,103,-15.5,15.5
1/15 1:22:25 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-27.5,-107,27.5,-123,128,103,-15.5,15.5
1/15 1:22:24 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,116,28.5,-154,128,103,-15.5,15.5
1/15 1:22:23 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,-103,28.5,-129,128,103,-15.5,15.5
1/15 1:22:22 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,116,28.5,-154,128,103,-15.5,15.5
1/15 1:22:19 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,-103,28.5,-129,128,103,-15.5,15.5
1/15 1:22:16 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,-109,28.5,-121,128,103,-15.5,15.5
1/15 1:22:10 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-28.5,-115,28.5,-115,128,103,-15.5,15.5
1/15 1:22:08 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-29.0,-115,29.0,-115,128,103,-15.5,15.5
1/15 1:22:05 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-29.0,-124,29.0,-107,128,103,-15.5,15.5
1/15 1:22:01 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-29.0,-118,29.0,-113,128,103,-15.5,15.5
1/15 1:21:52 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-29.0,-119,29.0,-111,128,103,-15.5,15.5
1/15 1:21:46 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-29.0,-122,29.0,-108,128,103,-15.5,15.5
1/15 1:21:28 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-29.5,103,29.5,-136,128,103,-15.5,15.5
1/15 1:21:19 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-29.5,-107,29.5,-124,128,103,-15.5,15.5
1/15 1:21:16 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-30.5,-107,30.5,-124,128,103,-15.5,15.5
1/15 1:21:13 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-30.5,-109,30.5,-121,128,103,-15.5,15.5
1/15 1:21:07 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-30.5,-110,30.5,-120,128,103,-15.5,15.5
1/15 1:20:58 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-31.0,-119,31.0,-111,128,103,-15.5,15.5
1/15 1:20:55 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-32.0,-119,32.0,-111,128,103,-15.5,15.5
1/15 1:20:49 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-32.0,-123,32.0,-107,128,103,-15.5,15.5
1/15 1:20:37 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-31.0,-120,31.0,-110,128,103,-15.5,15.5
1/15 1:20:23 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-31.0,106,31.0,-141,128,103,-15.5,15.5
1/15 1:20:16 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-31.0,-120,31.0,-110,128,103,-15.5,15.5
1/15 1:20:10 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-32.5,117,32.5,-156,128,103,-15.5,15.5
1/15 1:20:07 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-32.5,-102,32.5,-130,128,103,-15.5,15.5
1/15 1:19:58 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-32.5,-109,32.5,-121,128,103,-15.5,15.5
1/15 1:19:55 pm,Pinnacle,Cleveland Cavaliers,Los Angeles Clippers,-33.0,112,33.0,-149,128,103,-15.5,15.5
