Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/18 11:26:05 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-3.5,-213,3.5,179,113,109,-9.5,9.5
1/18 11:25:45 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-3.5,-210,3.5,177,113,109,-9.5,9.5
1/18 11:23:17 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,0.0,-2800,0.0,1271,113,109,-9.5,9.5
1/18 11:14:47 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-9.0,107,9.0,-125,113,109,-9.5,9.5
1/18 11:14:35 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-9.0,100,9.0,-117,113,109,-9.5,9.5
1/18 11:14:24 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-9.0,101,9.0,-118,113,109,-9.5,9.5
1/18 11:14:03 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-9.0,-101,9.0,-116,113,109,-9.5,9.5
1/18 11:09:14 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.0,-104,8.0,-127,113,109,-9.5,9.5
1/18 11:09:12 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.5,-113,8.5,-117,113,109,-9.5,9.5
1/18 11:09:08 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.5,-109,8.5,-121,113,109,-9.5,9.5
1/18 11:09:06 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.5,-115,8.5,-115,113,109,-9.5,9.5
1/18 11:09:01 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.5,-108,8.5,-108,113,109,-9.5,9.5
1/18 11:08:59 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.0,-123,8.0,106,113,109,-9.5,9.5
1/18 11:08:56 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.5,-108,8.5,-108,113,109,-9.5,9.5
1/18 11:08:54 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.0,-123,8.0,106,113,109,-9.5,9.5
1/18 11:08:52 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.5,-108,8.5,-108,113,109,-9.5,9.5
1/18 11:08:49 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.0,-123,8.0,106,113,109,-9.5,9.5
1/18 11:08:47 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.5,-108,8.5,-108,113,109,-9.5,9.5
1/18 11:08:42 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.0,-123,8.0,106,113,109,-9.5,9.5
1/18 11:08:36 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.5,-108,8.5,-108,113,109,-9.5,9.5
1/18 11:08:35 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.0,-123,8.0,106,113,109,-9.5,9.5
1/18 11:08:34 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.5,-108,8.5,-108,113,109,-9.5,9.5
1/18 11:08:33 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.0,-123,8.0,106,113,109,-9.5,9.5
1/18 11:08:32 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.5,-108,8.5,-108,113,109,-9.5,9.5
1/18 11:08:30 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.0,-123,8.0,106,113,109,-9.5,9.5
1/18 11:08:28 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.5,-108,8.5,-108,113,109,-9.5,9.5
1/18 11:08:26 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.0,-123,8.0,106,113,109,-9.5,9.5
1/18 11:08:25 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.5,-108,8.5,-108,113,109,-9.5,9.5
1/18 11:08:23 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.0,-123,8.0,106,113,109,-9.5,9.5
1/18 11:08:22 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.5,-108,8.5,-108,113,109,-9.5,9.5
1/18 11:08:18 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.0,-123,8.0,106,113,109,-9.5,9.5
1/18 11:08:17 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.5,-108,8.5,-108,113,109,-9.5,9.5
1/18 11:08:16 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.0,-123,8.0,106,113,109,-9.5,9.5
1/18 11:08:14 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.5,-108,8.5,-108,113,109,-9.5,9.5
1/18 11:08:13 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.0,-121,8.0,104,113,109,-9.5,9.5
1/18 11:08:08 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.5,-108,8.5,-108,113,109,-9.5,9.5
1/18 11:08:07 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.0,-121,8.0,104,113,109,-9.5,9.5
1/18 11:08:05 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.0,-121,8.0,104,113,109,-9.5,9.5
1/18 11:08:01 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.5,-108,8.5,-108,113,109,-9.5,9.5
1/18 11:07:57 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.0,-123,8.0,106,113,109,-9.5,9.5
1/18 11:07:56 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.5,-108,8.5,-108,113,109,-9.5,9.5
1/18 11:07:55 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.0,-123,8.0,106,113,109,-9.5,9.5
1/18 11:07:53 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.5,-108,8.5,-108,113,109,-9.5,9.5
1/18 11:07:49 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.0,-123,8.0,106,113,109,-9.5,9.5
1/18 11:07:47 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.5,-108,8.5,-108,113,109,-9.5,9.5
1/18 11:07:46 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.0,-123,8.0,106,113,109,-9.5,9.5
1/18 11:07:39 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.5,-108,8.5,-108,113,109,-9.5,9.5
1/18 11:07:37 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.0,-123,8.0,106,113,109,-9.5,9.5
1/18 11:07:36 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.5,-108,8.5,-108,113,109,-9.5,9.5
1/18 11:07:32 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.0,-123,8.0,106,113,109,-9.5,9.5
1/18 11:07:26 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.5,-108,8.5,-108,113,109,-9.5,9.5
1/18 11:07:24 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.0,-122,8.0,104,113,109,-9.5,9.5
1/18 11:07:21 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.5,-108,8.5,-108,113,109,-9.5,9.5
1/18 11:07:17 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.0,-122,8.0,104,113,109,-9.5,9.5
1/18 11:07:16 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.5,-108,8.5,-108,113,109,-9.5,9.5
1/18 11:07:14 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.0,-122,8.0,104,113,109,-9.5,9.5
1/18 11:07:13 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.5,-108,8.5,-108,113,109,-9.5,9.5
1/18 11:07:08 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.0,-120,8.0,103,113,109,-9.5,9.5
1/18 11:07:07 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.5,-108,8.5,-108,113,109,-9.5,9.5
1/18 11:07:06 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.0,-120,8.0,103,113,109,-9.5,9.5
1/18 11:07:04 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.5,-108,8.5,-108,113,109,-9.5,9.5
1/18 11:07:03 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.0,-119,8.0,102,113,109,-9.5,9.5
1/18 11:07:02 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.5,-108,8.5,-108,113,109,-9.5,9.5
1/18 11:07:01 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.0,-119,8.0,102,113,109,-9.5,9.5
1/18 11:07:00 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.5,-108,8.5,-108,113,109,-9.5,9.5
1/18 11:06:58 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.0,-119,8.0,102,113,109,-9.5,9.5
1/18 11:06:55 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.5,-108,8.5,-108,113,109,-9.5,9.5
1/18 11:06:52 am,Pinnacle,Cleveland Cavaliers,Memphis Grizzlies,-8.0,-119,8.0,102,113,109,-9.5,9.5
