Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/29 11:22:44 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,5.5,-125,-5.5,107,88,94,-6,6
12/29 11:22:40 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,5.5,-124,-5.5,106,88,94,-6,6
12/29 11:22:34 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,5.5,-121,-5.5,104,88,94,-6,6
12/29 11:22:25 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,5.5,-116,-5.5,-101,88,94,-6,6
12/29 11:22:22 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,5.5,-114,-5.5,-102,88,94,-6,6
12/29 11:22:19 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,5.5,-120,-5.5,103,88,94,-6,6
12/29 11:21:59 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,5.5,-108,-5.5,-108,88,94,-6,6
12/29 11:19:32 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,0.0,120,0.0,-140,88,94,-6,6
12/29 11:14:08 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,0.0,-117,0.0,100,88,94,-6,6
12/29 11:13:34 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,0.0,-118,0.0,101,88,94,-6,6
12/29 11:13:26 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,0.0,-118,0.0,107,88,94,-6,6
12/29 11:12:02 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,-1.0,-101,1.0,-131,88,94,-6,6
12/29 11:11:55 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,-1.0,100,1.0,-133,88,94,-6,6
12/29 11:11:41 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,-1.5,-115,1.5,-115,88,94,-6,6
12/29 11:11:38 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,-1.5,-116,1.5,-114,88,94,-6,6
12/29 11:11:26 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,-2.0,-126,2.0,-105,88,94,-6,6
12/29 11:10:53 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,-2.0,-125,2.0,-106,88,94,-6,6
12/29 11:10:49 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,-3.0,-124,3.0,-107,88,94,-6,6
12/29 11:10:47 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,-3.0,-106,3.0,-125,88,94,-6,6
12/29 11:10:35 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,-2.5,-115,2.5,-115,88,94,-6,6
12/29 11:10:32 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,-2.5,-106,2.5,-125,88,94,-6,6
12/29 11:10:23 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,-2.5,-106,2.5,-124,88,94,-6,6
12/29 11:10:40 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,-2.5,-116,2.5,-114,88,94,-6,6
12/29 11:09:38 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,-1.0,-112,1.0,-118,88,94,-6,6
12/29 11:09:26 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,-1.0,-114,1.0,-116,88,94,-6,6
12/29 11:09:20 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,-1.5,-127,1.5,-104,88,94,-6,6
12/29 11:09:11 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,-1.0,-113,1.0,-117,88,94,-6,6
12/29 11:09:05 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,-1.0,-114,1.0,-116,88,94,-6,6
12/29 11:08:56 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,1.5,-123,-1.5,-107,88,94,-6,6
12/29 11:08:11 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,2.5,-119,-2.5,-112,88,94,-6,6
12/29 11:08:09 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,1.5,-115,-1.5,-115,88,94,-6,6
12/29 11:06:47 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,3.5,-113,-3.5,-104,88,94,-6,6
12/29 11:04:05 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,3.0,-111,-3.0,-119,88,94,-6,6
12/29 11:04:03 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,3.5,-117,-3.5,-113,88,94,-6,6
12/29 11:03:56 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,4.0,-113,-4.0,-117,88,94,-6,6
12/29 11:03:50 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,4.0,-115,-4.0,-115,88,94,-6,6
12/29 11:03:49 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,4.0,-117,-4.0,-113,88,94,-6,6
12/29 11:03:37 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,4.0,-117,-4.0,-113,88,94,-6,6
12/29 11:03:35 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,3.5,-113,-3.5,-117,88,94,-6,6
12/29 11:03:32 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,4.5,-106,-4.5,-125,88,94,-6,6
12/29 11:03:28 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,4.5,-110,-4.5,-120,88,94,-6,6
12/29 11:03:20 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,4.5,-113,-4.5,-117,88,94,-6,6
12/29 11:03:47 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,4.0,-115,-4.0,-115,88,94,-6,6
12/29 11:03:09 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,5.5,-112,-5.5,-118,88,94,-6,6
12/29 11:03:05 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,4.5,-112,-4.5,-118,88,94,-6,6
12/29 11:02:59 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,4.5,-115,-4.5,-115,88,94,-6,6
12/29 11:02:56 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,5.5,-112,-5.5,-118,88,94,-6,6
12/29 11:02:46 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,4.5,-123,-4.5,-108,88,94,-6,6
12/29 11:02:45 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,4.0,-111,-4.0,-119,88,94,-6,6
12/29 11:02:17 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,4.0,-123,-4.0,-107,88,94,-6,6
12/29 11:02:08 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,4.0,-122,-4.0,-108,88,94,-6,6
12/29 11:01:50 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,5.5,-122,-5.5,-108,88,94,-6,6
12/29 11:01:35 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,5.5,-106,-5.5,-110,88,94,-6,6
12/29 11:01:05 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,5.5,-111,-5.5,-105,88,94,-6,6
12/29 10:59:59 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,5.5,-113,-5.5,-104,88,94,-6,6
12/29 10:59:14 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,5.5,-113,-5.5,-103,88,94,-6,6
12/29 10:58:47 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,5.5,-121,-5.5,-109,88,94,-6,6
12/29 10:58:35 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,4.5,-115,-4.5,-115,88,94,-6,6
12/29 10:58:29 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,3.5,105,-3.5,-139,88,94,-6,6
12/29 10:58:20 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,3.5,-114,-3.5,-116,88,94,-6,6
12/29 10:57:53 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,5.0,-114,-5.0,-116,88,94,-6,6
12/29 10:57:50 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,4.5,-114,-4.5,-116,88,94,-6,6
12/29 10:57:41 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,4.5,-119,-4.5,-111,88,94,-6,6
12/29 10:57:38 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,5.0,-113,-5.0,-117,88,94,-6,6
12/29 10:57:32 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,5.0,-114,-5.0,-116,88,94,-6,6
12/29 10:58:06 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,4.5,-118,-4.5,-112,88,94,-6,6
12/29 10:57:20 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,4.5,-122,-4.5,-109,88,94,-6,6
12/29 10:57:18 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,4.5,-121,-4.5,-109,88,94,-6,6
12/29 10:57:06 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,3.5,-107,-3.5,-123,88,94,-6,6
12/29 10:57:02 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,3.5,-111,-3.5,-119,88,94,-6,6
12/29 10:56:56 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,3.5,-120,-3.5,-110,88,94,-6,6
12/29 10:56:49 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,4.5,-123,-4.5,-107,88,94,-6,6
12/29 10:56:44 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,3.5,-120,-3.5,-110,88,94,-6,6
12/29 10:56:42 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,3.5,-119,-3.5,-111,88,94,-6,6
12/29 10:56:29 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,2.5,-112,-2.5,-118,88,94,-6,6
12/29 10:56:26 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,1.5,-108,-1.5,-123,88,94,-6,6
12/29 10:56:17 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,3.0,-122,-3.0,-109,88,94,-6,6
12/29 10:56:08 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,3.0,-115,-3.0,-115,88,94,-6,6
12/29 10:55:52 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,3.0,-104,-3.0,-127,88,94,-6,6
12/29 10:55:51 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,3.0,-108,-3.0,-123,88,94,-6,6
12/29 10:55:19 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,3.0,-110,-3.0,-121,88,94,-6,6
12/29 10:55:11 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,4.0,-111,-4.0,-119,88,94,-6,6
12/29 10:55:08 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,4.0,-113,-4.0,-117,88,94,-6,6
12/29 10:53:35 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,3.5,111,-3.5,-129,88,94,-6,6
12/29 10:52:59 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,3.5,-104,-3.5,-112,88,94,-6,6
12/29 10:52:08 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,5.0,-116,-5.0,-114,88,94,-6,6
12/29 10:51:48 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,3.5,-117,-3.5,-113,88,94,-6,6
12/29 10:51:45 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,4.5,-109,-4.5,-121,88,94,-6,6
12/29 10:51:17 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,3.5,-122,-3.5,-108,88,94,-6,6
12/29 10:51:03 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,4.0,-120,-4.0,-110,88,94,-6,6
12/29 10:50:42 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,3.5,-115,-3.5,-115,88,94,-6,6
12/29 10:50:33 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,3.5,-114,-3.5,-116,88,94,-6,6
12/29 10:50:21 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,4.5,-123,-4.5,-108,88,94,-6,6
12/29 10:50:14 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,4.0,-109,-4.0,-121,88,94,-6,6
12/29 10:50:11 am,Pinnacle,Cleveland Cavaliers,Minnesota Timberwolves,4.5,-114,-4.5,-116,88,94,-6,6
