Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
10/24 9:07:08 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-15.0,-111,15.0,-105,94,85,-9,9
10/24 9:06:58 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-15.0,-113,15.0,-104,94,85,-9,9
10/24 9:01:58 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-13.5,-118,13.5,-132,94,85,-9,9
10/24 9:01:54 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-13.5,-119,13.5,-131,94,85,-9,9
10/24 9:01:45 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-12.5,-132,12.5,-118,94,85,-9,9
10/24 9:01:35 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-11.5,-134,11.5,-117,94,85,-9,9
10/24 9:01:20 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-12.5,-133,12.5,-118,94,85,-9,9
10/24 9:01:06 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-12.5,-134,12.5,-117,94,85,-9,9
10/24 9:00:32 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-12.5,-133,12.5,-118,94,85,-9,9
10/24 9:00:17 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-13.5,-124,13.5,-126,94,85,-9,9
10/24 9:00:03 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-14.5,-124,14.5,-126,94,85,-9,9
10/24 8:59:48 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-13.5,-124,13.5,-126,94,85,-9,9
10/24 8:56:59 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-13.5,-110,13.5,-106,94,85,-9,9
10/24 8:56:30 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-13.5,-119,13.5,-111,94,85,-9,9
10/24 8:56:25 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-13.5,-126,13.5,-124,94,85,-9,9
10/24 8:56:20 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-14.0,-126,14.0,-124,94,85,-9,9
10/24 8:56:16 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-13.5,-126,13.5,-124,94,85,-9,9
10/24 8:55:56 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-14.5,-126,14.5,-124,94,85,-9,9
10/24 8:55:51 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-13.5,-127,13.5,-123,94,85,-9,9
10/24 8:55:46 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-13.5,-128,13.5,-122,94,85,-9,9
10/24 8:55:37 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-13.0,-118,13.0,-133,94,85,-9,9
10/24 8:55:18 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-12.0,-124,12.0,-126,94,85,-9,9
10/24 8:54:59 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-13.0,-120,13.0,-130,94,85,-9,9
10/24 8:54:44 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-12.0,-125,12.0,-125,94,85,-9,9
10/24 8:54:25 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-12.5,-126,12.5,-124,94,85,-9,9
10/24 8:53:56 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-12.0,-128,12.0,-122,94,85,-9,9
10/24 8:53:27 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-12.0,-117,12.0,-134,94,85,-9,9
10/24 8:53:07 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-11.5,-127,11.5,-123,94,85,-9,9
10/24 8:52:47 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-11.5,-117,11.5,-134,94,85,-9,9
10/24 8:52:33 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-12.0,-126,12.0,-124,94,85,-9,9
10/24 8:52:23 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-12.0,-129,12.0,-121,94,85,-9,9
10/24 8:52:13 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-10.5,-130,10.5,-120,94,85,-9,9
10/24 8:51:53 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-9.5,-134,9.5,-116,94,85,-9,9
10/24 8:51:43 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-8.5,-118,8.5,-133,94,85,-9,9
10/24 8:51:24 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-8.5,-117,8.5,-134,94,85,-9,9
10/24 8:51:10 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-7.5,-132,7.5,-118,94,85,-9,9
10/24 8:50:41 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-8.5,-121,8.5,-129,94,85,-9,9
10/24 8:50:37 am,Pinnacle,Cleveland Cavaliers,Orlando Magic,-8.0,-129,8.0,-121,94,85,-9,9
