Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/1 10:10:56 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-12.5,-160,12.5,136,117,97,-8.5,8.5
1/1 10:10:50 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-12.5,-167,12.5,142,117,97,-8.5,8.5
1/1 10:10:26 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-12.5,-150,12.5,128,117,97,-8.5,8.5
1/1 10:10:05 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-12.5,-160,12.5,136,117,97,-8.5,8.5
1/1 10:10:02 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-12.5,-158,12.5,135,117,97,-8.5,8.5
1/1 10:09:59 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-12.5,-142,12.5,122,117,97,-8.5,8.5
1/1 10:09:56 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-12.5,-125,12.5,107,117,97,-8.5,8.5
1/1 10:02:53 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-17.0,-107,17.0,-123,117,97,-8.5,8.5
1/1 10:02:38 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-15.5,-126,15.5,-105,117,97,-8.5,8.5
1/1 10:02:32 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-17.0,-109,17.0,-121,117,97,-8.5,8.5
1/1 10:02:17 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-15.5,-118,15.5,-112,117,97,-8.5,8.5
1/1 10:02:11 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-15.5,-110,15.5,-120,117,97,-8.5,8.5
1/1 10:01:45 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-15.0,-117,15.0,-113,117,97,-8.5,8.5
1/1 10:01:38 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-15.0,-114,15.0,-116,117,97,-8.5,8.5
1/1 10:01:36 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-16.5,-106,16.5,-124,117,97,-8.5,8.5
1/1 10:01:23 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-16.5,-124,16.5,-107,117,97,-8.5,8.5
1/1 10:01:17 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-18.0,-107,18.0,-124,117,97,-8.5,8.5
1/1 10:01:02 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-16.5,-115,16.5,-115,117,97,-8.5,8.5
1/1 10:00:59 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-17.0,-124,17.0,-107,117,97,-8.5,8.5
1/1 10:00:26 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-17.0,-112,17.0,-118,117,97,-8.5,8.5
1/1 10:00:17 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-17.0,-110,17.0,-120,117,97,-8.5,8.5
1/1 9:59:57 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-17.5,-120,17.5,-110,117,97,-8.5,8.5
1/1 9:59:53 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-15.0,-117,15.0,-113,117,97,-8.5,8.5
1/1 9:59:47 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-15.0,-112,15.0,-118,117,97,-8.5,8.5
1/1 9:59:33 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-16.5,-108,16.5,-108,117,97,-8.5,8.5
1/1 9:59:29 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-16.5,-107,16.5,-109,117,97,-8.5,8.5
1/1 9:59:26 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-16.5,-110,16.5,-106,117,97,-8.5,8.5
1/1 9:59:14 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-16.5,-107,16.5,-109,117,97,-8.5,8.5
1/1 9:58:14 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-16.5,-104,16.5,-112,117,97,-8.5,8.5
1/1 9:58:11 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-16.5,-101,16.5,-116,117,97,-8.5,8.5
1/1 9:57:38 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-16.5,107,16.5,-125,117,97,-8.5,8.5
1/1 9:57:36 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-16.5,-105,16.5,-112,117,97,-8.5,8.5
1/1 9:56:17 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-15.0,-112,15.0,-118,117,97,-8.5,8.5
1/1 9:56:11 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-16.0,-113,16.0,-117,117,97,-8.5,8.5
1/1 9:56:02 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-15.0,-112,15.0,-119,117,97,-8.5,8.5
1/1 9:55:47 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-16.0,-113,16.0,-117,117,97,-8.5,8.5
1/1 9:55:35 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-15.0,-124,15.0,-106,117,97,-8.5,8.5
1/1 9:55:32 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-15.0,-112,15.0,-118,117,97,-8.5,8.5
1/1 9:55:26 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-15.0,-114,15.0,-116,117,97,-8.5,8.5
1/1 9:55:17 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-13.5,-111,13.5,-119,117,97,-8.5,8.5
1/1 9:56:32 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-16.0,-123,16.0,-108,117,97,-8.5,8.5
1/1 9:56:26 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-16.0,-114,16.0,-116,117,97,-8.5,8.5
1/1 9:55:11 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-13.5,-112,13.5,-118,117,97,-8.5,8.5
1/1 9:54:56 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-14.0,-116,14.0,-114,117,97,-8.5,8.5
1/1 9:54:50 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-15.0,-121,15.0,-109,117,97,-8.5,8.5
1/1 9:54:35 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-14.5,-124,14.5,-107,117,97,-8.5,8.5
1/1 9:54:29 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-14.5,-117,14.5,-113,117,97,-8.5,8.5
1/1 9:54:17 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-14.0,-129,14.0,-102,117,97,-8.5,8.5
1/1 9:54:08 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-14.0,-124,14.0,-106,117,97,-8.5,8.5
1/1 9:53:26 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-14.5,-118,14.5,-112,117,97,-8.5,8.5
1/1 9:53:23 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-14.5,-117,14.5,-113,117,97,-8.5,8.5
1/1 9:53:17 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-14.5,-107,14.5,-124,117,97,-8.5,8.5
1/1 9:53:08 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-16.0,-108,16.0,-122,117,97,-8.5,8.5
1/1 9:53:02 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-17.0,-111,17.0,-119,117,97,-8.5,8.5
1/1 9:52:56 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-17.0,-109,17.0,-121,117,97,-8.5,8.5
1/1 9:52:44 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-17.5,-120,17.5,-110,117,97,-8.5,8.5
1/1 9:52:38 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-18.5,-123,18.5,-108,117,97,-8.5,8.5
1/1 9:52:35 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-18.5,-109,18.5,-121,117,97,-8.5,8.5
1/1 9:52:12 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-17.5,-117,17.5,-113,117,97,-8.5,8.5
1/1 9:52:05 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-17.0,-110,17.0,-120,117,97,-8.5,8.5
1/1 9:52:02 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-17.0,-112,17.0,-118,117,97,-8.5,8.5
1/1 9:51:56 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-17.5,-120,17.5,-110,117,97,-8.5,8.5
1/1 9:51:44 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-17.5,-119,17.5,-111,117,97,-8.5,8.5
1/1 9:51:38 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-16.0,-115,16.0,-115,117,97,-8.5,8.5
1/1 9:50:59 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-16.0,-114,16.0,-116,117,97,-8.5,8.5
1/1 9:50:50 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-15.0,-125,15.0,-106,117,97,-8.5,8.5
1/1 9:50:41 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-15.0,-116,15.0,-114,117,97,-8.5,8.5
1/1 9:50:26 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-16.0,-115,16.0,-115,117,97,-8.5,8.5
1/1 9:50:24 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-16.0,-114,16.0,-116,117,97,-8.5,8.5
1/1 9:48:26 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-16.5,-104,16.5,-112,117,97,-8.5,8.5
1/1 9:48:21 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-16.5,-108,16.5,-108,117,97,-8.5,8.5
1/1 9:47:32 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-15.0,-118,15.0,-112,117,97,-8.5,8.5
1/1 9:47:30 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-17.0,-115,17.0,-115,117,97,-8.5,8.5
1/1 9:47:05 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-15.0,-109,15.0,-122,117,97,-8.5,8.5
1/1 9:47:02 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-14.5,-116,14.5,-114,117,97,-8.5,8.5
1/1 9:46:26 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-15.0,-110,15.0,-121,117,97,-8.5,8.5
1/1 9:46:14 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-15.0,-113,15.0,-118,117,97,-8.5,8.5
1/1 9:43:41 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-15.5,-109,15.5,-121,117,97,-8.5,8.5
1/1 9:43:32 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-16.5,-122,16.5,-109,117,97,-8.5,8.5
1/1 9:43:29 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-16.0,-113,16.0,-117,117,97,-8.5,8.5
1/1 9:42:47 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-16.5,-123,16.5,-108,117,97,-8.5,8.5
1/1 9:42:38 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-17.0,-108,17.0,-122,117,97,-8.5,8.5
1/1 9:42:23 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-18.5,-113,18.5,-117,117,97,-8.5,8.5
1/1 9:42:17 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-18.5,-114,18.5,-116,117,97,-8.5,8.5
1/1 9:42:08 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-17.0,-109,17.0,-121,117,97,-8.5,8.5
1/1 9:42:02 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-16.0,-110,16.0,-120,117,97,-8.5,8.5
1/1 9:41:41 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-17.0,-117,17.0,-113,117,97,-8.5,8.5
1/1 9:41:18 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-17.5,-115,17.5,-115,117,97,-8.5,8.5
1/1 9:41:02 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-17.5,-116,17.5,-114,117,97,-8.5,8.5
1/1 9:40:47 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-18.5,-118,18.5,-112,117,97,-8.5,8.5
1/1 9:40:44 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-18.0,-116,18.0,-114,117,97,-8.5,8.5
1/1 9:40:38 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-17.5,-116,17.5,-114,117,97,-8.5,8.5
1/1 9:40:32 am,Pinnacle,Cleveland Cavaliers,Toronto Raptors,-17.5,-117,17.5,-113,117,97,-8.5,8.5
