Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/12 10:57:36 am,Pinnacle,Dallas Mavericks,Boston Celtics,-9.5,-119,9.5,102,116,106,-3,3
11/12 10:57:33 am,Pinnacle,Dallas Mavericks,Boston Celtics,-9.5,-121,9.5,104,116,106,-3,3
11/12 10:57:21 am,Pinnacle,Dallas Mavericks,Boston Celtics,-9.5,-117,9.5,100,116,106,-3,3
11/12 10:56:57 am,Pinnacle,Dallas Mavericks,Boston Celtics,-9.5,-123,9.5,105,116,106,-3,3
11/12 10:56:48 am,Pinnacle,Dallas Mavericks,Boston Celtics,-9.5,-112,9.5,-104,116,106,-3,3
11/12 10:56:36 am,Pinnacle,Dallas Mavericks,Boston Celtics,-9.5,-108,9.5,-108,116,106,-3,3
11/12 10:52:24 am,Pinnacle,Dallas Mavericks,Boston Celtics,-10.0,-123,10.0,105,116,106,-3,3
11/12 10:52:15 am,Pinnacle,Dallas Mavericks,Boston Celtics,-10.0,-127,10.0,109,116,106,-3,3
11/12 10:51:39 am,Pinnacle,Dallas Mavericks,Boston Celtics,-10.0,-128,10.0,110,116,106,-3,3
11/12 10:51:33 am,Pinnacle,Dallas Mavericks,Boston Celtics,-10.0,-111,10.0,-105,116,106,-3,3
11/12 10:51:28 am,Pinnacle,Dallas Mavericks,Boston Celtics,-10.0,-108,10.0,-108,116,106,-3,3
11/12 10:47:24 am,Pinnacle,Dallas Mavericks,Boston Celtics,-6.0,-110,6.0,-106,116,106,-3,3
11/12 10:47:12 am,Pinnacle,Dallas Mavericks,Boston Celtics,-6.0,-112,6.0,-104,116,106,-3,3
11/12 10:47:09 am,Pinnacle,Dallas Mavericks,Boston Celtics,-6.0,-114,6.0,-103,116,106,-3,3
11/12 10:46:36 am,Pinnacle,Dallas Mavericks,Boston Celtics,-6.0,-114,6.0,-102,116,106,-3,3
11/12 10:46:33 am,Pinnacle,Dallas Mavericks,Boston Celtics,-6.0,-117,6.0,100,116,106,-3,3
11/12 10:46:18 am,Pinnacle,Dallas Mavericks,Boston Celtics,-6.0,-120,6.0,103,116,106,-3,3
11/12 10:46:03 am,Pinnacle,Dallas Mavericks,Boston Celtics,-6.0,-117,6.0,101,116,106,-3,3
11/12 10:45:48 am,Pinnacle,Dallas Mavericks,Boston Celtics,-6.0,-120,6.0,103,116,106,-3,3
11/12 10:45:39 am,Pinnacle,Dallas Mavericks,Boston Celtics,-6.0,-116,6.0,-100,116,106,-3,3
