Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
3/3 11:25:49 am,RedZone,Dallas Mavericks,Chicago Bulls,-4.5,203,4.5,-268,109,107,6.5,-6.5
3/3 11:25:03 am,RedZone,Dallas Mavericks,Chicago Bulls,-4.5,123,4.5,-155,109,107,6.5,-6.5
3/3 11:23:49 am,RedZone,Dallas Mavericks,Chicago Bulls,-4.5,126,4.5,-159,109,107,6.5,-6.5
3/3 11:23:23 am,RedZone,Dallas Mavericks,Chicago Bulls,-4.5,-148,4.5,118,109,107,6.5,-6.5
3/3 11:23:09 am,RedZone,Dallas Mavericks,Chicago Bulls,-4.5,123,4.5,-155,109,107,6.5,-6.5
3/3 11:17:38 am,RedZone,Dallas Mavericks,Chicago Bulls,-7.5,-174,7.5,137,109,107,6.5,-6.5
3/3 11:16:45 am,RedZone,Dallas Mavericks,Chicago Bulls,-6.5,-108,6.5,-115,109,107,6.5,-6.5
3/3 11:16:18 am,RedZone,Dallas Mavericks,Chicago Bulls,-5.5,-150,5.5,119,109,107,6.5,-6.5
3/3 11:16:07 am,RedZone,Dallas Mavericks,Chicago Bulls,-6.5,-108,6.5,-115,109,107,6.5,-6.5
3/3 11:14:47 am,RedZone,Dallas Mavericks,Chicago Bulls,-5.5,109,5.5,-137,109,107,6.5,-6.5
3/3 11:14:30 am,RedZone,Dallas Mavericks,Chicago Bulls,-5.5,-115,5.5,-108,109,107,6.5,-6.5
3/3 11:14:00 am,RedZone,Dallas Mavericks,Chicago Bulls,-6.5,-108,6.5,-115,109,107,6.5,-6.5
3/3 11:13:43 am,RedZone,Dallas Mavericks,Chicago Bulls,-5.5,-115,5.5,-108,109,107,6.5,-6.5
3/3 11:13:35 am,RedZone,Dallas Mavericks,Chicago Bulls,-5.5,107,5.5,-134,109,107,6.5,-6.5
3/3 11:13:16 am,RedZone,Dallas Mavericks,Chicago Bulls,-6.5,101,6.5,-125,109,107,6.5,-6.5
3/3 11:13:02 am,RedZone,Dallas Mavericks,Chicago Bulls,-6.5,-117,6.5,-106,109,107,6.5,-6.5
3/3 11:12:39 am,RedZone,Dallas Mavericks,Chicago Bulls,-5.5,-148,5.5,118,109,107,6.5,-6.5
3/3 11:12:25 am,RedZone,Dallas Mavericks,Chicago Bulls,-6.5,-115,6.5,-108,109,107,6.5,-6.5
3/3 11:11:52 am,RedZone,Dallas Mavericks,Chicago Bulls,-6.5,-129,6.5,104,109,107,6.5,-6.5
3/3 11:11:26 am,RedZone,Dallas Mavericks,Chicago Bulls,-6.5,-125,6.5,101,109,107,6.5,-6.5
3/3 11:11:16 am,RedZone,Dallas Mavericks,Chicago Bulls,-6.5,-148,6.5,118,109,107,6.5,-6.5
3/3 11:11:09 am,RedZone,Dallas Mavericks,Chicago Bulls,-6.5,-150,6.5,119,109,107,6.5,-6.5
3/3 11:10:40 am,RedZone,Dallas Mavericks,Chicago Bulls,-7.5,-115,7.5,-108,109,107,6.5,-6.5
3/3 11:10:12 am,RedZone,Dallas Mavericks,Chicago Bulls,-7.5,-121,7.5,-103,109,107,6.5,-6.5
3/3 11:09:53 am,RedZone,Dallas Mavericks,Chicago Bulls,-6.5,-139,6.5,110,109,107,6.5,-6.5
3/3 11:09:37 am,RedZone,Dallas Mavericks,Chicago Bulls,-5.5,-125,5.5,101,109,107,6.5,-6.5
3/3 11:09:08 am,RedZone,Dallas Mavericks,Chicago Bulls,-7.5,104,7.5,-129,109,107,6.5,-6.5
3/3 11:08:48 am,RedZone,Dallas Mavericks,Chicago Bulls,-6.5,-121,6.5,-103,109,107,6.5,-6.5
3/3 11:08:36 am,RedZone,Dallas Mavericks,Chicago Bulls,-6.5,-139,6.5,110,109,107,6.5,-6.5
3/3 11:08:23 am,RedZone,Dallas Mavericks,Chicago Bulls,-5.5,-150,5.5,119,109,107,6.5,-6.5
3/3 11:08:20 am,Pinnacle,Dallas Mavericks,Chicago Bulls,-5.0,-116,5.0,-101,109,107,6.5,-6.5
