Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/4 10:32:26 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,13.5,-126,-13.5,108,111,131,5,-5
11/4 10:32:08 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,13.5,-121,-13.5,104,111,131,5,-5
11/4 10:31:43 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,13.5,-134,-13.5,115,111,131,5,-5
11/4 10:31:35 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,13.5,-124,-13.5,106,111,131,5,-5
11/4 10:31:32 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,13.5,-120,-13.5,103,111,131,5,-5
11/4 10:31:26 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,13.5,-108,-13.5,-108,111,131,5,-5
11/4 10:25:56 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,13.0,-130,-13.0,-102,111,131,5,-5
11/4 10:25:53 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,13.0,-125,-13.0,-106,111,131,5,-5
11/4 10:25:44 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,13.0,-123,-13.0,-108,111,131,5,-5
11/4 10:25:41 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,14.5,-117,-14.5,-113,111,131,5,-5
11/4 10:25:38 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,14.5,-118,-14.5,-112,111,131,5,-5
11/4 10:25:32 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,14.5,-116,-14.5,-114,111,131,5,-5
11/4 10:25:23 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,13.5,-108,-13.5,-122,111,131,5,-5
11/4 10:25:20 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,12.5,-107,-12.5,-123,111,131,5,-5
11/4 10:25:02 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,14.0,-119,-14.0,-111,111,131,5,-5
11/4 10:24:55 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,14.0,-110,-14.0,-120,111,131,5,-5
11/4 10:24:11 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,14.5,-115,-14.5,-115,111,131,5,-5
11/4 10:24:08 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,14.5,-117,-14.5,-113,111,131,5,-5
11/4 10:24:02 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,13.5,-110,-13.5,-120,111,131,5,-5
11/4 10:23:56 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,13.5,-109,-13.5,-121,111,131,5,-5
11/4 10:23:50 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,14.5,-115,-14.5,-115,111,131,5,-5
11/4 10:23:43 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,14.0,-111,-14.0,-119,111,131,5,-5
11/4 10:23:35 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,12.5,-116,-12.5,-114,111,131,5,-5
11/4 10:23:28 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,11.5,-114,-11.5,-116,111,131,5,-5
11/4 10:23:10 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,12.0,-122,-12.0,-109,111,131,5,-5
11/4 10:23:05 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,12.0,-113,-12.0,-117,111,131,5,-5
11/4 10:22:35 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,12.5,-122,-12.5,-109,111,131,5,-5
11/4 10:22:25 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,13.5,-120,-13.5,-110,111,131,5,-5
11/4 10:22:17 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,12.5,-119,-12.5,-111,111,131,5,-5
11/4 10:22:13 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,13.5,-120,-13.5,-110,111,131,5,-5
11/4 10:22:02 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,13.5,-115,-13.5,-115,111,131,5,-5
11/4 10:21:59 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,14.0,-123,-14.0,-107,111,131,5,-5
11/4 10:21:31 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,14.0,-110,-14.0,-121,111,131,5,-5
11/4 10:21:26 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,15.0,-124,-15.0,-107,111,131,5,-5
11/4 10:21:17 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,15.0,-112,-15.0,-118,111,131,5,-5
11/4 10:21:11 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,14.0,-112,-14.0,-118,111,131,5,-5
11/4 10:21:07 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,15.0,-112,-15.0,-119,111,131,5,-5
11/4 10:21:05 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,14.0,-120,-14.0,-110,111,131,5,-5
11/4 10:20:40 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,13.5,-124,-13.5,-107,111,131,5,-5
11/4 10:20:38 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,12.5,-116,-12.5,-114,111,131,5,-5
11/4 10:20:35 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,11.5,-112,-11.5,-118,111,131,5,-5
11/4 10:19:56 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,12.0,-121,-12.0,-110,111,131,5,-5
11/4 10:18:08 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,11.5,-108,-11.5,-108,111,131,5,-5
11/4 10:17:37 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,11.5,-106,-11.5,-110,111,131,5,-5
11/4 10:17:17 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,12.0,-120,-12.0,-110,111,131,5,-5
11/4 10:17:02 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,12.0,-118,-12.0,-112,111,131,5,-5
11/4 10:16:46 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,11.0,-111,-11.0,-120,111,131,5,-5
11/4 10:16:34 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,10.5,-123,-10.5,-108,111,131,5,-5
11/4 10:16:32 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,11.0,-109,-11.0,-121,111,131,5,-5
11/4 10:16:23 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,10.5,-122,-10.5,-109,111,131,5,-5
11/4 10:16:17 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,10.5,-121,-10.5,-110,111,131,5,-5
11/4 10:16:02 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,9.5,-113,-9.5,-117,111,131,5,-5
11/4 10:15:53 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,8.5,-111,-8.5,-119,111,131,5,-5
11/4 10:15:47 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,8.5,-110,-8.5,-120,111,131,5,-5
11/4 10:15:44 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,8.0,-113,-8.0,-117,111,131,5,-5
11/4 10:15:32 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,8.0,-115,-8.0,-115,111,131,5,-5
11/4 10:15:20 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,8.5,-110,-8.5,-121,111,131,5,-5
11/4 10:15:14 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,8.5,-109,-8.5,-122,111,131,5,-5
11/4 10:15:11 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,7.5,-109,-7.5,-121,111,131,5,-5
11/4 10:15:05 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,7.5,-120,-7.5,-110,111,131,5,-5
11/4 10:15:02 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,6.5,-108,-6.5,-122,111,131,5,-5
11/4 10:14:58 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,6.5,102,-6.5,-135,111,131,5,-5
11/4 10:14:32 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,6.5,-108,-6.5,-122,111,131,5,-5
11/4 10:14:29 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,6.5,-108,-6.5,-123,111,131,5,-5
11/4 10:14:20 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,6.0,-118,-6.0,-113,111,131,5,-5
11/4 10:13:56 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,6.0,-103,-6.0,-113,111,131,5,-5
11/4 10:13:40 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,6.0,-105,-6.0,-111,111,131,5,-5
11/4 10:12:32 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,6.0,-103,-6.0,-113,111,131,5,-5
11/4 10:12:28 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,6.0,-107,-6.0,-109,111,131,5,-5
11/4 10:12:14 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,6.0,-110,-6.0,-106,111,131,5,-5
11/4 10:12:05 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,6.0,-111,-6.0,-105,111,131,5,-5
11/4 10:11:25 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,5.0,-116,-5.0,-114,111,131,5,-5
11/4 10:11:23 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,6.5,-118,-6.5,-112,111,131,5,-5
11/4 10:11:17 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,7.0,-118,-7.0,-112,111,131,5,-5
11/4 10:11:11 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,5.0,-116,-5.0,-114,111,131,5,-5
11/4 10:11:08 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,7.0,-114,-7.0,-116,111,131,5,-5
11/4 10:10:55 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,7.5,-145,-7.5,109,111,131,5,-5
11/4 10:10:44 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,7.5,-129,-7.5,-103,111,131,5,-5
11/4 10:10:38 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,7.5,-116,-7.5,-114,111,131,5,-5
11/4 10:10:32 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,7.5,-107,-7.5,-124,111,131,5,-5
11/4 10:10:14 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,8.5,-110,-8.5,-120,111,131,5,-5
11/4 10:10:11 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,7.5,-113,-7.5,-117,111,131,5,-5
11/4 10:10:08 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,9.0,-129,-9.0,-103,111,131,5,-5
11/4 10:09:56 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,9.0,-121,-9.0,-109,111,131,5,-5
11/4 10:09:53 am,Pinnacle,Dallas Mavericks,Cleveland Cavaliers,8.5,-123,-8.5,-107,111,131,5,-5
