Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/13 12:10:52 pm,Pinnacle,Dallas Mavericks,Detroit Pistons,15.5,-112,-15.5,-118,111,122,7.5,-7.5
12/13 12:10:40 pm,Pinnacle,Dallas Mavericks,Detroit Pistons,14.5,-111,-14.5,-119,111,122,7.5,-7.5
12/13 12:10:07 pm,Pinnacle,Dallas Mavericks,Detroit Pistons,14.5,-112,-14.5,-118,111,122,7.5,-7.5
12/13 12:10:04 pm,Pinnacle,Dallas Mavericks,Detroit Pistons,15.0,-111,-15.0,-119,111,122,7.5,-7.5
12/13 12:10:01 pm,Pinnacle,Dallas Mavericks,Detroit Pistons,15.5,-132,-15.5,100,111,122,7.5,-7.5
12/13 12:09:58 pm,Pinnacle,Dallas Mavericks,Detroit Pistons,15.5,-128,-15.5,-103,111,122,7.5,-7.5
12/13 12:09:52 pm,Pinnacle,Dallas Mavericks,Detroit Pistons,15.5,-111,-15.5,-119,111,122,7.5,-7.5
12/13 12:09:45 pm,Pinnacle,Dallas Mavericks,Detroit Pistons,15.5,-112,-15.5,-118,111,122,7.5,-7.5
12/13 12:09:40 pm,Pinnacle,Dallas Mavericks,Detroit Pistons,17.5,-140,-17.5,106,111,122,7.5,-7.5
12/13 12:09:22 pm,Pinnacle,Dallas Mavericks,Detroit Pistons,17.5,-123,-17.5,-108,111,122,7.5,-7.5
12/13 12:09:10 pm,Pinnacle,Dallas Mavericks,Detroit Pistons,16.5,-114,-16.5,-116,111,122,7.5,-7.5
12/13 12:09:07 pm,Pinnacle,Dallas Mavericks,Detroit Pistons,15.5,-115,-15.5,-115,111,122,7.5,-7.5
12/13 12:09:04 pm,Pinnacle,Dallas Mavericks,Detroit Pistons,16.0,-128,-16.0,-103,111,122,7.5,-7.5
12/13 12:08:40 pm,Pinnacle,Dallas Mavericks,Detroit Pistons,16.0,-124,-16.0,-107,111,122,7.5,-7.5
12/13 12:08:37 pm,Pinnacle,Dallas Mavericks,Detroit Pistons,15.0,-110,-15.0,-120,111,122,7.5,-7.5
12/13 12:08:04 pm,Pinnacle,Dallas Mavericks,Detroit Pistons,15.5,-116,-15.5,-114,111,122,7.5,-7.5
12/13 12:07:43 pm,Pinnacle,Dallas Mavericks,Detroit Pistons,14.0,-124,-14.0,-106,111,122,7.5,-7.5
12/13 12:06:37 pm,Pinnacle,Dallas Mavericks,Detroit Pistons,13.0,-122,-13.0,-109,111,122,7.5,-7.5
12/13 12:06:19 pm,Pinnacle,Dallas Mavericks,Detroit Pistons,13.5,-107,-13.5,-124,111,122,7.5,-7.5
12/13 12:06:17 pm,Pinnacle,Dallas Mavericks,Detroit Pistons,14.0,-122,-14.0,-108,111,122,7.5,-7.5
12/13 12:06:07 pm,Pinnacle,Dallas Mavericks,Detroit Pistons,14.5,-113,-14.5,-117,111,122,7.5,-7.5
12/13 12:05:58 pm,Pinnacle,Dallas Mavericks,Detroit Pistons,14.5,110,-14.5,-129,111,122,7.5,-7.5
12/13 12:05:22 pm,Pinnacle,Dallas Mavericks,Detroit Pistons,14.5,111,-14.5,-130,111,122,7.5,-7.5
12/13 12:05:04 pm,Pinnacle,Dallas Mavericks,Detroit Pistons,14.5,116,-14.5,-136,111,122,7.5,-7.5
