Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/29 11:44:29 am,Pinnacle,Dallas Mavericks,Golden State Warriors,26.5,-106,-26.5,-110,121,141,10.5,-10.5
12/29 11:44:14 am,Pinnacle,Dallas Mavericks,Golden State Warriors,26.5,-108,-26.5,-108,121,141,10.5,-10.5
12/29 11:43:58 am,Pinnacle,Dallas Mavericks,Golden State Warriors,26.5,-107,-26.5,-109,121,141,10.5,-10.5
12/29 11:43:44 am,Pinnacle,Dallas Mavericks,Golden State Warriors,26.5,-106,-26.5,-110,121,141,10.5,-10.5
12/29 11:43:26 am,Pinnacle,Dallas Mavericks,Golden State Warriors,26.5,-102,-26.5,-114,121,141,10.5,-10.5
12/29 11:43:20 am,Pinnacle,Dallas Mavericks,Golden State Warriors,26.5,-101,-26.5,-115,121,141,10.5,-10.5
12/29 11:43:13 am,Pinnacle,Dallas Mavericks,Golden State Warriors,26.5,-100,-26.5,-117,121,141,10.5,-10.5
12/29 11:43:05 am,Pinnacle,Dallas Mavericks,Golden State Warriors,26.5,-103,-26.5,-114,121,141,10.5,-10.5
12/29 11:42:23 am,Pinnacle,Dallas Mavericks,Golden State Warriors,26.5,-103,-26.5,-113,121,141,10.5,-10.5
12/29 11:41:29 am,Pinnacle,Dallas Mavericks,Golden State Warriors,26.5,-112,-26.5,-119,121,141,10.5,-10.5
12/29 11:41:25 am,Pinnacle,Dallas Mavericks,Golden State Warriors,26.5,-111,-26.5,-119,121,141,10.5,-10.5
12/29 11:41:19 am,Pinnacle,Dallas Mavericks,Golden State Warriors,27.5,-119,-27.5,-112,121,141,10.5,-10.5
12/29 11:41:11 am,Pinnacle,Dallas Mavericks,Golden State Warriors,28.5,-114,-28.5,-116,121,141,10.5,-10.5
12/29 11:41:01 am,Pinnacle,Dallas Mavericks,Golden State Warriors,27.5,-115,-27.5,-115,121,141,10.5,-10.5
12/29 11:40:53 am,Pinnacle,Dallas Mavericks,Golden State Warriors,27.5,-116,-27.5,-114,121,141,10.5,-10.5
