Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/4 10:14:51 am,Pinnacle,Dallas Mavericks,Indiana Pacers,8.5,161,-8.5,-190,103,112,-5,5
2/4 10:14:37 am,Pinnacle,Dallas Mavericks,Indiana Pacers,8.5,157,-8.5,-185,103,112,-5,5
2/4 10:12:24 am,Pinnacle,Dallas Mavericks,Indiana Pacers,6.5,142,-6.5,-167,103,112,-5,5
2/4 10:12:10 am,Pinnacle,Dallas Mavericks,Indiana Pacers,6.5,136,-6.5,-159,103,112,-5,5
2/4 10:12:00 am,Pinnacle,Dallas Mavericks,Indiana Pacers,6.5,128,-6.5,-150,103,112,-5,5
2/4 10:11:48 am,Pinnacle,Dallas Mavericks,Indiana Pacers,6.5,120,-6.5,-140,103,112,-5,5
2/4 9:56:33 am,Pinnacle,Dallas Mavericks,Indiana Pacers,2.5,-117,-2.5,100,103,112,-5,5
2/4 9:56:19 am,Pinnacle,Dallas Mavericks,Indiana Pacers,2.5,-119,-2.5,102,103,112,-5,5
2/4 9:56:09 am,Pinnacle,Dallas Mavericks,Indiana Pacers,2.5,-121,-2.5,103,103,112,-5,5
2/4 9:55:54 am,Pinnacle,Dallas Mavericks,Indiana Pacers,2.5,-111,-2.5,-105,103,112,-5,5
2/4 9:54:00 am,Pinnacle,Dallas Mavericks,Indiana Pacers,3.0,-108,-3.0,-122,103,112,-5,5
2/4 9:53:42 am,Pinnacle,Dallas Mavericks,Indiana Pacers,4.0,-111,-4.0,-119,103,112,-5,5
2/4 9:53:30 am,Pinnacle,Dallas Mavericks,Indiana Pacers,4.5,-107,-4.5,-124,103,112,-5,5
2/4 9:53:03 am,Pinnacle,Dallas Mavericks,Indiana Pacers,4.5,-107,-4.5,-124,103,112,-5,5
2/4 9:52:57 am,Pinnacle,Dallas Mavericks,Indiana Pacers,4.5,-107,-4.5,-124,103,112,-5,5
2/4 9:52:49 am,Pinnacle,Dallas Mavericks,Indiana Pacers,5.0,-127,-5.0,-104,103,112,-5,5
2/4 9:52:45 am,Pinnacle,Dallas Mavericks,Indiana Pacers,4.0,-113,-4.0,-117,103,112,-5,5
2/4 9:52:25 am,Pinnacle,Dallas Mavericks,Indiana Pacers,5.5,-111,-5.5,-119,103,112,-5,5
2/4 9:52:03 am,Pinnacle,Dallas Mavericks,Indiana Pacers,5.0,-125,-5.0,-106,103,112,-5,5
2/4 9:51:39 am,Pinnacle,Dallas Mavericks,Indiana Pacers,4.0,-120,-4.0,-110,103,112,-5,5
2/4 9:51:37 am,Pinnacle,Dallas Mavericks,Indiana Pacers,4.0,-124,-4.0,-106,103,112,-5,5
2/4 9:51:30 am,Pinnacle,Dallas Mavericks,Indiana Pacers,4.0,-126,-4.0,-105,103,112,-5,5
