Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/2 7:12:01 am,Pinnacle,Dallas Mavericks,Los Angeles Lakers,17.0,112,-17.0,-131,100,114,-6.5,6.5
12/2 7:11:19 am,Pinnacle,Dallas Mavericks,Los Angeles Lakers,17.0,111,-17.0,-130,100,114,-6.5,6.5
12/2 7:11:04 am,Pinnacle,Dallas Mavericks,Los Angeles Lakers,17.0,113,-17.0,-132,100,114,-6.5,6.5
12/2 7:10:47 am,Pinnacle,Dallas Mavericks,Los Angeles Lakers,17.0,115,-17.0,-134,100,114,-6.5,6.5
12/2 7:10:40 am,Pinnacle,Dallas Mavericks,Los Angeles Lakers,17.0,108,-17.0,-127,100,114,-6.5,6.5
12/2 7:10:38 am,Pinnacle,Dallas Mavericks,Los Angeles Lakers,17.0,108,-17.0,-126,100,114,-6.5,6.5
12/2 7:10:31 am,Pinnacle,Dallas Mavericks,Los Angeles Lakers,17.0,111,-17.0,-129,100,114,-6.5,6.5
12/2 7:10:22 am,Pinnacle,Dallas Mavericks,Los Angeles Lakers,17.0,-104,-17.0,-112,100,114,-6.5,6.5
12/2 7:10:17 am,Pinnacle,Dallas Mavericks,Los Angeles Lakers,17.0,-107,-17.0,-109,100,114,-6.5,6.5
12/2 7:10:14 am,Pinnacle,Dallas Mavericks,Los Angeles Lakers,17.0,-111,-17.0,-105,100,114,-6.5,6.5
12/2 7:09:53 am,Pinnacle,Dallas Mavericks,Los Angeles Lakers,17.0,-113,-17.0,-104,100,114,-6.5,6.5
12/2 7:06:07 am,Pinnacle,Dallas Mavericks,Los Angeles Lakers,13.5,-110,-13.5,-120,100,114,-6.5,6.5
12/2 7:05:56 am,Pinnacle,Dallas Mavericks,Los Angeles Lakers,14.5,-109,-14.5,-121,100,114,-6.5,6.5
12/2 7:05:53 am,Pinnacle,Dallas Mavericks,Los Angeles Lakers,13.5,-110,-13.5,-120,100,114,-6.5,6.5
12/2 7:05:49 am,Pinnacle,Dallas Mavericks,Los Angeles Lakers,15.0,-131,-15.0,-101,100,114,-6.5,6.5
12/2 7:05:41 am,Pinnacle,Dallas Mavericks,Los Angeles Lakers,15.0,-129,-15.0,-102,100,114,-6.5,6.5
12/2 7:05:32 am,Pinnacle,Dallas Mavericks,Los Angeles Lakers,15.0,-123,-15.0,-107,100,114,-6.5,6.5
12/2 7:05:29 am,Pinnacle,Dallas Mavericks,Los Angeles Lakers,15.0,-112,-15.0,-118,100,114,-6.5,6.5
