Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/29 11:37:54 am,RedZone,Dallas Mavericks,Miami Heat,-7.5,-174,7.5,137,126,118,-2.5,2.5
2/29 11:37:48 am,RedZone,Dallas Mavericks,Miami Heat,-7.5,-150,7.5,119,126,118,-2.5,2.5
2/29 11:37:34 am,RedZone,Dallas Mavericks,Miami Heat,-7.5,-168,7.5,133,126,118,-2.5,2.5
2/29 11:37:26 am,RedZone,Dallas Mavericks,Miami Heat,-7.5,-159,7.5,126,126,118,-2.5,2.5
2/29 11:37:07 am,RedZone,Dallas Mavericks,Miami Heat,-7.5,-108,7.5,-115,126,118,-2.5,2.5
2/29 11:36:49 am,RedZone,Dallas Mavericks,Miami Heat,-7.5,-177,7.5,139,126,118,-2.5,2.5
2/29 11:34:59 am,RedZone,Dallas Mavericks,Miami Heat,-7.5,104,7.5,-129,126,118,-2.5,2.5
2/29 11:34:39 am,RedZone,Dallas Mavericks,Miami Heat,-8.5,-168,8.5,133,126,118,-2.5,2.5
2/29 11:34:32 am,RedZone,Dallas Mavericks,Miami Heat,-8.5,-121,8.5,-103,126,118,-2.5,2.5
2/29 11:34:14 am,RedZone,Dallas Mavericks,Miami Heat,-8.5,104,8.5,-129,126,118,-2.5,2.5
2/29 11:33:48 am,RedZone,Dallas Mavericks,Miami Heat,-7.5,-137,7.5,109,126,118,-2.5,2.5
2/29 11:33:36 am,RedZone,Dallas Mavericks,Miami Heat,-7.5,-125,7.5,101,126,118,-2.5,2.5
2/29 11:33:21 am,RedZone,Dallas Mavericks,Miami Heat,-6.5,-142,6.5,113,126,118,-2.5,2.5
2/29 11:32:09 am,RedZone,Dallas Mavericks,Miami Heat,-6.5,-155,6.5,123,126,118,-2.5,2.5
2/29 11:31:40 am,RedZone,Dallas Mavericks,Miami Heat,-6.5,-121,6.5,-103,126,118,-2.5,2.5
2/29 11:31:09 am,RedZone,Dallas Mavericks,Miami Heat,-7.5,101,7.5,-125,126,118,-2.5,2.5
2/29 11:29:45 am,RedZone,Dallas Mavericks,Miami Heat,-8.5,-112,8.5,-112,126,118,-2.5,2.5
2/29 11:29:25 am,RedZone,Dallas Mavericks,Miami Heat,-8.5,104,8.5,-129,126,118,-2.5,2.5
2/29 11:28:56 am,RedZone,Dallas Mavericks,Miami Heat,-8.5,107,8.5,-134,126,118,-2.5,2.5
2/29 11:28:38 am,RedZone,Dallas Mavericks,Miami Heat,-8.5,-108,8.5,-115,126,118,-2.5,2.5
2/29 11:28:25 am,RedZone,Dallas Mavericks,Miami Heat,-8.5,109,8.5,-137,126,118,-2.5,2.5
2/29 11:27:51 am,RedZone,Dallas Mavericks,Miami Heat,-7.5,101,7.5,-125,126,118,-2.5,2.5
2/29 11:27:45 am,RedZone,Dallas Mavericks,Miami Heat,-7.5,-134,7.5,107,126,118,-2.5,2.5
2/29 11:27:19 am,RedZone,Dallas Mavericks,Miami Heat,-7.5,-129,7.5,104,126,118,-2.5,2.5
2/29 11:27:06 am,RedZone,Dallas Mavericks,Miami Heat,-8.5,-112,8.5,-112,126,118,-2.5,2.5
2/29 11:26:51 am,RedZone,Dallas Mavericks,Miami Heat,-8.5,-117,8.5,-106,126,118,-2.5,2.5
2/29 11:26:29 am,RedZone,Dallas Mavericks,Miami Heat,-8.5,-103,8.5,-121,126,118,-2.5,2.5
2/29 11:26:11 am,RedZone,Dallas Mavericks,Miami Heat,-7.5,-125,7.5,101,126,118,-2.5,2.5
2/29 11:25:45 am,RedZone,Dallas Mavericks,Miami Heat,-9.5,104,9.5,-129,126,118,-2.5,2.5
2/29 11:25:36 am,RedZone,Dallas Mavericks,Miami Heat,-8.5,101,8.5,-125,126,118,-2.5,2.5
2/29 11:25:28 am,RedZone,Dallas Mavericks,Miami Heat,-9.5,-125,9.5,101,126,118,-2.5,2.5
2/29 11:25:24 am,RedZone,Dallas Mavericks,Miami Heat,-9.5,-103,9.5,-121,126,118,-2.5,2.5
2/29 11:24:53 am,Pinnacle,Dallas Mavericks,Miami Heat,-10.0,-107,10.0,-109,126,118,-2.5,2.5
2/29 11:24:50 am,Pinnacle,Dallas Mavericks,Miami Heat,-10.0,-103,10.0,-113,126,118,-2.5,2.5
2/29 11:24:44 am,Pinnacle,Dallas Mavericks,Miami Heat,-10.0,-107,10.0,-109,126,118,-2.5,2.5
2/29 11:24:41 am,Pinnacle,Dallas Mavericks,Miami Heat,-10.0,-108,10.0,-108,126,118,-2.5,2.5
2/29 11:24:35 am,Pinnacle,Dallas Mavericks,Miami Heat,-10.0,-113,10.0,-104,126,118,-2.5,2.5
2/29 11:24:29 am,Pinnacle,Dallas Mavericks,Miami Heat,-10.0,-114,10.0,-103,126,118,-2.5,2.5
2/29 11:24:20 am,Pinnacle,Dallas Mavericks,Miami Heat,-10.0,-115,10.0,-101,126,118,-2.5,2.5
2/29 11:24:17 am,Pinnacle,Dallas Mavericks,Miami Heat,-10.0,-116,10.0,-101,126,118,-2.5,2.5
2/29 11:24:14 am,Pinnacle,Dallas Mavericks,Miami Heat,-10.0,-116,10.0,-101,126,118,-2.5,2.5
2/29 11:24:05 am,Pinnacle,Dallas Mavericks,Miami Heat,-10.0,-116,10.0,-101,126,118,-2.5,2.5
2/29 11:23:34 am,RedZone,Dallas Mavericks,Miami Heat,-9.5,-121,9.5,-103,126,118,-2.5,2.5
2/29 11:23:30 am,RedZone,Dallas Mavericks,Miami Heat,-10.5,104,10.5,-129,126,118,-2.5,2.5
2/29 11:22:54 am,RedZone,Dallas Mavericks,Miami Heat,-9.5,-129,9.5,104,126,118,-2.5,2.5
2/29 11:22:16 am,RedZone,Dallas Mavericks,Miami Heat,-9.5,-108,9.5,-115,126,118,-2.5,2.5
2/29 11:22:07 am,RedZone,Dallas Mavericks,Miami Heat,-9.5,-125,9.5,101,126,118,-2.5,2.5
2/29 11:21:59 am,RedZone,Dallas Mavericks,Miami Heat,-9.5,-108,9.5,-115,126,118,-2.5,2.5
2/29 11:21:28 am,RedZone,Dallas Mavericks,Miami Heat,-10.5,101,10.5,-125,126,118,-2.5,2.5
2/29 11:21:02 am,Pinnacle,Dallas Mavericks,Miami Heat,-10.0,-109,10.0,-107,126,118,-2.5,2.5
2/29 11:20:53 am,Pinnacle,Dallas Mavericks,Miami Heat,-10.0,-110,10.0,-106,126,118,-2.5,2.5
2/29 11:20:32 am,Pinnacle,Dallas Mavericks,Miami Heat,-10.0,-110,10.0,-106,126,118,-2.5,2.5
2/29 11:19:58 am,RedZone,Dallas Mavericks,Miami Heat,-9.5,-121,9.5,-103,126,118,-2.5,2.5
2/29 11:19:34 am,RedZone,Dallas Mavericks,Miami Heat,-9.5,-118,9.5,-105,126,118,-2.5,2.5
2/29 11:19:15 am,RedZone,Dallas Mavericks,Miami Heat,-11.5,-105,11.5,-118,126,118,-2.5,2.5
2/29 11:18:41 am,RedZone,Dallas Mavericks,Miami Heat,-10.5,-118,10.5,-105,126,118,-2.5,2.5
2/29 11:18:31 am,RedZone,Dallas Mavericks,Miami Heat,-10.5,-112,10.5,-112,126,118,-2.5,2.5
2/29 11:18:21 am,RedZone,Dallas Mavericks,Miami Heat,-8.5,-126,8.5,101,126,118,-2.5,2.5
2/29 11:18:11 am,RedZone,Dallas Mavericks,Miami Heat,-9.5,-118,9.5,-105,126,118,-2.5,2.5
2/29 11:17:57 am,RedZone,Dallas Mavericks,Miami Heat,-9.5,-122,9.5,-102,126,118,-2.5,2.5
2/29 11:17:40 am,RedZone,Dallas Mavericks,Miami Heat,-9.5,101,9.5,-126,126,118,-2.5,2.5
2/29 11:17:32 am,Pinnacle,Dallas Mavericks,Miami Heat,-8.5,-122,8.5,-108,126,118,-2.5,2.5
2/29 11:17:30 am,Pinnacle,Dallas Mavericks,Miami Heat,-8.5,-113,8.5,-117,126,118,-2.5,2.5
2/29 11:17:17 am,Pinnacle,Dallas Mavericks,Miami Heat,-8.5,-115,8.5,-115,126,118,-2.5,2.5
2/29 11:17:14 am,Pinnacle,Dallas Mavericks,Miami Heat,-8.5,-116,8.5,-114,126,118,-2.5,2.5
2/29 11:17:12 am,RedZone,Dallas Mavericks,Miami Heat,-8.5,-105,8.5,-118,126,118,-2.5,2.5
2/29 11:17:11 am,Pinnacle,Dallas Mavericks,Miami Heat,-9.5,-119,9.5,-111,126,118,-2.5,2.5
2/29 11:17:08 am,Pinnacle,Dallas Mavericks,Miami Heat,-9.5,-108,9.5,-122,126,118,-2.5,2.5
2/29 11:16:50 am,Pinnacle,Dallas Mavericks,Miami Heat,-9.5,-109,9.5,-121,126,118,-2.5,2.5
2/29 11:16:50 am,RedZone,Dallas Mavericks,Miami Heat,-8.5,-118,8.5,-105,126,118,-2.5,2.5
2/29 11:16:44 am,Pinnacle,Dallas Mavericks,Miami Heat,-9.0,-109,9.0,-121,126,118,-2.5,2.5
2/29 11:16:36 am,RedZone,Dallas Mavericks,Miami Heat,-8.5,-126,8.5,101,126,118,-2.5,2.5
2/29 11:16:35 am,Pinnacle,Dallas Mavericks,Miami Heat,-9.0,-110,9.0,-120,126,118,-2.5,2.5
2/29 11:16:30 am,Pinnacle,Dallas Mavericks,Miami Heat,-9.0,-110,9.0,-120,126,118,-2.5,2.5
2/29 11:16:26 am,Pinnacle,Dallas Mavericks,Miami Heat,-9.0,-111,9.0,-119,126,118,-2.5,2.5
2/29 11:16:23 am,RedZone,Dallas Mavericks,Miami Heat,-8.5,-118,8.5,-105,126,118,-2.5,2.5
2/29 11:16:20 am,Pinnacle,Dallas Mavericks,Miami Heat,-9.0,-111,9.0,-119,126,118,-2.5,2.5
2/29 11:16:08 am,RedZone,Dallas Mavericks,Miami Heat,-7.5,-126,7.5,101,126,118,-2.5,2.5
2/29 11:15:59 am,Pinnacle,Dallas Mavericks,Miami Heat,-8.0,-110,8.0,-120,126,118,-2.5,2.5
2/29 11:15:54 am,Pinnacle,Dallas Mavericks,Miami Heat,-6.5,-118,6.5,-112,126,118,-2.5,2.5
2/29 11:15:45 am,Pinnacle,Dallas Mavericks,Miami Heat,-6.5,-118,6.5,-112,126,118,-2.5,2.5
2/29 11:15:42 am,RedZone,Dallas Mavericks,Miami Heat,-6.5,-112,6.5,-112,126,118,-2.5,2.5
