Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/22 10:13:21 am,Pinnacle,Dallas Mavericks,Orlando Magic,11.5,-112,-11.5,-104,106,122,4.5,-4.5
2/22 10:13:18 am,Pinnacle,Dallas Mavericks,Orlando Magic,11.5,-112,-11.5,-104,106,122,4.5,-4.5
2/22 10:13:03 am,Pinnacle,Dallas Mavericks,Orlando Magic,11.5,-118,-11.5,101,106,122,4.5,-4.5
2/22 10:12:59 am,Pinnacle,Dallas Mavericks,Orlando Magic,11.0,-101,-11.0,-116,106,122,4.5,-4.5
2/22 10:12:54 am,Pinnacle,Dallas Mavericks,Orlando Magic,11.0,-103,-11.0,-114,106,122,4.5,-4.5
2/22 10:12:51 am,Pinnacle,Dallas Mavericks,Orlando Magic,11.0,-106,-11.0,-110,106,122,4.5,-4.5
2/22 10:12:47 am,Pinnacle,Dallas Mavericks,Orlando Magic,11.0,-108,-11.0,-108,106,122,4.5,-4.5
2/22 10:12:42 am,Pinnacle,Dallas Mavericks,Orlando Magic,10.5,-102,-10.5,-115,106,122,4.5,-4.5
2/22 10:12:36 am,Pinnacle,Dallas Mavericks,Orlando Magic,10.5,-102,-10.5,-115,106,122,4.5,-4.5
2/22 10:12:30 am,Pinnacle,Dallas Mavericks,Orlando Magic,10.5,-104,-10.5,-112,106,122,4.5,-4.5
2/22 10:08:26 am,Pinnacle,Dallas Mavericks,Orlando Magic,11.0,-115,-11.0,-102,106,122,4.5,-4.5
2/22 10:08:18 am,Pinnacle,Dallas Mavericks,Orlando Magic,11.0,-116,-11.0,-101,106,122,4.5,-4.5
2/22 10:04:48 am,Pinnacle,Dallas Mavericks,Orlando Magic,11.0,-123,-11.0,-107,106,122,4.5,-4.5
2/22 10:04:45 am,Pinnacle,Dallas Mavericks,Orlando Magic,12.5,-132,-12.5,100,106,122,4.5,-4.5
2/22 10:04:33 am,Pinnacle,Dallas Mavericks,Orlando Magic,12.5,-123,-12.5,-108,106,122,4.5,-4.5
2/22 10:04:06 am,Pinnacle,Dallas Mavericks,Orlando Magic,12.5,-123,-12.5,-108,106,122,4.5,-4.5
