Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/21 11:24:40 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,13.5,-104,-13.5,-113,98,117,-8,8
12/21 11:24:28 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,13.5,-105,-13.5,-111,98,117,-8,8
12/21 11:21:40 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,12.5,-112,-12.5,-104,98,117,-8,8
12/21 11:21:25 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,12.5,-113,-12.5,-103,98,117,-8,8
12/21 11:21:22 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,12.5,-115,-12.5,-102,98,117,-8,8
12/21 11:21:10 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,12.5,-114,-12.5,-103,98,117,-8,8
12/21 11:20:52 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,12.5,-117,-12.5,100,98,117,-8,8
12/21 11:16:31 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,9.0,-123,-9.0,-107,98,117,-8,8
12/21 11:16:25 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,8.0,-129,-8.0,-102,98,117,-8,8
12/21 11:16:22 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,8.0,-118,-8.0,-112,98,117,-8,8
12/21 11:16:20 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,7.0,101,-7.0,-133,98,117,-8,8
12/21 11:16:19 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,8.0,-118,-8.0,-112,98,117,-8,8
12/21 11:16:16 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,7.0,101,-7.0,-133,98,117,-8,8
12/21 11:16:40 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,9.0,-122,-9.0,-108,98,117,-8,8
12/21 11:15:58 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,7.0,102,-7.0,-136,98,117,-8,8
12/21 11:15:55 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,7.0,-107,-7.0,-123,98,117,-8,8
12/21 11:15:37 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,7.0,-115,-7.0,-115,98,117,-8,8
12/21 11:15:32 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,7.0,-116,-7.0,-114,98,117,-8,8
12/21 11:15:19 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,6.0,-118,-6.0,-112,98,117,-8,8
12/21 11:15:10 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,6.0,-116,-6.0,-114,98,117,-8,8
12/21 11:14:55 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,7.0,-124,-7.0,-107,98,117,-8,8
12/21 11:14:49 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,6.5,-105,-6.5,-126,98,117,-8,8
12/21 11:14:47 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,4.5,108,-4.5,-143,98,117,-8,8
12/21 11:14:35 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,4.5,-110,-4.5,-120,98,117,-8,8
12/21 11:14:25 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,4.5,-101,-4.5,-131,98,117,-8,8
12/21 11:14:22 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,4.5,-112,-4.5,-119,98,117,-8,8
12/21 11:14:10 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,5.5,-121,-5.5,-109,98,117,-8,8
12/21 11:13:58 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,6.5,-111,-6.5,-119,98,117,-8,8
12/21 11:13:54 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,6.5,-107,-6.5,-109,98,117,-8,8
12/21 11:11:25 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,6.0,-104,-6.0,-112,98,117,-8,8
12/21 11:10:25 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,4.5,123,-4.5,-164,98,117,-8,8
12/21 11:10:22 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,4.5,-113,-4.5,-117,98,117,-8,8
12/21 11:10:16 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,5.5,-125,-5.5,-106,98,117,-8,8
12/21 11:11:29 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,6.5,-106,-6.5,-110,98,117,-8,8
12/21 11:10:13 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,5.5,-114,-5.5,-116,98,117,-8,8
12/21 11:10:04 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,5.5,107,-5.5,-143,98,117,-8,8
12/21 11:10:01 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,5.5,-102,-5.5,-130,98,117,-8,8
12/21 11:09:58 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,5.5,-125,-5.5,-106,98,117,-8,8
12/21 11:09:56 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,7.5,-125,-7.5,-106,98,117,-8,8
12/21 11:09:52 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,7.5,-111,-7.5,-119,98,117,-8,8
12/21 11:09:49 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,8.0,-130,-8.0,-102,98,117,-8,8
12/21 11:09:46 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,8.0,-126,-8.0,-105,98,117,-8,8
12/21 11:09:43 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,8.0,-114,-8.0,-116,98,117,-8,8
12/21 11:09:37 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,8.0,-111,-8.0,-119,98,117,-8,8
12/21 11:09:31 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,7.0,102,-7.0,-136,98,117,-8,8
12/21 11:09:28 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,7.5,-116,-7.5,-114,98,117,-8,8
12/21 11:09:22 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,8.0,-140,-8.0,105,98,117,-8,8
12/21 11:09:16 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,8.0,-127,-8.0,-104,98,117,-8,8
12/21 11:09:13 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,8.0,-116,-8.0,-114,98,117,-8,8
12/21 11:09:10 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,7.5,-108,-7.5,-122,98,117,-8,8
12/21 11:08:55 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,7.0,-101,-7.0,-131,98,117,-8,8
12/21 11:08:49 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,7.0,-108,-7.0,-122,98,117,-8,8
12/21 11:08:40 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,6.0,-103,-6.0,-128,98,117,-8,8
12/21 11:08:37 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,6.0,-110,-6.0,-120,98,117,-8,8
12/21 11:08:31 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,6.0,-102,-6.0,-130,98,117,-8,8
12/21 11:08:28 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,6.0,-112,-6.0,-118,98,117,-8,8
12/21 11:08:25 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,6.0,-115,-6.0,-115,98,117,-8,8
12/21 11:08:13 am,Pinnacle,Dallas Mavericks,Philadelphia 76ers,7.0,-115,-7.0,-115,98,117,-8,8
