Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/30 12:27:12 pm,Pinnacle,Dallas Mavericks,Phoenix Suns,11.5,-104,-11.5,-112,113,120,2.5,-2.5
11/30 12:26:57 pm,Pinnacle,Dallas Mavericks,Phoenix Suns,11.5,-106,-11.5,-110,113,120,2.5,-2.5
11/30 12:26:52 pm,Pinnacle,Dallas Mavericks,Phoenix Suns,11.5,-108,-11.5,-108,113,120,2.5,-2.5
11/30 12:26:42 pm,Pinnacle,Dallas Mavericks,Phoenix Suns,11.5,-112,-11.5,-105,113,120,2.5,-2.5
11/30 12:26:40 pm,Pinnacle,Dallas Mavericks,Phoenix Suns,11.5,-112,-11.5,-104,113,120,2.5,-2.5
11/30 12:26:24 pm,Pinnacle,Dallas Mavericks,Phoenix Suns,11.5,-114,-11.5,-102,113,120,2.5,-2.5
11/30 12:26:19 pm,Pinnacle,Dallas Mavericks,Phoenix Suns,11.5,-116,-11.5,-101,113,120,2.5,-2.5
11/30 12:26:12 pm,Pinnacle,Dallas Mavericks,Phoenix Suns,11.5,-117,-11.5,100,113,120,2.5,-2.5
11/30 12:26:08 pm,Pinnacle,Dallas Mavericks,Phoenix Suns,11.5,-125,-11.5,107,113,120,2.5,-2.5
11/30 12:25:54 pm,Pinnacle,Dallas Mavericks,Phoenix Suns,11.5,-126,-11.5,108,113,120,2.5,-2.5
11/30 12:25:49 pm,Pinnacle,Dallas Mavericks,Phoenix Suns,11.5,-124,-11.5,106,113,120,2.5,-2.5
11/30 12:25:46 pm,Pinnacle,Dallas Mavericks,Phoenix Suns,11.5,-122,-11.5,105,113,120,2.5,-2.5
11/30 12:25:42 pm,Pinnacle,Dallas Mavericks,Phoenix Suns,11.5,-123,-11.5,105,113,120,2.5,-2.5
11/30 12:25:40 pm,Pinnacle,Dallas Mavericks,Phoenix Suns,11.5,-124,-11.5,106,113,120,2.5,-2.5
11/30 12:25:39 pm,Pinnacle,Dallas Mavericks,Phoenix Suns,11.5,-117,-11.5,100,113,120,2.5,-2.5
11/30 12:25:18 pm,Pinnacle,Dallas Mavericks,Phoenix Suns,11.5,-112,-11.5,-104,113,120,2.5,-2.5
11/30 12:25:08 pm,Pinnacle,Dallas Mavericks,Phoenix Suns,11.5,-117,-11.5,100,113,120,2.5,-2.5
11/30 12:18:13 pm,Pinnacle,Dallas Mavericks,Phoenix Suns,6.5,-114,-6.5,-103,113,120,2.5,-2.5
11/30 12:17:49 pm,Pinnacle,Dallas Mavericks,Phoenix Suns,6.5,-113,-6.5,-103,113,120,2.5,-2.5
11/30 12:17:43 pm,Pinnacle,Dallas Mavericks,Phoenix Suns,6.5,-112,-6.5,-104,113,120,2.5,-2.5
